Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
LCYO07010,STAR-J101100.66-044044.3,152.7527513,-4.678972222,0,2016-03-20T03:44:36.740000,2016-03-20T05:56:41.747000,4905.664,COS   ,PSA,G140L,1105,14245,2017-03-20T13:31:05,LCYO07010,,,0.82918924
LCYO07LZQ,STAR-J101100.66-044044.3,152.7527513,-4.678972222,0,2016-03-20T03:33:21.987000,2016-03-20T03:36:16.987000,175,COS   ,PSA,MIRRORB,0,14245,2017-03-20T10:54:10,,,,0.82918924
LCYO08010,STAR-J101100.66-044044.3,152.7527513,-4.678972222,0,2016-03-19T11:50:42.757000,2016-03-19T14:02:47.730000,4905.664,COS   ,PSA,G140L,1105,14245,2017-03-21T15:27:03,LCYO08010,,,0.82918924
LCYO08HVQ,STAR-J101100.66-044044.3,152.7527513,-4.678972222,0,2016-03-19T11:39:28.003000,2016-03-19T11:42:23.003000,175,COS   ,PSA,MIRRORB,0,14245,2017-03-19T14:38:57,,,,0.82918924
LE4S16010,SEXTANS-A-OB321,152.75275,-4.678972222,0,2020-02-15T15:09:51.197000,2020-02-15T20:31:54.253000,9850.592,COS   ,PSA,G130M,1291,15880,2020-02-16T09:32:24,LE4S16010,,,0.829192363
LE4S16JXQ,SEXTANS-A-OB321,152.75275,-4.678972222,0,2020-02-15T15:04:54.300000,2020-02-15T15:04:59.300000,5,COS   ,PSA,MIRRORA,0,15880,2020-02-16T04:02:36,,,,0.829192363
LE4S17010,SEXTANS-A-OB321,152.75275,-4.678972222,0,2020-02-15T21:31:51.197000,2020-02-16T02:53:18.317000,9850.656,COS   ,PSA,G130M,1291,15880,2020-02-17T00:20:18,LE4S17010,,,0.829192363
LE4S17KBQ,SEXTANS-A-OB321,152.75275,-4.678972222,0,2020-02-15T21:26:54.397000,2020-02-15T21:26:59.397000,5,COS   ,PSA,MIRRORA,0,15880,2020-02-16T09:25:13,,,,0.829192363
LE4S18010,SEXTANS-A-OB321,152.75275,-4.678972222,0,2020-02-17T13:12:57.213000,2020-02-17T17:01:46.220000,7148.576,COS   ,PSA,G130M,1309,15880,2020-02-17T21:04:28,LE4S18010,,,0.829192363
LE4S18H0Q,SEXTANS-A-OB321,152.75275,-4.678972222,0,2020-02-17T13:07:55.327000,2020-02-17T13:08:00.327000,5,COS   ,PSA,MIRRORA,0,15880,2020-02-17T14:56:07,,,,0.829192363
LE4S23010,SEXTANS-A-OB321,152.75275,-4.678972222,0,2020-04-18T07:44:05.243000,2020-04-18T10:01:52.207000,4745.376,COS   ,PSA,G130M,1309,15880,2020-04-18T15:36:42,LE4S23010,,,0.829192363
LE4S23A1Q,SEXTANS-A-OB321,152.75275,-4.678972222,0,2020-04-18T06:08:05.373000,2020-04-18T06:08:10.373000,5,COS   ,PSA,MIRRORA,0,15880,2020-04-18T15:34:16,,,,0.829192363
LEU401010,SA3,152.7699579,-4.705822222,0,2022-06-24T00:20:38.760000,2022-06-24T02:35:09.787000,4735.424,COS   ,PSA,G130M,1291,16920,2022-09-25T12:33:48,LEU401010,,,1.265319355
LEU401XBQ,SA3,152.7699579,-4.705822222,0,2022-06-24T00:15:20.873000,2022-06-24T00:15:35.173000,14.3,COS   ,PSA,MIRRORA,0,16920,2022-09-24T18:52:42,,,,1.265319355
LEU402010,SA3,152.7699579,-4.705822222,0,2022-06-24T05:06:22.760000,2022-06-24T07:20:53.847000,4794.112,COS   ,PSA,G130M,1291,16920,2022-09-25T12:33:49,LEU402010,,,1.265319355
LEU402Z2Q,SA3,152.7699579,-4.705822222,0,2022-06-24T05:01:04.873000,2022-06-24T05:01:19.173000,14.3,COS   ,PSA,MIRRORA,0,16920,2022-09-25T12:32:11,,,,1.265319355
LEU403010,SA3,152.7699579,-4.705822222,0,2022-06-27T01:22:47.787000,2022-06-27T05:11:47.770000,7732.48,COS   ,PSA,G160M,1600,16920,2022-09-27T12:15:06,LEU403010,,,1.265319355
LEU403ADQ,SA3,152.7699579,-4.705822222,0,2022-06-27T01:16:43.880000,2022-06-27T01:16:58.180000,14.3,COS   ,PSA,MIRRORA,0,16920,2022-09-27T12:11:02,,,,1.265319355
LEU404010,SA3,152.7699579,-4.705822222,0,2022-06-27T18:50:35.783000,2022-06-27T22:26:28.400000,6945.408,COS   ,PSA,G160M,1600,16920,2022-09-28T07:19:08,LEU404010,,,1.265319355
LEU404DUQ,SA3,152.7699579,-4.705822222,0,2022-06-27T18:44:31.880000,2022-06-27T18:44:46.180000,14.3,COS   ,PSA,MIRRORA,0,16920,2022-09-28T05:35:38,,,,1.265319355
LEU405010,SA3,152.7699579,-4.705822222,0,2022-06-27T06:08:32.840000,2022-06-27T08:22:17.783000,5046.208,COS   ,PSA,G160M,1600,16920,2022-09-27T15:53:30,LEU405010,,,1.265319355
LEU405BDQ,SA3,152.7699579,-4.705822222,0,2022-06-27T06:02:28.967000,2022-06-27T06:02:43.267000,14.3,COS   ,PSA,MIRRORA,0,16920,2022-09-27T15:30:51,,,,1.265319355
LEU406010,SA3,152.7699579,-4.705822222,0,2022-06-27T23:36:21.767000,2022-06-28T01:50:06.777000,5046.176,COS   ,PSA,G160M,1600,16920,2022-09-28T08:42:52,LEU406010,,,1.265319355
LEU406EEQ,SA3,152.7699579,-4.705822222,0,2022-06-27T23:30:17.897000,2022-06-27T23:30:32.197000,14.3,COS   ,PSA,MIRRORA,0,16920,2022-09-28T07:15:31,,,,1.265319355
LEOT01010,SA1,152.7698742,-4.706733333,0,2022-01-24T15:01:54.423000,2022-01-24T18:51:36.390000,7766.432,COS   ,PSA,G130M,1291,16767,2022-07-25T03:32:59,LEOT01010,,,1.2960104
LEOT01EEQ,SA1,152.7698742,-4.706733333,0,2022-01-24T14:56:24.503000,2022-01-24T14:56:44.603000,20.1,COS   ,PSA,MIRRORA,0,16767,2022-07-25T02:53:14,,,,1.2960104
LEOT02010,SA1,152.7698742,-4.706733333,0,2022-01-25T18:02:14.423000,2022-01-25T20:16:37.413000,5080.288,COS   ,PSA,G130M,1291,16767,2022-07-26T01:01:59,LEOT02010,,,1.2960104
