Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name
O6DF14020,AV216,14.7465875,-72.7427056,10,9/29/02 17:47,9/29/02 18:25,2259,STIS  ,0.2X0.2,E140M,1425,9116,12/10/06 20:30,O6DF14020
O6DF14030,AV216,14.7465875,-72.7427056,10,9/29/02 19:02,9/29/02 19:56,3236,STIS  ,0.2X0.2,E140M,1425,9116,12/10/06 22:16,O6DF14030
O6DF14040,AV216,14.7465875,-72.7427056,10,9/29/02 20:40,9/29/02 21:34,3236,STIS  ,0.2X0.2,E230M,1978,9116,12/11/06 0:24,O6DF14040
O6DF15020,AV216,14.7465875,-72.7427056,10,10/22/01 22:02,10/22/01 22:40,2259,STIS  ,0.2X0.2,E140M,1425,9116,12/11/06 6:21,O6DF15020
O6DF15030,AV216,14.7465875,-72.7427056,10,10/22/01 22:49,10/22/01 23:43,3236,STIS  ,0.2X0.2,E140M,1425,9116,11/28/06 22:12,O6DF15030
O6DF15040,AV216,14.7465875,-72.7427056,10,10/23/01 0:27,10/23/01 1:21,3236,STIS  ,0.2X0.2,E230M,1978,9116,12/11/06 10:22,O6DF15040
ODY237010,AZV-258,15.1855019,-72.4973147,0,5/12/20 8:10,5/12/20 8:56,2767,STIS  ,0.2X0.2,E140M,1425,15629,11/12/20 13:14,
O6DF11020,NGC330-A01,14.1076333,-72.4647667,10,9/15/02 7:04,9/15/02 7:41,2220,STIS  ,0.2X0.2,E230M,1978,9116,12/9/06 11:10,O6DF11020
O6DF11030,NGC330-A01,14.1076333,-72.4647667,10,9/15/02 8:15,9/15/02 10:45,6472,STIS  ,0.2X0.2,E230M,1978,9116,12/9/06 13:39,O6DF11030
O6DF12020,NGC330-A01,14.1076333,-72.4647667,10,10/23/01 23:48,10/24/01 0:26,2259,STIS  ,0.2X0.2,E140M,1425,9116,12/9/06 19:47,O6DF12020
O6DF12030,NGC330-A01,14.1076333,-72.4647667,10,10/24/01 0:28,10/24/01 2:20,6472,STIS  ,0.2X0.2,E140M,1425,9116,12/9/06 21:41,O6DF12030
O6DF13020,NGC330-A01,14.1076333,-72.4647667,10,9/27/02 5:01,9/27/02 5:39,2259,STIS  ,0.2X0.2,E140M,1425,9116,12/10/06 9:10,O6DF13020
O6DF13030,NGC330-A01,14.1076333,-72.4647667,10,9/27/02 5:59,9/27/02 6:53,3236,STIS  ,0.2X0.2,E140M,1425,9116,12/10/06 11:36,O6DF13030
O6DF16020,NGC330-B22,14.0419292,-72.459,10,10/16/01 0:47,10/16/01 1:22,2129,STIS  ,0.2X0.2,E230M,1978,9116,12/15/06 18:35,O6DF16020
O6DF16030,NGC330-B22,14.0419292,-72.459,10,10/16/01 1:58,10/16/01 4:28,6472,STIS  ,0.2X0.2,E230M,1978,9116,12/15/06 22:15,O6DF16030
O6DF17010,NGC330-B22,14.0419292,-72.459,10,10/24/01 3:46,10/24/01 4:32,2746,STIS  ,0.2X0.2,E230M,1978,9116,12/16/06 1:28,O6DF17010
O6DF17020,NGC330-B22,14.0419292,-72.459,10,10/24/01 4:37,10/24/01 5:31,3236,STIS  ,0.2X0.2,E230M,1978,9116,12/16/06 5:01,O6DF17020
