ORIGINAL,SIMBAD_SEARCH_NAME,PREFERRED,Alternate_PREFERRED,APT,Alternate_APT
[M2002]-80545|sk169|AV506,AzV 506,AV 506,AV 506,AV506,AV506
[2dFS]-3747|[2dFS]_3747,2dFS 3747,SK 173,SK 173,SK173,SK173
AV 410|[M2002]_64588,AzV 410,AV 410,AV 410,AV410,AV410
SK82|Sk_82,SK 82,AV 235,AV 235,AV235,AV235
SK159|Sk_159,SK 159,AV 488,AV 488,AV488,AV488
AV 175|[M2002]_37732,AzV 175,AV 175,AV 175,AV175,AV175
OGLE005100.18-725303|OGLE_-9999,AzV 85,AV 85,AV 85,AV85,AV85
AV 472|[2dFS]_2907,AzV 472,AV 472,AV 472,AV472,AV472
AV 224|[M2002]_45809,AzV 224,AV 224,AV 224,AV224,AV224
[2dFS]-3694|[2dFS]_3694,2dFS 3694,2dFS 3694,2dFS 3694,2DFS-3694,2DFS-3694
[SMCSGS-FS]-284|[SMCSGS-FS]_284,2dFS 3947,2dFS 3947,2dFS 3947,2DFS-3947,2DFS-3947
[SMCSGS-FS]-96|[SMCSGS-FS]_96,2dFS 3689,2dFS 3689,2dFS 3689,2DFS-3689,2DFS-3689
NGC 346-035|NGC346_35,Cl* NGC 346 ELS 035,NGC346 35,NGC346 ELS 35,NGC346-35,NGC346-ELS-35
AV 96|[M2002]_19728,AzV 96,AV 96,AV 96,AV96,AV96
AV 266|[M2002]_50609,AzV 266,AV 266,AV 266,AV266,AV266
AV264|AV_264,AzV 264,AV 264,AV 264,AV264,AV264
Sk-124|AzV-393,SK 124,AV 393,AV 393,AV393,AV393
AV 261|[M2002]_50178,AzV 261,AV 261,AV 261,AV261,AV261
AzV374|AV_374,AzV 374,AV 374,AV 374,AV374,AV374
AV 234|[M2002]_47028,AzV 234,AV 234,AV 234,AV234,AV234
AV187|AV_187,AzV 187,AV 187,AV 187,AV187,AV187
AzV324|AV_324,AzV 324,AV 324,AV 324,AV324,AV324
AzV314|AV_314,AzV 314,AV 314,AV 314,AV314,AV314
AV 445|[2dFS]_2538,AzV 445,AV 445,AV 445,AV445,AV445
AzV343|AV_343,AzV 343,AV 343,AV 343,AV343,AV343
Sk 179|[M2002]_82928,SK 179,SK 179,SK 179,SK179,SK179
AzV200|AV_200,AzV 200,AV 200,AV 200,AV200,AV200
[MPG]-355|[MPG]_355,Cl* NGC 346 MPG 355,NGC346 355,NGC346 MPG 355,NGC346-355,NGC346-MPG-355
[SMCSGS-FS]-231|[SMCSGS-FS]_231|SK 183,SK 183,SK 183,SK 183,SK183,SK183
AV14|AV_14,AzV 14,AV 14,AV 14,AV14,AV14
NGC346-1|NGC346_1,Cl* NGC 346 W 1,NGC346 435,NGC346 MPG 435,NGC346-435,NGC346-MPG-435
AV 435|[M2002]_67670,AzV 435,AV 435,AV 435,AV435,AV435
AV 296|[M2002]_52948,AzV 296,AV 296,AV 296,AV296,AV296
[MPG]-368|[MPG]_368,Cl* NGC 346 MPG 368,NGC346 368,NGC346 MPG 368,NGC346-368,NGC346-MPG-368
AV 61|[M2002]_15271,AzV 61,AV 61,AV 61,AV61,AV61
[2dFS]-2553|[2dFS]_2553,2dFS 2553,2dFS 2553,2dFS 2553,2DFS-2553,2DFS-2553
NGC 346-028|NGC346_28,Cl* NGC 346 ELS 028,NGC346 28,NGC346 ELS 28,NGC346-28,NGC346-ELS-28
[2dFS]-3954|[2dFS]_3954,2dFS 3954,2dFS 3954,2dFS 3954,2DFS-3954,2DFS-3954
[2dFS]-2266|[2dFS]_2266,2dFS 2266,2dFS 2266,2dFS 2266,2DFS-2266,2DFS-2266
AV 440|[M2002]_68756,AzV 440,AV 440,AV 440,AV440,AV440
AV 207|[M2002]_43724,AzV 207,AV 207,AV 207,AV207,AV207
NGC 346-046|NGC346_46,Cl* NGC 346 ELS 046,NGC346 46,NGC346 ELS 46,NGC346-46,NGC346-ELS-46
NGC 346-031|NGC346_31,Cl* NGC 346 ELS 031,NGC346 31,NGC346 ELS 31,NGC346-31,NGC346-ELS-31
NGC 346-051|NGC346_51,Cl* NGC 346 ELS 051,NGC346 51,NGC346 ELS 51,NGC346-51,NGC346-ELS-51
[M2002]-48672|[M2002]_48672|AV251,AzV 251,AV 251,AV 251,AV251,AV251
AV 469|[M2002]_73337,AzV 469,AV 469,AV 469,AV469,AV469
NGC 330-013|NGC330_13,Cl* NGC 330 ELS 013,AV 186,AV 186,AV186,AV186
Sk 187|[M2002]_83678,SK 187,SK 187,SK 187,SK187,SK187
AV 148|[M2002]_27731,AzV 148,AV 148,AV 148,AV148,AV148
NGC 346-050|NGC346_50,Cl* NGC 346 ELS 050,NGC346 50,NGC346 ELS 50,NGC346-50,NGC346-ELS-50
AV255|AV255,AzV255,AV 255,AV 255,AV255,AV255
[2dFS]-163|[2dFS]_163,2dFS 163,2dFS 163,2dFS 163,2DFS-163,2DFS-163
AV 6|[2dFS]_5002,AzV 6,AV 6,AV 6,AV6,AV6
AV 307|[M2002]_53902,AzV 307,AV 307,AV 307,AV307,AV307
