Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,DONE?
LB6B16050,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 20:52,6/1/11 21:04,718.144,COS,PSA,G160M,1623,11616,6/2/12 2:10,LB6B16050,y
LB6B16040,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 20:37,6/1/11 20:49,718.176,COS,PSA,G160M,1600,11616,6/2/12 2:08,LB6B16040,y
LB6B16030,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 19:41,6/1/11 19:53,718.144,COS,PSA,G160M,1577,11616,6/1/12 22:10,LB6B16030,y
LB6B16020,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 19:14,6/1/11 19:37,1177.984,COS,PSA,G130M,1327,11616,6/1/12 22:09,LB6B16020,y
LB6B16010,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 17:53,6/1/11 19:11,1177.984,COS,PSA,G130M,1291,11616,6/1/12 22:06,LB6B16010,y
#LB4P07ESQ,0255035-470050,43.7695532,-47.0160341,3,10/25/09 4:13,10/25/09 4:51,2270,COS,PSA,G140L,1230,11531,10/26/10 18:00,,do not include
#LB4P07010,0255035-470050,43.7695533,-47.0160341,3,10/25/09 4:51,10/25/09 11:28,13230.464,COS,PSA,G140L,1230,11531,10/26/10 19:42,LB4P07010,do not include
#LB4P01010,1207334-393254-KF,181.8893421,-39.5483452,3,12/3/09 6:51,12/3/09 9:17,6229.792,COS,PSA,G140L,1230,11531,12/3/10 17:45,LB4P01010,y
LB4P01020,1207334-393254-KF,181.8893421,-39.5483452,3,12/3/09 10:02,12/3/09 10:53,3050.176,COS,PSA,G285M,2676,11531,12/3/10 17:35,LB4P01020,y
LB4P01RQQ,1207334-393254-KF,181.8893421,-39.5483452,3,12/3/09 5:34,12/3/09 6:10,2126,COS,PSA,G160M,1600,11531,12/3/10 7:45,,y
LB4P01RRQ,1207334-393254-KF,181.8893421,-39.5483452,3,12/3/09 6:11,12/3/09 6:16,299,COS,PSA,G160M,1600,11531,12/3/10 7:45,,y
LB4P02050,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 2:30,12/8/09 2:54,1410.08,COS,PSA,G160M,1600,11531,12/8/10 7:05,LB4P02050,y
LB4P02060,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 3:39,12/8/09 4:28,2975.072,COS,PSA,G160M,1611,11531,12/8/10 7:06,LB4P02060,y
LB4P02070,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 5:15,12/8/09 6:04,2975.104,COS,PSA,G160M,1623,11531,12/8/10 11:39,LB4P02070,y
LB4P02080,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 6:51,12/8/09 7:40,2967.168,COS,PSA,G130M,1291,11531,12/8/10 11:51,LB4P02080,y
LB4P02090,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 8:26,12/8/09 9:16,3000.192,COS,PSA,G130M,1300,11531,12/8/10 11:50,LB4P02090,y
LB4P020A0,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 10:02,12/8/09 10:52,3005.184,COS,PSA,G130M,1309,11531,12/8/10 14:55,LB4P020A0,y
LB4P02FGQ,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 2:06,12/8/09 2:27,1280,COS,PSA,G160M,1600,11531,12/8/10 6:56,,y
LB4P02FHQ,1207334-393254-KF,181.8893418,-39.5483453,3,12/8/09 2:27,12/8/09 2:32,299,COS,PSA,G160M,1600,11531,12/8/10 6:56,,y
#LB4P04X6Q,1507476-162738,226.9483662,-16.4634994,3,9/17/09 4:46,9/17/09 5:27,2450,COS,PSA,G140L,1230,11531,9/17/10 17:36,,do not include
#LB4P05010,1507476-162738,226.9483575,-16.4635787,3,1/14/10 9:33,1/14/10 14:31,9580.256,COS,PSA,G140L,1230,11531,1/14/11 17:36,LB4P05010,do not include
#LB4P05QEQ,1507476-162738,226.9483575,-16.4635787,3,1/14/10 8:56,1/14/10 9:34,2270,COS,PSA,G140L,1230,11531,1/14/11 11:23,,do not include
LDMP24010,2MASS-J15570234-1950419,239.2597229,-19.8451305,0,8/2/18 23:50,8/3/18 0:30,2248.288,COS,PSA,G130M,1222,15310,2/3/19 2:54,LDMP24010,only 1222. Don't include
LDMP30010,2MASS-J15580815-2405529,239.5338546,-24.098177,0,7/29/18 8:37,7/29/18 9:13,2040.128,COS,PSA,G130M,1222,15310,1/29/19 11:24,LDMP30010,only 1222. Don't include
LDMP08010,2MASS-J15584772-1757595,239.6987624,-17.966693,0,8/5/18 10:44,8/5/18 11:19,2008.256,COS,PSA,G130M,1222,15310,2/5/19 15:35,LDMP08010,only 1222. Don't include
LDMP21010,2MASS-J16004277-2127380,240.1781112,-21.4606996,0,8/4/18 12:25,8/4/18 13:07,2406.144,COS,PSA,G130M,1222,15310,2/4/19 15:29,LDMP21010,only 1222. Don't include
LDMP22010,2MASS-J16010801-2113184,240.2833141,-21.2219104,0,2/23/18 21:04,2/23/18 21:47,2430.048,COS,PSA,G130M,1222,15310,8/24/18 1:57,LDMP22010,only 1222. Don't include
LDMP25010,2MASS-J16023910-2542078,240.6628193,-25.702351,0,7/25/18 4:29,7/25/18 5:07,2188.224,COS,PSA,G130M,1222,15310,1/25/19 7:27,LDMP25010,only 1222. Don't include
LDMP26010,2MASS-J16025123-2401574,240.7133826,-24.0327516,0,2/14/18 6:58,2/14/18 8:21,2080.096,COS,PSA,G130M,1222,15310,8/14/18 11:48,LDMP26010,only 1222. Don't include
LDMP02010,2MASS-J16025243-2402226,240.718386,-24.0396644,0,2/13/18 14:47,2/13/18 15:23,2062.176,COS,PSA,G130M,1222,15310,8/13/18 19:41,LDMP02010,only 1222. Don't include
LDMP17010,2MASS-J16025396-2022480,240.7247911,-20.3801121,0,8/4/18 10:53,8/4/18 11:29,2040.064,COS,PSA,G130M,1222,15310,2/4/19 15:29,LDMP17010,only 1222. Don't include
LDMP20010,2MASS-J16061254-2036472,241.5522049,-20.6132534,0,2/18/18 17:05,2/18/18 17:46,2400.096,COS,PSA,G130M,1222,15310,8/18/18 23:04,LDMP20010,only 1222. Don't include
LDMP09010,2MASS-J16081474-1908327,242.0613804,-19.1425577,0,2/16/18 19:04,2/16/18 19:41,2138.112,COS,PSA,G130M,1222,15310,8/17/18 0:11,LDMP09010,only 1222. Don't include
LDMP18010,2MASS-J16085673-2033460,242.2363195,-20.56286,0,2/17/18 17:22,2/17/18 17:56,1940.16,COS,PSA,G130M,1222,15310,8/17/18 19:58,LDMP18010,only 1222. Don't include
LDMP15010,2MASS-J16130271-2257446,243.2612677,-22.9624917,0,8/3/18 14:09,8/3/18 14:46,2080.288,COS,PSA,G130M,1222,15310,2/3/19 20:20,LDMP15010,only 1222. Don't include
LDMP10010,2MASS-J16132929-2311075,243.3719846,-23.1855668,0,7/28/18 2:14,7/28/18 2:53,2220.352,COS,PSA,G130M,1222,15310,1/28/19 6:31,LDMP10010,only 1222. Don't include
LDMP13010,2MASS-J16193396-2228294,244.8914686,-22.4749835,0,8/5/18 12:18,8/5/18 12:57,2250.304,COS,PSA,G130M,1222,15310,2/5/19 15:35,LDMP13010,only 1222. Don't include
