PREFERRED,Alternate_APT
Sextans A GHN s2,SEXTANS-A-GHN-S2
Sextans A GHN s4,SEXTANS-A-GHN-S4
Sextans A GHN s8,SEXTANS-A-GHN-S8
NGC-3109 EBU 07,NGC-3109-EBU-07
NGC-3109 EBU 20,NGC-3109-EBU-20
NGC 3109 EBU 34,NGC-3109-EBU-34
NGC-3109-V01,NGC-3109-V01
NGC-3109-V02,NGC-3109-V02
SEXTANS-A,SEXTANS-A
