Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
LBY608010,SK-9,11.6359583,-73.1015833,1,1/1/13 10:46,1/1/13 11:03,800.064,COS   ,PSA,G185M,1921,13004,1/1/14 13:29,LBY608010,,,64.136
LBY608020,SK-9,11.6359583,-73.1015833,1,1/1/13 11:06,1/1/13 12:21,880.096,COS   ,PSA,G185M,1953,13004,1/1/14 13:32,LBY608020,,,64.136
LBY608OZQ,SK-9,11.6359583,-73.1015833,1,1/1/13 9:43,1/1/13 10:15,1863,COS   ,PSA,G185M,1921,13004,1/1/14 13:26,,,,64.136
LBY608P3Q,SK-9,11.6359583,-73.1015833,1,1/1/13 10:43,1/1/13 10:43,2,COS   ,PSA,G185M,1921,13004,1/1/14 13:26,,,,64.136
LB2A02010,AZV-177,14.1840417,-72.0586944,3,12/21/09 23:54,12/22/09 0:00,360,COS   ,PSA,G130M,1291,11625,12/22/10 2:38,LB2A02010,,,45.809
LB2A02020,AZV-177,14.1840417,-72.0586944,3,12/22/09 0:04,12/22/09 0:09,300,COS   ,PSA,G130M,1327,11625,12/22/10 2:39,LB2A02020,,,45.809
LB2A02030,AZV-177,14.1840417,-72.0586944,3,12/22/09 0:15,12/22/09 0:25,595.008,COS   ,PSA,G160M,1577,11625,12/22/10 4:31,LB2A02030,,,45.809
LB2A02040,AZV-177,14.1840417,-72.0586944,3,12/22/09 0:29,12/22/09 0:39,595.04,COS   ,PSA,G160M,1623,11625,12/22/10 2:49,LB2A02040,,,45.809
LB2A02FYQ,AZV-177,14.1840417,-72.0586944,3,12/21/09 23:41,12/21/09 23:47,382,COS   ,PSA,G130M,1291,11625,12/22/10 2:27,,,,45.809
LB2A02FZQ,AZV-177,14.1840417,-72.0586944,3,12/21/09 23:48,12/21/09 23:50,112,COS   ,PSA,G130M,1291,11625,12/22/10 2:27,,,,45.809
LB2A02G0Q,AZV-177,14.1840417,-72.0586944,3,12/21/09 23:52,12/21/09 23:52,0.2,COS   ,PSA,G130M,1291,11625,12/22/10 2:27,,,,45.809
LB2A01010,AZV-388,16.414375,-72.4907778,3,12/21/09 3:01,12/21/09 3:06,312,COS   ,PSA,G130M,1291,11625,12/21/10 4:26,LB2A01010,,,28.904
LB2A01020,AZV-388,16.414375,-72.4907778,3,12/21/09 3:16,12/21/09 3:21,311.008,COS   ,PSA,G130M,1327,11625,12/21/10 5:17,LB2A01020,,,28.904
LB2A01030,AZV-388,16.414375,-72.4907778,3,12/21/09 3:30,12/21/09 3:39,548.032,COS   ,PSA,G160M,1577,11625,12/21/10 5:27,LB2A01030,,,28.904
LB2A01040,AZV-388,16.414375,-72.4907778,3,12/21/09 3:44,12/21/09 3:53,548,COS   ,PSA,G160M,1623,11625,12/21/10 5:28,LB2A01040,,,28.904
LB2A01BZQ,AZV-388,16.414375,-72.4907778,3,12/21/09 2:48,12/21/09 2:55,381,COS   ,PSA,G130M,1291,11625,12/21/10 4:14,,,,28.904
LB2A01C0Q,AZV-388,16.414375,-72.4907778,3,12/21/09 2:55,12/21/09 2:57,112,COS   ,PSA,G130M,1291,11625,12/21/10 4:15,,,,28.904
#LB2A01C1Q,AZV-388,16.414375,-72.4907778,3,12/21/09 2:59,12/21/09 2:59,0.1,COS   ,PSA,G130M,1291,11625,12/21/10 4:15,,,,28.904
#LBY603010,AZV-388,16.4146667,-72.4908333,1,10/12/12 7:44,10/12/12 8:02,800.064,COS   ,PSA,G185M,1921,13004,10/12/13 10:14,LBY603010,,,28.906
#LBY603020,AZV-388,16.4146667,-72.4908333,1,10/12/12 8:04,10/12/12 9:25,880.032,COS   ,PSA,G185M,1953,13004,10/12/13 11:53,LBY603020,,,28.906
#LBY603X7Q,AZV-388,16.4146667,-72.4908333,1,10/12/12 7:34,10/12/12 7:39,297,COS   ,PSA,G185M,1921,13004,10/12/13 10:08,,,,28.906
#LBY603X8Q,AZV-388,16.4146667,-72.4908333,1,10/12/12 7:41,10/12/12 7:41,2,COS   ,PSA,G185M,1921,13004,10/12/13 10:08,,,,28.906
LCYIN1010,NGC346-11,14.5580375,-72.15535,0,6/15/16 14:18,6/15/16 14:45,1124.096,COS   ,PSA,G130M,1291,14081,6/16/17 2:28,LCYIN1010,,,38.174
LCYIN1020,NGC346-11,14.5580375,-72.15535,0,6/15/16 14:49,6/15/16 17:00,4040.768,COS   ,PSA,G160M,1577,14081,6/16/17 2:28,LCYIN1020,,,38.174
LCYIN1030,NGC346-11,14.5580375,-72.15535,0,6/15/16 17:24,6/15/16 18:30,1580.032,COS   ,PSA,G130M,1327,14081,6/16/17 2:28,LCYIN1030,,,38.174
LCYIN1040,NGC346-11,14.5580375,-72.15535,0,6/15/16 19:48,6/15/16 22:26,3952.768,COS   ,PSA,G160M,1623,14081,6/16/17 6:01,LCYIN1040,,,38.174
LCYIN1Q4Q,NGC346-11,14.5580375,-72.15535,0,6/15/16 13:24,6/15/16 13:50,1539,COS   ,PSA,G130M,1291,14081,6/16/17 0:53,,,,38.174
LCYIN1Q5Q,NGC346-11,14.5580375,-72.15535,0,6/15/16 14:15,6/15/16 14:15,2,COS   ,PSA,G130M,1291,14081,6/16/17 0:53,,,,38.174
LCYIN2010,NGC346-11,14.5580375,-72.15535,0,6/15/16 23:44,6/16/16 0:01,752.064,COS   ,PSA,G185M,1913,14081,6/16/17 4:50,LCYIN2010,,,38.174
LCYIN2020,NGC346-11,14.5580375,-72.15535,0,6/16/16 0:03,6/16/16 0:58,808.064,COS   ,PSA,G185M,1941,14081,6/16/17 4:52,LCYIN2020,,,38.174
LCYIN2030,NGC346-11,14.5580375,-72.15535,0,6/16/16 1:19,6/16/16 1:38,896.032,COS   ,PSA,G185M,1971,14081,6/16/17 4:52,LCYIN2030,,,38.174
LCYIN2040,NGC346-11,14.5580375,-72.15535,0,6/16/16 1:41,6/16/16 2:28,1056.032,COS   ,PSA,G185M,2010,14081,6/16/17 4:59,LCYIN2040,,,38.174
