target_name_ullyses,target_name_hlsp,target_name_simbad,target_name_ullyses_apt,alias0,alias1,alias2,alias3,alias4,alias5,alias6,alias7,alias8,alias9,alias10,alias12,alias13,alias14,alias15,alias16,alias17,alias18,alias19,alias20
NGC346 ELS 025,NGC346-ELS-025,CL* NGC 346 ELS 025,NGC346-ELS-25,NGC346 25,CL* NGC 346 MPG 848,[M2002] SMC 47430,NGC346 ELS 25,NGC346-ELS-25,NGC346-25,NGC 346-025|NGC346_25,NGC 346-025,NGC346_25,,,,,,,,,,,
NGC2004 ELS 003,NGC2004-ELS-003,CL* NGC 2004 ELS 3,NGC2004-ELS-3,NGC2004 3,RMC 109,CL* NGC 2004 ROB C1,W61 18-8,NGC2004 ELS 3,NGC2004-ELS-3,NGC2004-3,NGC 2004-003|NGC2004_3,NGC 2004-003,NGC2004_3,,,,,,,,,,
TX ORI,V-TX-ORI,V* TX ORI,V-TX-ORI,HBC 172,2MASS J05383368-0244141,TX-ORI,,,,,,,,,,,,,,,,,
SY CHA,V-SY-CHA,SY CHA,V-SY-CHA,SZ3,HBC 565,CHX 1,2MASS J10563044-7711393,,,,,,,,,,,,,,,,
VZ CHA,V-VZ-CHA,VZ CHA,V-VZ-CHA,HBC 578,SZ31,2MASS J11092379-7623207,,,,,,,,,,,,,,,,,
WZ CHA,V-WZ-CHA,WZ CHA,V-WZ-CHA,HBC 585,2MASS J11105333-7634319,SZ38,,,,,,,,,,,,,,,,,
IN CHA,V-IN-CHA,IN CHA,V-IN-CHA,HBC 587,SZ40,2MASS J11120984-7634366,,,,,,,,,,,,,,,,,
HD 104237E,HD-104237E,[FLG2003] EPS CHA 7,HD-104237E,2MASS J12000931-7811424,,,,,,,,,,,,,,,,,,,
RECX 5,RECX-5,EK CHA,RECX-5,2MASS J08422710-7857479,,,,,,,,,,,,,,,,,,,
RECX 9,RECX-9,EN CHA,RECX-9,2MASS J08441637-7859080,,,,,,,,,,,,,,,,,,,
RECX 6,RECX-6,EL CHA,RECX-6,2MASS J08423879-7854427,,,,,,,,,,,,,,,,,,,
CVSO 104,CVSO-104,CVSO 104,CVSO-104,HARO 5-64,2MASS J05320638-0111000,GAIA DR3 3217634157789741952,,,,,,,,,,,,,,,,,
CVSO 36,CVSO-36,CVSO 36,CVSO-36,OB1A 1222,2MASS J05255035+0149370,GAIA DR3 3222268122557250304,,,,,,,,,,,,,,,,,
CVSO 176,CVSO-176,CVSO 176,CVSO-176,HARO 5-91,V* V609 ORI,GAIA DR3 3219230167633274752,2MASS J05402414-0031213,,,,,,,,,,,,,,,,
CVSO 17,CVSO-17,CVSO 17,CVSO-17,OB1A 121,2MASS J05230470+0137148,GAIA DR3 3222180814461726976,,,,,,,,,,,,,,,,,
CVSO 165,CVSO-165,CVSO 165,CVSO-165,2MASS J05390257-0120323,GAIA DR3 3217473702105162752,,,,,,,,,,,,,,,,,,
V505 ORI,V505-ORI,V505 ORI,V505-ORI,HARO 5-10,2MASS J05382725-0245097,GAIA DR3 3216107490187638784,,,,,,,,,,,,,,,,,
V510 ORI,V510-ORI,V510 ORI,V510-ORI,HARO 5-27,HBC 177,2MASS J05393982-0231218,GAIA DR3 3216493758070824064,,,,,,,,,,,,,,,,
2MASS J11432669-7804454,2MASS-J11432669M7804454,2MASS J11432669-7804454,2MASSJ11432669-7804454,2MASSJ11432669-7804454,2MASSJ11432669-7804454,2MASSJ11432669M7804454,,,,,,,,,,,,,,,,,
RX J1608.9-3905,RX-J1608M3905,RX J1608.9-3905,,RXJ1608.9-3905,RXJ1608.9-3905,RX-J1608.9-3905,RXJ1608M3905,,,,,,,,,,,,,,,,
LEOA GWS K1,LEOA-GWS-K1,[GWS2022] K1,,SDSS-J095927P304457,J095927.53+304457.7,J095927P304457,SDSS J095927.53+304457.7,GAIA DR3 744173560150512000,,,,,,,,,,,,,,,
LEOA GWS K2,LEOA-GWS-K2,[GWS2022] K2,J095930.22+304437.0,J095930P304437,GAIA DR3 744173353992080000,,,,,,,,,,,,,,,,,,
J095921.90+304518.1,J095921P304518,J095921.90+304518.1,,,,,,,,,,,,,,,,,,,,,
AV 506,AV-506,AV 506,AV506,AZV 506,AV506,[M2002]-80545|SK169|AV506,[M2002]_80545,[M2002]-80545,SK169,[M2002]-80545,SK169,AV506,,,,,,,,,,,
SK 173,SK-173,SK 173,SK173,2DFS 3747,SK173,[2DFS]-3747|[2DFS]_3747,[2DFS]-3747,[2DFS]_3747,[2DFS]-3747,[2DFS]_3747,,,,,,,,,,,,,
AV 410,AV-410,AV 410,AV410,AZV 410,AV410,AV 410|[M2002]_64588,AV 410,[M2002]_64588,AV 410,[M2002]_64588,,,,,,,,,,,,,
AV 235,AV-235,AV 235,AV235,SK 82,AV235,SK82|SK_82,SK82,SK_82,SK82,SK_82,SK82,SK_82,,,,,,,,,,,
AV 488,AV-488,AV 488,AV488,SK 159,AV488,SK159|SK_159,SK_159,SK159,SK159,SK_159,SK159,SK_159,,,,,,,,,,,
