target_name_ullyses,target_name_simbad,simbad_link,target_classification,gaia_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,gaia_g_mean_mag,gaia_bp_mean_mag,gaia_rp_mean_mag,gaia_parallax,gaia_parallax_err,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,radial_velocity,radial_velocity_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref,Extra,F225W_STmag,F275W_STmag,F336W_STmag,F475W_STmag,F814W_STmag
N11 ELS 046,[ELS2006] N11 046,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+046,Late O Dwarf,Gaia DR3 4662144501145651328,74.185969240969285,-66.572467829387847,2016.0,LMC,LH 9,O9.5 V,2006A&A...456..623E,O,9.5,V,13.971043,13.803858,14.068692,0.745844,0.219284,,None,13.74,2006A&A...456..623E,13.98,2006A&A...456..623E,-0.26,2006A&A...457..637M,0.02,Derived from (B-V)0,,None,33500.0,2008A&A...479..541H,4.25,2008A&A...479..541H,5.21,2008A&A...479..541H,,None,28.0,2008A&A...479..541H,205.0,2008A&A...479..541H,,None,,None,False,None,False,,,,,
N11 ELS 038,[ELS2006] N11 038,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+038,Mid O Giant,Gaia DR3 4662155835530951424,74.188367273345136,-66.419660980572402,2016.0,LMC,LH 10,O5 III(f+),2006A&A...456..623E,O,5.0,III,13.749496,13.739211,13.704623,0.045789,0.017547,12.89,1992AJ....103.1205P,13.81,1992AJ....103.1205P,13.81,1992AJ....103.1205P,-0.28,2006A&A...457..637M,0.28,Derived from (B-V)0,318.0,2006A&A...456..623E,40500.0,2012A&A...537A..79R,3.70,2012A&A...537A..79R,5.67,2012A&A...537A..79R,14.0,2012A&A...537A..79R,,None,100.0,2012A&A...537A..79R,2600.0,2012A&A...537A..79R,1.21e-06,2012A&A...537A..79R,False,None,False,,,,,
PGMW 1363,PGMW 1363,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=PGMW+1363,Late O Supergiant,Gaia DR3 4662151201295065344,74.188703718774732,-66.493613919458156,2016.0,LMC,LH 9,O8.5 Iaf,1992AJ....103.1205P,O,8.5,I,12.639718,12.580811,12.713754,-0.094398,0.029003,11.66,1999MNRAS.306..279S,12.61,1999MNRAS.306..279S,12.69,1999MNRAS.306..279S,-0.26,2006A&A...457..637M,0.18,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,,None,False,None,False,,,,,
PGMW 3120,PGMW 3120,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=PGMW+3120,Mid O Dwarf,Gaia DR3 4662155942902804352,74.194993558446697,-66.413017365381165,2016.0,LMC,LH 10,O5.5 V((f*)),1992AJ....103.1205P,O,5.5,V,13.793874,12.694622,12.860391,,,11.71,1992AJ....103.1205P,12.73,1992AJ....103.1205P,12.80,1992AJ....103.1205P,-0.28,2006A&A...457..637M,0.21,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,111.0,2009ApJ...700..844P,,None,,None,False,None,False,,,,,
LMCe055-1,[MNM2015] LMCe055-1,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[MNM2015]+LMCe055-1,Early WN Star,Gaia DR3 4655168748370602880,74.203403543108465,-69.611280530180679,2016.0,LMC,None,WN4 /O4,2017ApJ...837..122M,WN,4.0,None,16.208057,16.114475,16.350716,-0.143490,0.044505,15.07,2004AJ....128.1606Z,16.05,2004AJ....128.1606Z,16.15,2004AJ....128.1606Z,-0.28,2006A&A...457..637M,0.18,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,,None,True,2011AcA....61..103G,False,,,,,
N11 ELS 020,[ELS2006] N11 020,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+020,Mid O Supergiant,Gaia DR3 4662150754618543360,74.209605131014783,-66.517753855496736,2016.0,LMC,LH 9,O5 Inf+p,2010AJ....139.1283W,O,5.0,I,13.029942,12.975265,13.099113,0.036687,0.022307,,None,12.96,2006A&A...456..623E,13.18,2006A&A...456..623E,-0.28,2006A&A...457..637M,0.06,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,260.0,2010AJ....139.1283W,,None,,None,False,None,False,,,,,
SK -65 2,SK -65 2,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-65+2,Early B Dwarf,Gaia DR3 4662311042791128832,74.214721937608218,-65.519003953791668,2016.0,LMC,None,B1 V,1995ApJ...438..188M,B,1.0,V,12.781613,12.703662,12.923569,-0.028907,0.027299,11.76,1979A&AS...38..239I,12.68,1979A&AS...38..239I,12.83,1979A&AS...38..239I,-0.26,1970A&A.....4..234F,0.11,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,,None,False,None,False,,,,,
N11 ELS 026,[ELS2006] N11 026,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+026,Early O Giant,Gaia DR3 4662179994748782464,74.218889120257828,-66.332286244982967,2016.0,LMC,LH 10,O2.5 III(f*),2006A&A...456..623E,O,2.5,III,13.477664,13.407516,13.580840,0.031092,0.020881,,None,13.34,2006A&A...456..623E,13.51,2006A&A...456..623E,-0.28,2006A&A...457..637M,0.11,Derived from (B-V)0,330.0,2006A&A...456..623E,49000.0,2012A&A...543A..95R,4.00,2012A&A...543A..95R,5.82,2012A&A...543A..95R,11.3,2012A&A...543A..95R,,None,72.0,2012A&A...543A..95R,3120.0,2012A&A...543A..95R,1.56e-06,2012A&A...543A..95R,False,None,False,,,,,
N11 ELS 032,[ELS2006] N11 032,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+032,Mid O Bright Giant,Gaia DR3 4662153022361455872,74.226935913302128,-66.404408021575037,2016.0,LMC,LH 10,O7 II(f),2006A&A...456..623E,O,7.0,II,13.609666,13.549040,13.663751,-0.029877,0.025065,12.58,1992AJ....103.1205P,13.57,1992AJ....103.1205P,13.68,1992AJ....103.1205P,-0.27,2006A&A...457..637M,0.16,Derived from (B-V)0,305.0,2006A&A...456..623E,36000.0,2012A&A...537A..79R,3.50,2012A&A...537A..79R,5.44,2012A&A...537A..79R,13.6,2012A&A...537A..79R,,None,60.0,2012A&A...537A..79R,1920.0,2012A&A...537A..79R,9.70e-07,2012A&A...537A..79R,False,None,False,,,,,
N11 ELS 048,[ELS2006] N11 048,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+048,Mid O Dwarf,Gaia DR3 4662152953605873152,74.244991198203337,-66.411345605002353,2016.0,LMC,LH 10,O6.5 V((f)),2006A&A...456..623E,O,6.5,V,14.033206,13.771400,13.975013,0.237511,0.171630,12.87,1992AJ....103.1205P,13.85,1992AJ....103.1205P,14.02,1992AJ....103.1205P,-0.27,2006A&A...457..637M,0.10,Derived from (B-V)0,299.0,2006A&A...456..623E,40700.0,2007A&A...465.1003M,4.19,2007A&A...465.1003M,5.38,2007A&A...465.1003M,9.9,2007A&A...465.1003M,36.6,2007A&A...465.1003M,130.0,2007A&A...465.1003M,3790.0,2007A&A...465.1003M,1.67e-07,2007A&A...465.1003M,False,None,False,,,,,
