target_name_ullyses,target_name_simbad,simbad_link,target_classification,gaia_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,gaia_g_mean_mag,gaia_bp_mean_mag,gaia_rp_mean_mag,gaia_parallax,gaia_parallax_err,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,radial_velocity,radial_velocity_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref,Extra,F225W_STmag,F275W_STmag,F336W_STmag,F475W_STmag,F814W_STmag
WLM BPU A 11,[BPU2006] A 11,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BPU2006]+A+11,Late O Supergiant,Gaia DR3 2415883472953242880,0.499811616650550,-15.472105511184841,2016.0,WLM,None,O9.7 Ia,2008ApJ...684..118U,O,9.7,I,18.330635,18.239504,18.555702,0.204166,0.156663,17.23,2007AJ....133.2393M,18.27,2007AJ....133.2393M,18.38,2007AJ....133.2393M,-0.26,2006A&A...457..637M,0.15,Derived from (B-V)0,-135.0,2011ApJ...741L...8T,29000.0,2015MNRAS.449.1545B,3.25,2015MNRAS.449.1545B,5.69,2015MNRAS.449.1545B,28.0,"Derived from L,Teff",53.0,2015MNRAS.449.1545B,,None,1400.0,2015MNRAS.449.1545B,1.10e-08,2015MNRAS.449.1545B,False,None,True,,,,,
WLM BPU A 15,[BPU2006] A 15,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BPU2006]+A+15,Mid O Dwarf,Gaia DR3 2415883374167570688,0.502221832946291,-15.497892566333610,2016.0,WLM,None,O7 V((f)),2006ApJ...648.1007B,O,7,V,20.213810,20.114845,20.520899,-1.302391,0.670884,18.99,2007AJ....133.2393M,19.97,2007AJ....133.2393M,20.25,2007AJ....133.2393M,-0.27,2006A&A...457..637M,0.00,Derived from (B-V)0,-115.0,2006ApJ...648.1007B,37500.0,2021ApJ...922..191T,4.00,2021ApJ...922..191T,5.30,2021ApJ...922..191T,9.5,2021ApJ...922..191T,29.0,2021ApJ...922..191T,80.0,2021ApJ...922..191T,,None,,None,False,None,True,,,,,
2dFS 163,2dFS 163,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+163,Late O Supergiant,Gaia DR3 4688838203919272832,9.242667048667034,-73.392552072442015,2016.0,SMC,None,O8 Ib(f),2004MNRAS.353..601E,O,8.0,I,14.990089,14.905592,15.111668,-0.016112,0.024421,13.84,2002AJ....123..855Z,14.95,2002AJ....123..855Z,15.11,2002AJ....123..855Z,-0.27,2006A&A...457..637M,0.11,Derived from (B-V)0,145.0,2008MNRAS.386..826E,,None,,None,,None,,None,,None,,None,,None,,None,False,None,False,,,,,
AV 6,AzV 6,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+6,Late O Giant,Gaia DR3 4685852102139246976,11.325863900372660,-73.256387112521779,2016.0,SMC,None,O9 III,1997A&A...317..871L,O,9.0,III,13.760374,13.615991,13.781809,-0.046380,0.027302,12.45,2002ApJS..141...81M,13.36,2002ApJS..141...81M,13.31,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.31,Derived from (B-V)0,192.0,2008MNRAS.386..826E,,None,,None,,None,,None,,None,,None,,None,,None,True,2017MNRAS.472.2241Z,False,,,,,
AV 14,AzV 14,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+14,Early O Dwarf,Gaia DR3 4688857372328703488,11.635977948468552,-73.101550982175112,2016.0,SMC,None,O5 V,2004ApJ...608.1001M,O,5.0,V,13.822063,13.675428,13.964358,-0.094482,0.043245,12.38,2002ApJS..141...81M,13.38,2002ApJS..141...81M,13.55,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.11,Derived from (B-V)0,135.0,2023A&A...673A..40P,42800.0,2023A&A...673A..40P,4.00,2023A&A...673A..40P,5.41,2023A&A...673A..40P,9.3,2023A&A...673A..40P,32.0,2023A&A...673A..40P,90.0,2023A&A...673A..40P,1600.0,2023A&A...673A..40P,2.00e-08,2023A&A...673A..40P,True,2023A&A...673A..40P,False,,,,,
AV 15,AzV 15,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+15,Mid O Bright Giant,Gaia DR3 4685835403303046784,11.675670802649428,-73.415420325682604,2016.0,SMC,None,O6.5 II(f),2000PASP..112.1243W,O,6.5,II,13.120701,12.992791,13.262927,-0.029807,0.030394,11.90,2002ApJS..141...81M,12.93,2002ApJS..141...81M,13.12,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.10,2021A&A...647A.134B,151.0,2016ApJ...817..113L,39000.0,2021A&A...647A.134B,3.61,2021A&A...647A.134B,5.83,2021A&A...647A.134B,18.0,"Derived from L,Teff",47.2,2021A&A...647A.134B,120.0,2021A&A...647A.134B,2050.0,2021A&A...647A.134B,1.10e-06,2021A&A...647A.134B,False,None,False,,,,,
AV 16,AzV 16,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+16,Early B Dwarf,Gaia DR3 4685854571724688768,11.729301610182635,-73.142821738891143,2016.0,SMC,None,sgB0[e],1998A&A...340..117L,B,0.0,I,12.845348,12.967813,12.530721,-0.039346,0.014488,12.29,2002ApJS..141...81M,13.10,2002ApJS..141...81M,12.97,2002ApJS..141...81M,,None,0.07,1996A&A...309..505Z,147.0,1996A&A...309..505Z,,None,,None,,None,,None,,None,,None,,None,,None,True,1996A&A...309..505Z,False,,,,,
AV 18,AzV 18,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+18,Early B Supergiant,Gaia DR3 4688950933906863488,11.800913755285549,-73.109203563056425,2016.0,SMC,None,B2 Ia,1997A&A...317..871L,B,2.0,I,12.393767,12.398276,12.345975,0.009630,0.020790,11.70,1977A&AS...30..261A,12.49,1977A&AS...30..261A,12.46,1977A&AS...30..261A,-0.17,1970A&A.....4..234F,0.20,Derived from (B-V)0,148.0,2004A&A...417..217T,19000.0,2004A&A...417..217T,2.30,2004A&A...417..217T,5.44,2004A&A...417..217T,49.0,2004A&A...417..217T,28.0,2004A&A...417..217T,49.0,2004A&A...417..217T,325.0,2004ApJ...607..451E,2.30e-07,2004A&A...417..217T,False,None,False,,,,,
AV 22,AzV 22,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+22,Mid B Supergiant,Gaia DR3 4685948275085827328,11.911430857978619,-73.130242073664974,2016.0,SMC,None,B5 Ia,1997A&A...317..871L,B,5.0,I,12.165033,12.160010,12.139441,0.002775,0.022311,11.53,1980A&AS...42....1A,12.19,1980A&AS...42....1A,12.20,1980A&AS...42....1A,-0.09,1970A&A.....4..234F,0.08,Derived from (B-V)0,143.7,2018AJ....155..207N,14500.0,2004A&A...417..217T,1.90,2004A&A...417..217T,5.04,2004A&A...417..217T,53.0,2004A&A...417..217T,19.0,2004A&A...417..217T,46.0,2004A&A...417..217T,280.0,2004A&A...417..217T,2.30e-07,2004A&A...417..217T,False,None,False,,,,,
AV 26,AzV 26,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+26,Mid O Supergiant,Gaia DR3 4685947553531340800,11.958547730318070,-73.139187305468084,2016.0,SMC,None,O6 I(f),2004ApJ...608.1001M,O,6,I,12.415907,12.321815,12.575917,-0.027831,0.033606,11.29,2002ApJS..141...81M,12.29,2002ApJS..141...81M,12.46,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.10,Derived from (B-V)0,154.0,2013ApJ...768....6M,38000.0,2005ApJ...627..477M,3.52,2005ApJ...627..477M,6.14,2005ApJ...627..477M,27.5,2005ApJ...627..477M,81.0,2005ApJ...627..477M,150.0,2005ApJ...627..477M,2150.0,2005ApJ...627..477M,2.50e-06,2005ApJ...627..477M,False,None,True,,,,,
AV 39a,AzV 39a,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+39a,Mid WN Star,Gaia DR3 4685931438808874496,12.128530166567202,-73.262736098867606,2016.0,SMC,None,WN5ha,2003MNRAS.338..360F,WN,5.0,None,14.329463,14.247101,14.460342,-0.018365,0.022363,13.08,2002ApJS..141...81M,14.08,2002ApJS..141...81M,14.26,2002ApJS..141...81M,,None,0.10,2015A&A...581A..21H,217.9,2003MNRAS.338..360F,47000.0,2015A&A...581A..21H,,None,5.57,2015A&A...581A..21H,9.1,2015A&A...581A..21H,43.0,2015A&A...581A..21H,,None,900.0,2015A&A...581A..21H,1.80e-06,2015A&A...581A..21H,False,None,False,,,,,
AV 43,AzV 43,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+43,Early B Dwarf,Gaia DR3 4688971141771555072,12.199585037884555,-72.773586592770201,2016.0,SMC,None,B0.5 III,2013ApJ...763..101L,B,0.2,V,13.935751,13.834197,14.094743,-0.046708,0.025818,12.80,2002ApJS..141...81M,13.76,2002ApJS..141...81M,13.88,2002ApJS..141...81M,-0.30,1970A&A.....4..234F,0.08,2021A&A...647A.134B,168.0,2016ApJ...817..113L,28500.0,2021A&A...647A.134B,3.37,2021A&A...647A.134B,5.13,2021A&A...647A.134B,15.1,"Derived from L,Teff",22.4,2021A&A...647A.134B,200.0,2021A&A...647A.134B,1200.0,2021A&A...647A.134B,2.20e-08,2021A&A...647A.134B,False,None,False,,,,,
AV 47,AzV 47,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+47,Late O Giant,Gaia DR3 4685925666371896576,12.214544252370553,-73.432934015884101,2016.0,SMC,None,O8 III((f)),2000PASP..112.1243W,O,8.0,III,13.668583,13.428123,13.768856,1.831487,0.399872,12.26,2002ApJS..141...81M,13.26,2002ApJS..141...81M,13.44,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.05,2021A&A...647A.134B,128.0,2000PASP..112.1243W,35000.0,2021A&A...647A.134B,3.75,2021A&A...647A.134B,5.44,2021A&A...647A.134B,14.3,2021A&A...647A.134B,42.2,2021A&A...647A.134B,60.0,2021A&A...647A.134B,2000.0,2021A&A...647A.134B,2.10e-08,2021A&A...647A.134B,False,None,False,,,,,
OGLE J004942.75-731717.7,OGLE J004942.75-731717.7,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=OGLE+J004942.75-731717.7,Early O Dwarf,Gaia DR3 4685931679327948800,12.428102619122880,-73.288384395320890,2016.0,SMC,None,O6 V((f))e,2016ApJ...819...55G,O,6,V,14.443495,14.377624,14.495937,0.020563,0.021434,13.31,2002ApJS..141...81M,14.17,2002ApJS..141...81M,14.11,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.34,Derived from (B-V)0,152.0,2016ApJ...817..113L,,None,,None,,None,,None,,None,,None,,None,,None,False,None,True,,,,,
AV 61,AzV 61,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+61,Mid O Giant,Gaia DR3 4689052849220827008,12.507784710272414,-72.190724944727393,2016.0,SMC,None,O6 III((f))e_1_,2016ApJ...817..113L,O,6.0,III,13.582882,13.466701,13.782186,0.006019,0.023331,12.31,2002ApJS..141...81M,13.36,2002ApJS..141...81M,13.54,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.09,Derived from (B-V)0,143.0,2016ApJ...817..113L,,None,,None,,None,,None,,None,228.0,2009ApJ...700..844P,2025.0,1998MNRAS.300..828P,,None,False,None,False,,,,,
AV 69,AzV 69,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+69,Mid O Giant,Gaia DR3 4688960043574823296,12.571705708299055,-72.891744423441750,2016.0,SMC,None,OC7.5 III((f)),2000PASP..112.1243W,O,7.5,III,13.272700,13.171317,13.447954,0.010030,0.023136,12.09,2002ApJS..141...81M,13.09,2002ApJS..141...81M,13.27,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.11,2021A&A...647A.134B,130.0,2000PASP..112.1243W,33900.0,2021A&A...647A.134B,3.50,2021A&A...647A.134B,5.61,2021A&A...647A.134B,18.6,"Derived from L,Teff",39.7,2021A&A...647A.134B,70.0,2021A&A...647A.134B,1800.0,2021A&A...647A.134B,9.80e-07,2021A&A...647A.134B,False,None,False,,,,,
AV 70,AzV 70,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+70,Late O Supergiant,Gaia DR3 4688978838366817280,12.575522217816799,-72.636126894055309,2016.0,SMC,None,O9.5 Ibw,2002ApJS..141..443W,O,9.5,I,12.348660,12.251353,12.506648,0.012503,0.033209,11.27,1975A&AS...22..285A,12.21,1975A&AS...22..285A,12.38,1975A&AS...22..285A,-0.26,2006A&A...457..637M,0.09,Derived from (B-V)0,158.0,2008MNRAS.386..826E,28500.0,2004ApJ...610.1021E,3.10,2004ApJ...610.1021E,5.68,2004ApJ...610.1021E,28.4,2004ApJ...610.1021E,,None,100.0,2004ApJ...610.1021E,1450.0,2004ApJ...610.1021E,1.50e-06,2004ApJ...610.1021E,False,None,False,,,,,
AV 75,AzV 75,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+75,Mid O Giant,Gaia DR3 4688960073598936960,12.635032438250210,-72.876794847490714,2016.0,SMC,None,O5 III(f+),2000PASP..112.1243W,O,5.0,III,12.714729,12.624759,12.867915,-0.046646,0.028722,11.55,2002ApJS..141...81M,12.55,2002ApJS..141...81M,12.70,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.14,2021A&A...647A.134B,141.0,2000PASP..112.1243W,38500.0,2021A&A...647A.134B,3.51,2021A&A...647A.134B,5.94,2021A&A...647A.134B,21.0,"Derived from L,Teff",51.1,2021A&A...647A.134B,120.0,2021A&A...647A.134B,2050.0,2021A&A...647A.134B,1.60e-06,2021A&A...647A.134B,False,None,False,,,,,
AV 77,AzV 77,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+77,Mid O Giant,Gaia DR3 4688964304182205824,12.639653986660065,-72.795841321585357,2016.0,SMC,None,O7 III,1987AJ.....93.1070G,O,7,III,13.907242,13.803407,14.092811,-0.041599,0.024635,12.74,2002ApJS..141...81M,13.73,2002ApJS..141...81M,13.92,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.15,2021A&A...647A.134B,,None,37500.0,2021A&A...647A.134B,3.74,2021A&A...647A.134B,5.40,2021A&A...647A.134B,11.9,"Derived from L,Teff",28.1,2021A&A...647A.134B,150.0,2021A&A...647A.134B,1400.0,2021A&A...647A.134B,1.30e-08,2021A&A...647A.134B,False,None,True,,,,,
AV 78,AzV 78,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+78,Early B Supergiant,Gaia DR3 4685876050900042880,12.659954430806584,-73.471743505152602,2016.0,SMC,None,B1.5 Ia+,1997A&A...317..871L,B,1.5,I,11.011279,10.982479,11.013746,-0.018108,0.021536,10.13,1977A&AS...30..261A,11.02,1977A&AS...30..261A,11.05,1977A&AS...30..261A,-0.18,1970A&A.....4..234F,0.15,Derived from (B-V)0,164.0,2004ApJ...607..451E,21500.0,2005A&A...434..677T,2.40,2005A&A...434..677T,5.92,2005A&A...434..677T,79.0,2005A&A...434..677T,53.0,2005A&A...434..677T,46.0,2006A&A...451..603D,450.0,2004ApJ...607..451E,2.30e-06,2005A&A...434..677T,False,None,True,,,,,
AV 81,SK 41,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+41,Mid WN Star,Gaia DR3 4685879040157034624,12.680949100229538,-73.451620557935954,2016.0,SMC,None,WN6h,2003MNRAS.338..360F,WN,6.0,None,13.570261,13.433470,13.569660,-0.113283,0.044678,12.36,2002ApJS..141...81M,13.25,2002ApJS..141...81M,13.37,2002ApJS..141...81M,,None,0.09,2015A&A...581A..21H,224.8,2003MNRAS.338..360F,45000.0,2015A&A...581A..21H,,None,5.78,2015A&A...581A..21H,13.0,2015A&A...581A..21H,38.0,2015A&A...581A..21H,,None,1000.0,2015A&A...581A..21H,6.60e-06,2015A&A...581A..21H,False,None,False,,,,,
AV 80,AzV 80,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+80,Mid O Giant,Gaia DR3 4688964334254663168,12.682564430020209,-72.794881631905042,2016.0,SMC,None,O4-6n(f)p,2000PASP..112.1243W,O,4.0,None,13.416051,13.286725,13.532602,0.136800,0.046158,12.22,2002ApJS..141...81M,13.19,2002ApJS..141...81M,13.32,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.15,Derived from (B-V)0,131.0,2004ApJ...607..451E,38000.0,2006ApJ...638..409H,3.50,2006ApJ...638..409H,,None,,None,,None,325.0,2006ApJ...638..409H,1550.0,2004ApJ...607..451E,,None,False,None,False,,,,,
AV 83,AzV 83,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+83,Mid O Supergiant,Gaia DR3 4688966125248119808,12.716681815105341,-72.704155686413642,2016.0,SMC,None,O7 Iaf+,2000PASP..112.1243W,O,7.0,I,13.503373,13.407971,13.651446,-0.009466,0.025615,,None,13.45,2000PASP..112.1243W,13.58,2000PASP..112.1243W,-0.27,2006A&A...457..637M,0.13,2021A&A...647A.134B,118.0,2000PASP..112.1243W,32800.0,2021A&A...647A.134B,3.26,2021A&A...647A.134B,5.54,2021A&A...647A.134B,18.3,"Derived from L,Teff",22.1,2021A&A...647A.134B,80.0,2021A&A...647A.134B,940.0,2021A&A...647A.134B,2.30e-06,2021A&A...647A.134B,False,None,False,,,,,
AV 85,AzV 85,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+85,Early B Bright Giant,Gaia DR3 4688959940495161600,12.750778169220339,-72.884523721396206,2016.0,SMC,None,B1 II-IIIe,2006A&A...457..949M,B,1.0,II,14.013176,13.906752,14.035654,-0.060114,0.026115,12.69,1982A&AS...50..291A,13.68,1982A&AS...50..291A,13.75,1982A&AS...50..291A,-0.24,1970A&A.....4..234F,0.17,Derived from (B-V)0,160.0,2016ApJ...817..113L,,None,,None,,None,,None,,None,,None,,None,,None,False,None,False,,,,,
AV 95,AzV 95,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+95,Mid O Giant,Gaia DR3 4688965060095843072,12.840010693290727,-72.737470618157644,2016.0,SMC,None,O7 III((f)),2000PASP..112.1243W,O,7.0,III,13.800105,13.680585,13.947892,0.111911,0.035282,12.57,2002ApJS..141...81M,13.60,2002ApJS..141...81M,13.78,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.09,Derived from (B-V)0,137.0,2000PASP..112.1243W,38200.0,2006A&A...456.1131M,3.66,2006A&A...456.1131M,5.56,2006A&A...456.1131M,13.8,2006A&A...456.1131M,39.3,2006A&A...456.1131M,68.0,2006A&A...456.1131M,1700.0,2004ApJ...607..451E,3.60e-07,2006A&A...456.1131M,False,None,False,,,,,
AV 96,AzV 96,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+96,Early B Supergiant,Gaia DR3 4689054945164735616,12.846457390612708,-72.122482648601377,2016.0,SMC,None,B1.5 Ia,1997A&A...317..871L,B,1.5,I,12.603434,12.533998,12.715177,-0.040681,0.026059,11.54,2002ApJS..141...81M,12.49,2002ApJS..141...81M,12.59,2002ApJS..141...81M,-0.18,1970A&A.....4..234F,0.08,Derived from (B-V)0,166.0,2016ApJ...817..113L,22000.0,2005A&A...434..677T,2.55,2005A&A...434..677T,5.39,2005A&A...434..677T,34.0,2005A&A...434..677T,27.0,2005A&A...434..677T,90.0,2005A&A...434..677T,850.0,2005A&A...434..677T,2.40e-07,2005A&A...434..677T,False,None,False,,,,,
AV 104,AzV 104,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+104,Early B Supergiant,Gaia DR3 4688961516740580224,12.910127526131612,-72.801694822979073,2016.0,SMC,None,B0.5 Ia,1997A&A...317..871L,B,0.5,I,13.211864,13.115111,13.370609,0.033520,0.022675,12.05,2002ApJS..141...81M,13.01,2002ApJS..141...81M,13.17,2002ApJS..141...81M,-0.22,1970A&A.....4..234F,0.06,Derived from (B-V)0,163.0,2004A&A...417..217T,27500.0,2004A&A...417..217T,3.10,2004A&A...417..217T,5.31,2004A&A...417..217T,20.0,2004A&A...417..217T,26.0,2004A&A...417..217T,80.0,2004A&A...417..217T,1340.0,2004A&A...417..217T,4.00e-07,2004A&A...417..217T,False,None,False,,,,,
2dFS 5066,2dFS 5066,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+5066,Mid O Dwarf,Gaia DR3 4688991585819715712,13.303565468187278,-72.616662097624243,2016.0,SMC,None,O6 V((f)),2004MNRAS.353..601E,O,6,V,14.144600,14.023800,14.366647,0.021211,0.027909,12.84,2002ApJS..141...81M,13.90,2002ApJS..141...81M,14.10,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.08,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,,None,False,None,True,,,,,
AV 148,AzV 148,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+148,Late O Dwarf,Gaia DR3 4688986431859207296,13.425978848446727,-72.709805511489577,2016.0,SMC,None,O8.5 V,1995ApJ...438..188M,O,8.5,V,14.167102,14.049144,14.358999,-0.042817,0.025737,12.92,2002ApJS..141...81M,13.92,2002ApJS..141...81M,14.12,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.07,Derived from (B-V)0,,None,32300.0,2013A&A...555A...1B,4.00,2013A&A...555A...1B,4.84,2013A&A...555A...1B,8.4,"Derived from L,Teff",19.0,2013A&A...555A...1B,60.0,2013A&A...555A...1B,1540.0,2013A&A...555A...1B,2.00e-09,2013A&A...555A...1B,False,None,False,,,,,
2dFS 999,SMC AB 9,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SMC+AB+9,Early WN Star,Gaia DR3 4685983940501730944,13.633992725876340,-72.743245887327944,2016.0,SMC,None,WN3 ha,2003MNRAS.338..360F,WN,3.0,None,15.530043,15.357233,15.639075,-0.218664,0.056179,14.13,2002ApJS..141...81M,15.12,2002ApJS..141...81M,15.24,2002ApJS..141...81M,,None,0.09,2015A&A...581A..21H,152.0,2003MNRAS.338..360F,100000.0,2015A&A...581A..21H,,None,6.05,2015A&A...581A..21H,3.5,2015A&A...581A..21H,,None,,None,1800.0,2015A&A...581A..21H,2.20e-06,2015A&A...581A..21H,False,None,False,,,,,
AV 170,AzV 170,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+170,Late O Supergiant,Gaia DR3 4685907490067913728,13.926801828735597,-73.291817815957131,2016.0,SMC,None,O9.7 III,2000PASP..112.1243W,O,9.7,III,13.997984,13.880596,14.210587,0.023020,0.026429,12.74,2002ApJS..141...81M,13.74,2002ApJS..141...81M,13.93,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.07,Derived from (B-V)0,168.0,2016ApJ...817..113L,30500.0,2021A&A...647A.134B,3.41,2021A&A...647A.134B,5.14,2021A&A...647A.134B,13.3,"Derived from L,Teff",16.6,2021A&A...647A.134B,70.0,2021A&A...647A.134B,1200.0,2021A&A...647A.134B,1.50e-09,2021A&A...647A.134B,False,None,True,,,,,
NGC330 ROB B22,Cl* NGC330 ARP 45,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC330+ARP+45,Early B Bright Giant,Gaia DR3 4688993716122710272,14.042002688774488,-72.459048121558439,2016.0,SMC,NGC 330,B2 II,2003A&A...398..455L,B,2,II,14.304856,14.236602,14.422239,-0.017158,0.021472,13.41,2003A&A...398..455L,14.16,2003A&A...398..455L,14.29,2003A&A...398..455L,-0.21,1970A&A.....4..234F,0.08,Derived from (B-V)0,153.6,2021A&A...652A..70B,20000.0,2003A&A...398..455L,3.60,2003A&A...398..455L,4.65,2003A&A...398..455L,17.6,2003A&A...398..455L,14.0,2003A&A...398..455L,35.0,2003A&A...398..455L,,None,,None,False,None,True,,,,,
NGC330 ELS 004,CL* NGC 330 ELS 4,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+330+ELS+4,Early B Supergiant,Gaia DR3 4688993475604579840,14.086700416959813,-72.476154272345951,2016.0,SMC,NGC 330,B2.5 Ib,2006A&A...456..623E,B,2.5,I,13.229139,13.180513,13.297827,0.007958,0.017603,,None,13.26,2006A&A...456..623E,13.33,2006A&A...456..623E,-0.15,1970A&A.....4..234F,0.08,Derived from (B-V)0,158.0,2008MNRAS.386..826E,17000.0,2007A&A...471..625T,2.30,2007A&A...471..625T,4.77,2007A&A...471..625T,28.0,"Derived from L,Teff",15.0,2007A&A...471..625T,41.0,2007A&A...471..625T,,None,,None,False,None,False,,,,,
NGC330 ELS 002,CL* NGC 330 ELS 2,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+330+ELS+2,Early B Supergiant,Gaia DR3 4688993475604539520,14.103606747018851,-72.461653079352530,2016.0,SMC,NGC 330,B3 Ib,2006A&A...456..623E,B,3.0,I,12.922342,12.891226,12.968570,-0.019152,0.025678,12.07,2002ApJS..141...81M,12.80,2002ApJS..141...81M,12.87,2002ApJS..141...81M,-0.13,1970A&A.....4..234F,0.06,Derived from (B-V)0,154.0,2006A&A...456..623E,14590.0,2007A&A...471..625T,2.15,2007A&A...471..625T,4.73,2007A&A...471..625T,36.3,"Derived from L,Teff",15.0,2007A&A...471..625T,14.0,2007A&A...471..625T,,None,,None,False,None,False,,,,,
NGC330 ROB A1,Cl* NGC330 ARP 13,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC330+ARP+13,Early B Dwarf,Gaia DR3 4688993471342805248,14.107914985092016,-72.464858774778335,2016.0,SMC,NGC 330,B0.5 III/V,1996A&A...314..243L,B,0.5,III,14.694714,14.595297,14.848124,-0.033744,0.026809,13.67,1996A&A...316..173M,14.52,1996A&A...316..173M,14.70,1996A&A...316..173M,-0.28,1970A&A.....4..234F,0.10,Derived from (B-V)0,151.0,2004PASP..116..909E,24000.0,2003A&A...398..455L,3.70,2003A&A...398..455L,4.67,2003A&A...398..455L,12.6,2003A&A...398..455L,15.0,2003A&A...398..455L,30.0,2003A&A...398..455L,,None,,None,False,None,True,,,,,
AV 175,AzV 175,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+175,Early B Bright Giant,Gaia DR3 4685986483121883776,14.158667191437679,-72.609805365476220,2016.0,SMC,None,B1 IIW,1987AJ.....93.1070G,B,1.0,II,13.567280,13.510694,13.660946,-0.016183,0.018529,12.61,2002ApJS..141...81M,13.45,2002ApJS..141...81M,13.53,2002ApJS..141...81M,-0.24,1970A&A.....4..234F,0.16,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,51.0,2009ApJ...700..844P,,None,,None,False,None,False,,,,,
AV 177,AzV 177,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+177,Early O Dwarf,Gaia DR3 4689067108514288768,14.183774754784565,-72.058805519760909,2016.0,SMC,None,O4 V((f)),2005ApJ...627..477M,O,4.0,V,14.561357,14.434206,14.795897,-0.046373,0.029751,13.27,2002ApJS..141...81M,14.32,2002ApJS..141...81M,14.53,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.07,Derived from (B-V)0,103.0,2016ApJ...817..113L,44500.0,2013A&A...555A...1B,4.03,2013A&A...555A...1B,5.43,2013A&A...555A...1B,8.7,"Derived from L,Teff",38.8,2013A&A...555A...1B,220.0,2013A&A...555A...1B,2400.0,2013A&A...555A...1B,1.40e-07,2013A&A...555A...1B,False,None,False,,,,,
