target_name_std,target_name_simbad,simbad_link,target_classification,gaia_dr2_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref
SK -67 107,SK -67 107,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+107,Early B Supergiant,Gaia DR2 4658679012285241344,81.58616333,-67.49879078,2015.5,LMC,LH 54,O9 Ib(f),1998AJ....116.1263O,O,9,I,11.49,1998AJ....116.1263O,12.51,1998AJ....116.1263O,12.67,1998AJ....116.1263O,-0.26,2006A&A...457..637M,0.1,Derived from (B-V)0,,None,,None,,None,,None,,None,82,2009ApJ...700..844P,,None,,None,FALSE,None
SK -67 108,SK -67 108,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+108,Early O Giant,Gaia DR2 4658676504024365440,81.61028201,-67.62234775,2015.5,LMC,None,O4-5 III,1988ApJ...335..703F,O,4,III,11.33,2002ApJS..141...81M,12.37,2002ApJS..141...81M,12.57,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.08,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None
LH 58-496,[L72] LH 58-496,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[L72]+LH+58-496,Mid O Dwarf,Gaia DR2 4658488247029968768,81.6832611,-68.8116808,2015.5,LMC,LH 58,O5 V((f)),2000AJ....119.2214M,O,5,V,12.41,1994AJ....108.1256G,13.51,1994AJ....108.1256G,13.73,1994AJ....108.1256G,-0.28,2006A&A...457..637M,0.06,Derived from (B-V)0,42000,2005ApJ...627..477M,4,2005ApJ...627..477M,5.48,2005ApJ...627..477M,10.5,2005ApJ...627..477M,44,2005ApJ...627..477M,,None,2400,2005ApJ...627..477M,6.00E-07,2005ApJ...627..477M,FALSE,None
SK -67 111,SK -67 111,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+111,Mid O Supergiant,Gaia DR2 4658684681642882304,81.70034325,-67.4916046,2015.5,LMC,LH 60,O6 Ia(n)fpv,2010AJ....139.1283W,O,6,I,11.33,2002ApJS..141...81M,12.39,2002ApJS..141...81M,12.6,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.06,Derived from (B-V)0,,None,,None,,None,,None,,None,230,2010AJ....139.1283W,2000,2003ApJ...586..996M,,None,FALSE,None
BI 173,BI 173,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BI+173,Late O Bright Giant,Gaia DR2 4658104341338342528,81.79145451,-69.13234527,2015.5,LMC,None,O8 II:,2002ApJS..141..443W,O,8,II,11.78,2002ApJS..141...81M,12.8,2002ApJS..141...81M,12.96,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.11,Derived from (B-V)0,34500,2009ApJ...692..618M,3.4,2009ApJ...692..618M,5.6,2009ApJ...692..618M,17.6,2009ApJ...692..618M,40,2009ApJ...692..618M,200,2009ApJ...692..618M,1950,1998MNRAS.300..828P,1.60E-06,2009ApJ...692..618M,FALSE,None
SK -67 118,SK -67 118,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+118,Mid O Dwarf,Gaia DR2 4660188538691934848,81.88875678,-67.29175593,2015.5,LMC,None,O7 V,1995ApJ...438..188M,O,7,V,11.76,2002ApJS..141...81M,12.79,2002ApJS..141...81M,12.98,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.08,Derived from (B-V)0,,None,,None,,None,,None,,None,61,2009ApJ...700..844P,,None,,None,FALSE,None
SK -69 140,SK -69 140,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+140,Early B Supergiant,Gaia DR2 4658097405057911808,81.91413825,-69.21162554,2015.5,LMC,None,B4 I,1978A&AS...31..243R,B,4,I,11.66,2002ApJS..141...81M,12.61,2002ApJS..141...81M,12.71,2002ApJS..141...81M,-0.13,1970A&A.....4..234F,0.03,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None
SK -66 100,SK -66 100,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-66+100,Mid O Bright Giant,Gaia DR2 4660223379469868416,81.93938118,-66.9209132,2015.5,LMC,None,O6 II(f),1995PASP..107..104W,O,6,II,11.99,1979A&AS...38..239I,13.05,1979A&AS...38..239I,13.26,1979A&AS...38..239I,-0.27,2006A&A...457..637M,0.06,Derived from (B-V)0,39000,2012A&A...537A..79R,3.7,2012A&A...537A..79R,5.59,2012A&A...537A..79R,13.7,2012A&A...537A..79R,,None,59,2012A&A...537A..79R,2075,2012A&A...537A..79R,8.30E-07,2012A&A...537A..79R,FALSE,None
SK -71 35,SK -71 35,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-71+35,Early B Bright Giant,Gaia DR2 4651835961162249984,82.517431,-71.13228361,2015.5,LMC,None,B1 II,2018A&A...615A..40R,B,1,II,11.94,2002ApJS..141...81M,12.88,2002ApJS..141...81M,12.97,2002ApJS..141...81M,-0.24,1970A&A.....4..234F,0.12,2018A&A...615A..40R,23000,2018A&A...615A..40R,2.8,2018A&A...615A..40R,5.34,2018A&A...615A..40R,29.5,2018A&A...615A..40R,20,2018A&A...615A..40R,87,2018A&A...615A..40R,400,2018A&A...615A..40R,1.10E-06,2018A&A...615A..40R,FALSE,None
BI 184,BI 184,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BI+184,Late O Dwarf,Gaia DR2 4651835583204855936,82.62778601,-71.04211032,2015.5,LMC,None,O8 (V)e,2018A&A...615A..40R,O,8,V,12.8,2002ApJS..141...81M,13.76,2002ApJS..141...81M,13.84,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.17,2018A&A...615A..40R,34000,2018A&A...615A..40R,4,2018A&A...615A..40R,5.28,2018A&A...615A..40R,12.6,2018A&A...615A..40R,58,2018A&A...615A..40R,100,2018A&A...615A..40R,2470,2018A&A...615A..40R,2.20E-07,2018A&A...615A..40R,FALSE,None
