Dataset, Target Name, RA (J2000), Dec (J2000), Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
O6DF01020,AV215,14.7317083,-72.5355833,10,10/21/01 2:49,10/21/01 3:26,2251,STIS  ,0.2X0.2,E230M,1978,9116,10/21/02 3:26,O6DF01020,,,15.547
O6DF01030,AV215,14.7317083,-72.5355833,10,10/21/01 3:38,10/21/01 6:06,6357,STIS  ,0.2X0.2,E140M,1425,9116,11/22/06 23:05,O6DF01030,,,15.547
O6DF20020,NGC330-B37,14.0867167,-72.4760972,10,10/25/01 0:30,10/25/01 1:08,2259,STIS  ,0.2X0.2,E140M,1425,9116,12/17/06 3:18,O6DF20020,,,25.322
O6DF20030,NGC330-B37,14.0867167,-72.4760972,10,10/25/01 1:29,10/25/01 2:23,3236,STIS  ,0.2X0.2,E140M,1425,9116,12/17/06 5:16,O6DF20030,,,25.322
O6DF20040,NGC330-B37,14.0867167,-72.4760972,10,10/25/01 3:05,10/25/01 3:59,3236,STIS  ,0.2X0.2,E230M,1978,9116,12/19/06 14:17,O6DF20040,,,25.322
O6DF21020,NGC330-B37,14.0867167,-72.4760972,10,9/30/02 19:23,9/30/02 20:00,2259,STIS  ,0.2X0.2,E140M,1425,9116,12/17/06 12:59,O6DF21020,,,25.322
O6DF21030,NGC330-B37,14.0867167,-72.4760972,10,9/30/02 20:40,9/30/02 21:34,3236,STIS  ,0.2X0.2,E140M,1425,9116,12/17/06 14:52,O6DF21030,,,25.322
O6DF21040,NGC330-B37,14.0867167,-72.4760972,10,9/30/02 22:17,9/30/02 23:11,3236,STIS  ,0.2X0.2,E230M,1978,9116,12/17/06 18:52,O6DF21040,,,25.322
O6DF22020,NGC330-A02,14.1035625,-72.4616083,10,12/31/02 0:22,12/31/02 0:59,2220,STIS  ,0.2X0.2,E230M,1978,9116,12/17/06 22:53,O6DF22020,,,25.73
O6DF22030,NGC330-A02,14.1035625,-72.4616083,10,12/31/02 1:39,12/31/02 4:09,6472,STIS  ,0.2X0.2,E230M,1978,9116,12/18/06 1:00,O6DF22030,,,25.73
O6DF23020,NGC330-A02,14.1035625,-72.4616083,10,1/10/03 19:15,1/10/03 19:53,2259,STIS  ,0.2X0.2,E140M,1425,9116,12/18/06 11:05,O6DF23020,,,25.73
O6DF23030,NGC330-A02,14.1035625,-72.4616083,10,1/10/03 20:22,1/10/03 22:52,6472,STIS  ,0.2X0.2,E140M,1425,9116,12/18/06 16:43,O6DF23030,,,25.73
O6DF24020,NGC330-A02,14.1035625,-72.4616083,10,12/30/02 21:09,12/30/02 21:47,2259,STIS  ,0.2X0.2,E140M,1425,9116,12/19/06 20:18,O6DF24020,,,25.73
O6DF24030,NGC330-A02,14.1035625,-72.4616083,10,12/30/02 22:27,12/30/02 23:21,3236,STIS  ,0.2X0.2,E140M,1425,9116,12/19/06 22:47,O6DF24030,,,25.73
OCKP11010,AZV388,16.4148125,-72.4908917,1,10/25/15 9:59,10/25/15 10:46,2820,STIS  ,0.2X0.2,E230M,2269,13778,10/25/16 13:53,OCKP11010,,,28.906
OCKP11020,AZV388,16.4148125,-72.4908917,1,10/25/15 11:25,10/25/15 13:57,6724,STIS  ,0.2X0.2,E230M,1978,13778,10/25/16 21:59,OCKP11020,,,28.906
OCKP12010,AZV388,16.4148125,-72.4908917,1,10/26/15 6:38,10/26/15 10:36,9574,STIS  ,0.2X0.2,E140M,1425,13778,10/26/16 14:27,OCKP12010,,,28.906
O6DF04020,AV210,14.6489292,-72.273575,10,10/22/01 2:53,10/22/01 3:30,2251,STIS  ,0.2X0.2,E230M,1978,9116,11/23/06 22:38,O6DF04020,,,30.891
O6DF04030,AV210,14.6489292,-72.273575,10,10/22/01 3:38,10/22/01 4:32,3236,STIS  ,0.2X0.2,E140M,1425,9116,11/24/06 0:51,O6DF04030,,,30.891
