Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name
ODA910010,SK-69175,82.8564375,-69.0940083,1,5/24/17 0:42,5/24/17 1:20,2260,STIS  ,0.2X0.2,E140M,1425,14675,5/24/17 3:04,ODA910010
ODA910020,SK-69175,82.8564375,-69.0940083,1,5/24/17 2:12,5/24/17 2:55,2585,STIS  ,0.2X0.2,E230M,1978,14675,5/24/17 8:06,ODA910020
OD7M08010,2DFL-51-50,82.7834375,-68.6151833,1,8/11/17 8:12,8/11/17 8:58,2800,STIS  ,0.2X0.2,E140M,1425,14683,8/12/18 14:25,OD7M08010
OD7M08020,2DFL-51-50,82.7834375,-68.6151833,1,8/11/17 9:36,8/11/17 10:31,3300,STIS  ,0.2X0.2,E140M,1425,14683,8/12/18 14:25,OD7M08020
OD7M04010,AAOMEGA-30DOR-142,83.5258375,-69.4192861,1,12/5/17 19:18,12/5/17 20:05,2800,STIS  ,0.2X0.2,E140M,1425,14683,12/6/18 0:00,OD7M04010
OD7M04020,AAOMEGA-30DOR-142,83.5258375,-69.4192861,1,12/5/17 20:37,12/5/17 21:32,3300,STIS  ,0.2X0.2,E140M,1425,14683,12/6/18 0:00,OD7M04020
OD7M04030,AAOMEGA-30DOR-142,83.5258375,-69.4192861,1,12/5/17 22:13,12/5/17 23:08,3300,STIS  ,0.2X0.2,E140M,1425,14683,12/6/18 2:00,OD7M04030
ODA928010,SK-68129,84.1115333,-68.9588611,1,10/7/16 20:43,10/7/16 21:20,2200,STIS  ,0.2X0.2,E230M,1978,14675,10/10/16 12:39,ODA928010
ODA928020,SK-68129,84.1115333,-68.9588611,1,10/7/16 22:05,10/7/16 22:51,2750,STIS  ,0.2X0.2,E230M,1978,14675,10/8/16 5:12,ODA928020
ODA928030,SK-68129,84.1115333,-68.9588611,1,10/7/16 23:40,10/8/16 0:26,2750,STIS  ,0.2X0.2,E230M,1978,14675,10/8/16 8:03,ODA928030
ODA928040,SK-68129,84.1115333,-68.9588611,1,10/8/16 1:16,10/8/16 2:01,2750,STIS  ,0.2X0.2,E230M,1978,14675,10/8/16 8:38,ODA928040
ODA928050,SK-68129,84.1115333,-68.9588611,1,10/8/16 2:51,10/8/16 3:37,2750,STIS  ,0.2X0.2,E230M,1978,14675,10/8/16 12:09,ODA928050
ODA923010,SK-69220,84.1821125,-69.4965222,1,5/29/17 4:37,5/29/17 5:14,2240,STIS  ,0.2X0.2,E230M,1978,14675,5/29/17 9:33,ODA923010
