targets,RA,DEC,AR_targets,SpT,E(B-V),U,archival exptime,flux1150,flux1200,flux1520,Settings,ETC_FUV_file,ETC_NUV_file
Sk -67 20|[M2002] 25077,4h55m31.35s,-67d30m03.4s,HD 32109,WN4b,nan,12.89,598,nan,4.61E-13,1.67E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_25077.0/swp38449/swp38449.mxlo.gz|downloaded/LMC/IUE/[M2002]_25077.0/swp38449/swp38449mxlo_vo.fits,Model
BI 28|[M2002] 25325,4h55m34.85s,-69d48m35.7s,,B1 V,0.14,13.39,,nan,nan,nan,,Model,Model
BI 29|[M2002] 25402,4h55m35.7s,-69d01m21.7s,,O8 V,0.04,13.53,,nan,nan,nan,,Model,Model
Sk -69 39|[M2002] 25728,4h55m40.72s,-69d52m21.1s,2MASS04554067-6952203,B8 I,0.09,12.45,35400,nan,nan,nan,,Model,Model
Sk -69 42|[M2002] 27276,4h56m02.96s,-69d27m21.9s,FD 5|FD 5,WC4,nan,13.64,7199| 4199,nan,1.66E-13,1.36E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_27276.0/swp07582/swp07582.mxlo.gz|downloaded/LMC/IUE/[M2002]_27276.0/swp07582/swp07582mxlo_vo.fits,Model
Sk -70 17|[M2002] 27967,4h56m12.74s,-70d02m37.2s,,B3 I:,0.12,12.52,,nan,nan,nan,,Model,Model
Sk -69 44|[M2002] 28565,4h56m20.7s,-69d13m59.4s,,B5: I,-0.04,11.99,,nan,nan,nan,,Model,Model
Sk -70 19|[M2002] 28617,4h56m21.39s,-70d25m35.8s,,B4: I,0.03,12.62,,nan,nan,nan,,Model,Model
BI 36|[M2002] 29233,4h56m29.05s,-69d06m01.9s,,B0.5 IV,0.08,13.75,,nan,nan,nan,,Model,Model
Sk -70 20|[M2002] 29345,4h56m30.38s,-70d47m40.6s,,B6 I,0.09,12.37,,nan,nan,nan,,Model,Model
FDG 111|[M2002] 31077,4h56m51.65s,-68d00m19.5s,,B9 I,0.03,13.39,,nan,nan,nan,,Model,Model
Sk -67 21B|[M2002] 31870,4h57m01.45s,-67d46m27.2s,,B8 I,0.04,12.57,,nan,nan,nan,,Model,Model
Sk -70 21|[M2002] 32264,4h57m05.8s,-70d47m40.6s,,B3 I,0.07,12.21,,nan,nan,nan,,Model,Model
Sk -69 50|[M2002] 33053,4h57m15.19s,-69d20m20.4s,SK-69D50|SK-69D50,O7 If,0.11,12.16,19577| 2839,7.16E-13,1.75E-13,4.62E-13,FUSE/1045|STIS/FUV-MAMA/E140M/1425,Model,Model
Sk -68 15|[M2002] 33780,4h57m24.1s,-68d23m57.5s,SK-68D15|NGC 1770-L16|HD 32402|NGC 1770-L16,WC4,nan,12.19,47047| 8398|47999| 5398,1.63E-13,6.00E-14,9.65E-14,FUSE/1045|LWP/LWP/2599|SWP/0/0|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_33780.0/swp46396/swp46396.mxlo.gz|downloaded/LMC/IUE/[M2002]_33780.0/swp46396/swp46396mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_33780.0/lwp24398/lwp24398.mxlo.gz|downloaded/LMC/IUE/[M2002]_33780.0/lwp24398/lwp24398mxlo_vo.fits
Sk -67 22|[M2002] 34056,4h57m27.47s,-67d39m03.3s,Sk-6722|SK-67 22|SK-6722|SK-6722|SK-6722|SK-67 22,O3 If*/WN6,0.1,12.21,16974|15597|  862| 1645|  639|11457,8.49E-13,4.68E-13,4.83E-13,FUSE/1045|LWP/LWP/2599|STIS/CCD/G430M/3164|STIS/CCD/G750M/6580|STIS/FUV-MAMA/G140L/1418|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_34056.0/swp10730/swp10730.mxlo.gz|downloaded/LMC/IUE/[M2002]_34056.0/swp10730/swp10730mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_34056.0/lwp25901/lwp25901.mxlo.gz|downloaded/LMC/IUE/[M2002]_34056.0/lwp25901/lwp25901mxlo_vo.fits
Sk -68 16|[M2002] 34847,4h57m37.82s,-68d24m36.1s,Sk-68D16|NGC 1770-L43,O7 III,0.08,11.68,37799| 1199,5.58E-13,nan,nan,FUSE/1045|LWP/LWP/2599,Model,downloaded/LMC/IUE/[M2002]_34847.0/lwp23667/lwp23667.mxlo.gz|downloaded/LMC/IUE/[M2002]_34847.0/lwp23667/lwp23667mxlo_vo.fits
Sk -70 22|[M2002] 36904,4h58m03.5s,-70d36m31.1s,,B1 Iab,0.03,12.85,,nan,nan,nan,,Model,Model
Sk -67 24|[M2002] 37969,4h58m16.46s,-67d43m33.8s,,B3 I,0.04,12.15,,nan,nan,nan,,Model,Model
Sk -70 26|[M2002] 38938,4h58m28.21s,-70d15m31.5s,,B9 I,0.01,12.27,,nan,nan,nan,,Model,Model
FDG 141|[M2002] 39369,4h58m34.01s,-69d47m34.4s,,B8: I,0.05,13.02,,nan,nan,nan,,Model,Model
Sk -68 17|[M2002] 39405,4h58m34.41s,-68d45m52.0s,,B3: I,0.05,12.07,,nan,nan,nan,,Model,Model
Sk -68 18A|[M2002] 39602,4h58m36.69s,-68d50m33.4s,HD 268840|HD 268840,B8 I,0.1,12.13,899| 1400,nan,5.38E-13,7.21E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_39602.0/swp30636/swp30636.mxlo.gz|downloaded/LMC/IUE/[M2002]_39602.0/swp30636/swp30636mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_39602.0/lwp10440/lwp10440.mxlo.gz|downloaded/LMC/IUE/[M2002]_39602.0/lwp10440/lwp10440mxlo_vo.fits
Sk -70 27|[M2002] 39911,4h58m40.71s,-70d31m38.7s,,B8 I,0.03,12.65,,nan,nan,nan,,Model,Model
Sk -70 28|[M2002] 40610,4h58m49.72s,-70d44m58.1s,,B3: I,0.06,12.58,,nan,nan,nan,,Model,Model
Sk -67 29|[M2002] 40714,4h58m50.93s,-67d26m40.9s,,B0 III,0.16,12.48,,nan,nan,nan,,Model,Model
Sk -68 20|[M2002] 41461,4h59m00.97s,-68d49m17.0s,,B3 I,-0.01,11.93,,nan,nan,nan,,Model,Model
BI 53|[M2002] 42588,4h59m15.91s,-69d42m55.9s,,B0 III,0.15,13.05,,nan,nan,nan,,Model,Model
Sk -68 21|[M2002] 43237,4h59m25.89s,-68d35m04.2s,,B3 I,0.02,11.61,,nan,nan,nan,,Model,Model
Sk -67 32|[M2002] 45002,4h59m51.53s,-67d56m56.0s,SK-67D32|HD 268847|HD 268847,WN4b,nan,13.52,72875|10199|15742,2.89E-13,3.70E-13,1.51E-13,FUSE/1045|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_45002.0/swp09167/swp09167.mxlo.gz|downloaded/LMC/IUE/[M2002]_45002.0/swp09167/swp09167mxlo_vo.fits,Model
Sk -70 31|[M2002] 45821,5h00m03.52s,-70d43m15.9s,,B8 I,0.01,12.06,,nan,nan,nan,,Model,Model
Sk -70 31A|[M2002] 46164,5h00m08.69s,-70d04m00.5s,,B5: I,0.13,12.83,,nan,nan,nan,,Model,Model
Sk -70 32|[M2002] 46268,5h00m10.37s,-70d11m09.7s,SK-70D32,O9.5 II:,0.05,11.84,17984,8.17E-13,nan,nan,FUSE/1045,Model,Model
ARDB C 11|[M2002] 47117,5h00m23.55s,-68d01m56.0s,,B5 I,0.02,12.95,,nan,nan,nan,,Model,Model
Sk -70 33|[M2002] 47638,5h00m31.28s,-70d24m56.6s,,O9.5 III,0.13,12.65,,nan,nan,nan,,Model,Model
Sk -70 34|[M2002] 47753,5h00m32.94s,-70d29m49.4s,,B8 I,0.03,12.09,,nan,nan,nan,,Model,Model
Sk -70 35|[M2002] 48478,5h00m43.51s,-70d19m22.2s,,B3: I,0.03,12.49,,nan,nan,nan,,Model,Model
Sk -68 24|[M2002] 48787,5h00m47.92s,-68d37m46.6s,,B8 I,0.1,12.4,,nan,nan,nan,,Model,Model
Sk -68 23A|[M2002] 48819,5h00m48.28s,-68d05m58.8s,91550,B1 III,0.18,12.03,2770,nan,nan,nan,,Model,Model
Sk -71 1|[M2002] 50511,5h01m13.05s,-70d58m50.7s,,B8 I,0.06,13.21,,nan,nan,nan,,Model,Model
Sk -70 38|[M2002] 51158,5h01m22.51s,-70d15m29.2s,,B5 I,0.04,12.27,,nan,nan,nan,,Model,Model
Sk -70 39|[M2002] 51753,5h01m31.05s,-70d14m52.0s,,B3 I,0.09,12.18,,nan,nan,nan,,Model,Model
Sk -68 27|[M2002] 51871,5h01m32.82s,-68d13m15.0s,SK-68 27|SK-68 27,B6 I,0.22,11.99,4078|16796,nan,3.24E-14,8.29E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_51871.0/swp54797/swp54797.mxlo.gz|downloaded/LMC/IUE/[M2002]_51871.0/swp54797/swp54797mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_51871.0/lwp30810/lwp30810.mxlo.gz|downloaded/LMC/IUE/[M2002]_51871.0/lwp30810/lwp30810mxlo_vo.fits
Sk -70 40|[M2002] 51952,5h01m33.83s,-70d07m23.8s,,B8 I,0.04,12.43,,nan,nan,nan,,Model,Model
Sk -70 43|[M2002] 53739,5h02m00.28s,-70d01m23.2s,,B3 I,0.07,11.41,,nan,nan,nan,,Model,Model
Sk -67 37|[M2002] 53808,5h02m01.23s,-67d32m03.6s,SK-67 37|NS 37-67,O9 II,0.04,12.33,1740| 2160,nan,4.25E-13,4.70E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_53808.0/swp30322/swp30322.mxlo.gz|downloaded/LMC/IUE/[M2002]_53808.0/swp30322/swp30322mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_53808.0/lwp10137/lwp10137.mxlo.gz|downloaded/LMC/IUE/[M2002]_53808.0/lwp10137/lwp10137mxlo_vo.fits
Sk -70 45|[M2002] 54903,5h02m17.85s,-70d26m57.0s,,B8 I,0.01,11.96,,nan,nan,nan,,Model,Model
Sk -70 47|[M2002] 59337,5h03m23.35s,-70d20m51.7s,,B0 II,0.14,11.87,,nan,nan,nan,,Model,Model
Sk -67 38|[M2002] 59721,5h03m29.76s,-67d52m25.5s,SK-67D38,O8 III,0.05,12.38,25092,5.52E-13,nan,nan,FUSE/1045,Model,Model
Sk -68 32|[M2002] 61150,5h03m51.19s,-68d27m11.4s,,O9 III,0.06,12.48,,nan,nan,nan,,Model,Model
Sk -70 53|[M2002] 61523,5h03m56.24s,-70d31m23.1s,,B8 I,0,12,,nan,nan,nan,,Model,Model
