targets,RA,DEC,AR_targets,SpT,E(B-V),U,archival exptime,flux1150,flux1200,flux1520,Settings,ETC_FUV_file,ETC_NUV_file
Sk -69 108|[M2002] 116798,5h19m51.99s,-69d53m08.7s,S-69 108|S-69 108,B3 I,0.37,11.75,8097| 4800,nan,1.38E-14,5.01E-14,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_116798.0/swp01853/swp01853.mxlo.gz|downloaded/LMC/IUE/[M2002]_116798.0/swp01853/swp01853mxlo_vo.fits,Model
BI 154|[M2002] 131860,5h23m41.09s,-69d22m06.9s,,B0 I:,0.1,12.62,,nan,nan,nan,,Model,Model
Sk -68 77|[M2002] 132665,5h24m24.26s,-68d31m35.8s,HD 269485|HD 269485,WN4b/WNE,nan,13.59,11398| 2402,nan,1.84E-13,9.95E-14,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_132665.0/swp09160/swp09160.mxlo.gz|downloaded/LMC/IUE/[M2002]_132665.0/swp09160/swp09160mxlo_vo.fits,Model
BI 164|[M2002] 133419,5h25m02.0s,-68d31m58.3s,,O8 V,0.05,12.64,,nan,nan,nan,,Model,Model
Sk -69 123|[M2002] 133680,5h25m14.62s,-69d04m49.6s,,B1 I,0.07,11.48,,nan,nan,nan,,Model,Model
Sk -69 124|[M2002] 133770,5h25m18.35s,-69d03m11.3s,SK-69D124,O9 Ib,0.1,11.58,14677,9.31E-13,nan,nan,FUSE/1045,Model,Model
Sk -67 101|[M2002] 134666,5h25m56.43s,-67d30m28.6s,NS101-67|NS101-67|SK-67D101|SK-67101|SK-67.101|SK-67101,O9 III,0.03,11.41,184| 1966|43464|  900| 5443|  719,nan,nan,nan,FUSE/1045|STIS/FUV-MAMA/E140M/1435|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_134666.0/swp13369/swp13369.mxlo.gz|downloaded/LMC/IUE/[M2002]_134666.0/swp13369/swp13369mxlo_vo.fits,Model
Sk -67 102|[M2002] 134811,5h26m01.01s,-67d03m10.1s,,B2 III,0.03,12.36,,nan,nan,nan,,Model,Model
Sk -67 108|[M2002] 135697,5h26m26.65s,-67d37m20.3s,SK-67D108|SK108-67|S-67 108|S-67 108,O4-5 III,0.08,11.33,13414|  539| 1199| 3238,1.05E-12,7.13E-13,7.19E-13,FUSE/1045|LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_135697.0/swp01620/swp01620.mxlo.gz|downloaded/LMC/IUE/[M2002]_135697.0/swp01620/swp01620mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_135697.0/lwp05980/lwp05980.mxlo.gz|downloaded/LMC/IUE/[M2002]_135697.0/lwp05980/lwp05980mxlo_vo.fits
Sk -69 133|[M2002] 136372,5h26m42.68s,-69d06m57.0s,RP877|RP877|RP877|RP877|HDE 269549|HD 269549,WN4b,nan,13.78,5403| 8103| 7968| 7487| 7558| 2398,nan,1.60E-13,1.38E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_136372.0/swp38451/swp38451.mxlo.gz|downloaded/LMC/IUE/[M2002]_136372.0/swp38451/swp38451mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_136372.0/lwp20197/lwp20197.mxlo.gz|downloaded/LMC/IUE/[M2002]_136372.0/lwp20197/lwp20197mxlo_vo.fits
BI 170|[M2002] 136612,5h26m47.79s,-69d06m11.9s,BI170|NGC1967|NGC1967,O9.5 II,0.06,11.82,4272|  899| 1199,1.08E-12,8.09E-13,8.27E-13,FUSE/1045|LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_136612.0/swp23267/swp23267.mxlo.gz|downloaded/LMC/IUE/[M2002]_136612.0/swp23267/swp23267mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_136612.0/lwp03586/lwp03586.mxlo.gz|downloaded/LMC/IUE/[M2002]_136612.0/lwp03586/lwp03586mxlo_vo.fits
Sk -67 114|[M2002] 137363,5h27m04.42s,-67d26m06.8s,S-67 114|S-67 114,B6: I,0.5,12.08,3299| 7859,nan,6.64E-14,1.34E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_137363.0/swp01845/swp01845.mxlo.gz|downloaded/LMC/IUE/[M2002]_137363.0/swp01845/swp01845mxlo_vo.fits,Model
BI 173|[M2002] 137610,5h27m10.05s,-69d07m56.3s,BI-173|BI-173|BI173|BI173|BI173|BI173|BI173,O8 III,0.11,11.78,16896| 6173|14433| 4770|  100| 4300|   99,8.39E-13,5.00E-14,6.02E-13,COS/NUV/G185M/1922|COS/NUV/G185M/1955|FUSE/1045|STIS/FUV-MAMA/E140M/1425|STIS/FUV-MAMA/G140L/1417|STIS/NUV-MAMA/E230M/1987|STIS/NUV-MAMA/G230L/2357,Model,Model
Sk -67 115|[M2002] 137630,5h27m10.47s,-67d10m54.0s,,B4: I,0.04,12.67,,nan,nan,nan,,Model,Model
BI 172|[M2002] 137955,5h27m17.36s,-67d28m53.3s,,B0.5 III,0.1,12.12,,nan,nan,nan,,Model,Model
Sk -68 84A|[M2002] 138407,5h27m26.94s,-68d54m04.3s,,B1 Ib,0.1,11.66,,nan,nan,nan,,Model,Model
Sk -67 117B|[M2002] 138492,5h27m28.51s,-67d27m24.0s,SK-67 117A|-67 117A,B0 Ib,0.07,11.48,1939| 2499,nan,5.71E-13,6.38E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_138492.0/swp30634/swp30634.mxlo.gz|downloaded/LMC/IUE/[M2002]_138492.0/swp30634/swp30634mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_138492.0/lwp10438/lwp10438.mxlo.gz|downloaded/LMC/IUE/[M2002]_138492.0/lwp10438/lwp10438mxlo_vo.fits
Sk -67 118|[M2002] 138717,5h27m33.41s,-67d17m30.2s,SK-67D118,O7 V,0.08,11.76,9542,1.32E-12,nan,nan,FUSE/1045,Model,Model
Sk -69 140|[M2002] 139017,5h27m39.53s,-69d12m41.7s,,B4 I,0.03,11.66,,nan,nan,nan,,Model,Model
Sk -67 119|[M2002] 139081,5h27m40.72s,-67d18m10.6s,SK-67D119,O7 III(f),0.07,12.07,11955,7.50E-13,nan,nan,FUSE/1045,Model,Model
Sk -69 141|[M2002] 139177,5h27m42.78s,-69d10m00.4s,RP844|RP844|RP844|WS 27|FD 32|WS 27,WN8h,nan,12.24,3999| 3983| 4104| 6242| 3000| 6836,nan,1.64E-13,2.36E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_139177.0/swp06968/swp06968.mxlo.gz|downloaded/LMC/IUE/[M2002]_139177.0/swp06968/swp06968mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_139177.0/lwp20462/lwp20462.mxlo.gz|downloaded/LMC/IUE/[M2002]_139177.0/lwp20462/lwp20462mxlo_vo.fits
Sk -67 123|[M2002] 139812,5h27m56.04s,-67d15m25.0s,,B2 III,0.11,12.31,,nan,nan,nan,,Model,Model
Sk -69 146|[M2002] 140917,5h28m18.79s,-69d15m19.8s,,B3: I,-0.04,11.51,,nan,nan,nan,,Model,Model
Sk -69 153|[M2002] 142155,5h28m44.48s,-69d13m43.5s,,B8: I,0.05,12.15,,nan,nan,nan,,Model,Model
Sk -67 128|[M2002] 142277,5h28m47.11s,-67d09m32.5s,,B3: I,0,11.8,,nan,nan,nan,,Model,Model
Sk -68 95|[M2002] 142555,5h28m53.41s,-68d48m44.1s,,B1 III,0.19,11.67,,nan,nan,nan,,Model,Model
Sk -67 131|[M2002] 143017,5h29m03.25s,-67d20m25.7s,,B0.5: Ia,0.06,11.28,,nan,nan,nan,,Model,Model
Sk -68 98|[M2002] 143463,5h29m12.47s,-68d45m36.0s,W52|W52,WN3,nan,nan,1801| 5039,nan,1.06E-12,1.38E-12,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_143463.0/swp39525/swp39525.mxlo.gz|downloaded/LMC/IUE/[M2002]_143463.0/swp39525/swp39525mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_143463.0/lwp18655/lwp18655.mxlo.gz|downloaded/LMC/IUE/[M2002]_143463.0/lwp18655/lwp18655mxlo_vo.fits
BI 178|[M2002] 143637,5h29m16.14s,-67d12m27.5s,,B1 III,0.18,13.04,,nan,nan,nan,,Model,Model
BI 179|[M2002] 143801,5h29m19.65s,-67d12m21.9s,,O8 III,0.07,12.44,,nan,nan,nan,,Model,Model
Sk -68 99|[M2002] 144222,5h29m27.73s,-68d46m00.4s,,B3: I,-0.01,11.55,,nan,nan,nan,,Model,Model
Sk -69 157|[M2002] 144289,5h29m28.68s,-69d23m31.8s,,B6: I,-0.03,11.45,,nan,nan,nan,,Model,Model
Sk -68 102|[M2002] 144436,5h29m31.75s,-68d54m28.7s,BREY 40|HD 269624,WN4b,nan,13.88,6000| 7800,nan,8.76E-14,5.09E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_144436.0/swp38450/swp38450.mxlo.gz|downloaded/LMC/IUE/[M2002]_144436.0/swp38450/swp38450mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_144436.0/lwp03707/lwp03707.mxlo.gz|downloaded/LMC/IUE/[M2002]_144436.0/lwp03707/lwp03707mxlo_vo.fits
Sk -68 103|[M2002] 144567,5h29m34.18s,-68d54m14.5s,BREY 40|BREY 40,B3: I,0.1,11.97,3000| 3300,nan,1.40E-13,5.99E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_144567.0/swp23398/swp23398.mxlo.gz|downloaded/LMC/IUE/[M2002]_144567.0/swp23398/swp23398mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_144567.0/lwp03707/lwp03707.mxlo.gz|downloaded/LMC/IUE/[M2002]_144567.0/lwp03707/lwp03707mxlo_vo.fits
Sk -67 135|[M2002] 144751,5h29m37.41s,-67d03m41.8s,,B3: I,0,11.89,,nan,nan,nan,,Model,Model
Sk -68 104|[M2002] 146131,5h30m02.54s,-68d45m18.2s,RP905|RP905|RP905|RP905|WS 30,WN3b,nan,14.09,5403| 4104| 3881| 3506| 6000,nan,3.29E-14,2.22E-15,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_146131.0/swp04872/swp04872.mxlo.gz|downloaded/LMC/IUE/[M2002]_146131.0/swp04872/swp04872mxlo_vo.fits,Model
Sk -68 105|[M2002] 146506,5h30m08.99s,-68d48m36.6s,,B0 Ia,0.1,11.9,,nan,nan,nan,,Model,Model
Sk -69 163|[M2002] 146594,5h30m10.36s,-69d14m37.1s,,B3: I,0.08,11.79,,nan,nan,nan,,Model,Model
Sk -67 144|[M2002] 146696,5h30m12.26s,-67d26m08.6s,HD37026|FD 37|FD 37,WC4,nan,12.85,22134|10562| 6960,5.87E-13,4.15E-13,2.11E-13,FUSE/1045|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_146696.0/swp04366/swp04366.mxlo.gz|downloaded/LMC/IUE/[M2002]_146696.0/swp04366/swp04366mxlo_vo.fits,Model
Sk -69 164|[M2002] 146856,5h30m14.92s,-69d21m01.6s,,B8 I,0.08,12.28,,nan,nan,nan,,Model,Model
Sk -67 147|[M2002] 147579,5h30m28.19s,-67d12m08.7s,,B3 I,0.05,12.08,,nan,nan,nan,,Model,Model
Sk -68 107|[M2002] 148172,5h30m37.96s,-68d24m39.0s,SK107-68|HD 269655,B0 Ia,0.22,11.28,7258| 6539,nan,1.16E-13,3.01E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_148172.0/swp04850/swp04850.mxlo.gz|downloaded/LMC/IUE/[M2002]_148172.0/swp04850/swp04850mxlo_vo.fits,Model
Sk -67 158|[M2002] 151096,5h31m28.32s,-67d31m06.3s,,B1 III,0.1,12.3,,nan,nan,nan,,Model,Model
Sk -67 161|[M2002] 151339,5h31m32.9s,-67d40m46.6s,SK-67D161,WN4b,nan,13.51,330124,2.61E-13,nan,nan,FUSE/1045,Model,Model
Sk -67 160|[M2002] 151416,5h31m34.46s,-67d16m29.3s,57906|57906|57906|57906|57906|57906|BR 45|BR 45,WN4b,nan,13.87,27620|27753|27748|27729|26138|27741|10800|11996,nan,1.74E-13,1.01E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_151416.0/swp48032/swp48032.mxlo.gz|downloaded/LMC/IUE/[M2002]_151416.0/swp48032/swp48032mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_151416.0/lwp25848/lwp25848.mxlo.gz|downloaded/LMC/IUE/[M2002]_151416.0/lwp25848/lwp25848mxlo_vo.fits
Sk -69 176|[M2002] 151460,5h31m35.25s,-69d30m47.7s,,B3 I,0.13,12.05,,nan,nan,nan,,Model,Model
BI 190|[M2002] 151643,5h31m38.59s,-68d28m08.2s,,O8 V((f)),0.21,13.06,,nan,nan,nan,,Model,Model
Sk -69 177|[M2002] 152239,5h31m49.46s,-69d13m14.7s,SK-69177|SK-69177,B4 I,0.17,11.48,2879|11999,nan,2.75E-14,1.22E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_152239.0/swp36448/swp36448.mxlo.gz|downloaded/LMC/IUE/[M2002]_152239.0/swp36448/swp36448mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_152239.0/lwp15703/lwp15703.mxlo.gz|downloaded/LMC/IUE/[M2002]_152239.0/lwp15703/lwp15703mxlo_vo.fits
Sk -67 167|[M2002] 152366,5h31m51.99s,-67d39m41.6s,SK -67 167|SK -67 167|SK-67D167|SK-67D167|SK-67D167|SK 167-67|SK167-67,O4 Inf+,0.06,11.24,2410| 2410|62593|12571|23625| 1680| 1680,nan,nan,nan,FUSE/1045|LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_152366.0/swp25910/swp25910.mxlo.gz|downloaded/LMC/IUE/[M2002]_152366.0/swp25910/swp25910mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_152366.0/lwp05954/lwp05954.mxlo.gz|downloaded/LMC/IUE/[M2002]_152366.0/lwp05954/lwp05954mxlo_vo.fits
Sk -67 170|[M2002] 152433,5h31m53.03s,-67d12m15.3s,41701|41701|41701|41701|41701|41701,B9 I,0.02,12.28,13810|13877|13874|13865|13069|13871,nan,nan,nan,,Model,Model
BI 192|[M2002] 152788,5h32m00.0s,-67d32m55.4s,,O9.5 III,0.04,12.5,,nan,nan,nan,,Model,Model
Sk -67 171|[M2002] 152843,5h32m00.86s,-67d20m23.2s,87259|87259|87259|87259|87259|87259,B7 I,0,11.39,13810|13877|13874|13865|13069|13871,nan,nan,nan,,Model,Model
BI 193|[M2002] 153074,5h32m04.85s,-67d33m33.8s,,B0 II,0.07,12.32,,nan,nan,nan,,Model,Model
Sk -68 115|[M2002] 153219,5h32m07.61s,-68d26m31.4s,BR 47|BR47,WN6h,nan,14.85,21593|21600,nan,4.65E-15,3.46E-15,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_153219.0/swp48039/swp48039.mxlo.gz|downloaded/LMC/IUE/[M2002]_153219.0/swp48039/swp48039mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_153219.0/lwp25849/lwp25849.mxlo.gz|downloaded/LMC/IUE/[M2002]_153219.0/lwp25849/lwp25849mxlo_vo.fits
BI 196|[M2002] 153860,5h32m19.2s,-67d49m50.1s,BI196,O9 V,0.04,13.28,34759,3.47E-13,nan,nan,FUSE/1045,Model,Model
Sk -68 117|[M2002] 154206,5h32m25.9s,-68d55m15.9s,,B1 III,0.15,12.44,,nan,nan,nan,,Model,Model
BI 197|[M2002] 154375,5h32m28.65s,-67d22m32.6s,,B0 II,0.14,12.73,,nan,nan,nan,,Model,Model
Sk -68 119|[M2002] 155050,5h32m41.76s,-68d54m17.4s,,O9 V,0.13,12.47,,nan,nan,nan,,Model,Model
Sk -67 180|[M2002] 155360,5h32m47.32s,-67d10m05.3s,,B3: I,0.05,11.75,,nan,nan,nan,,Model,Model
Sk -68 120|[M2002] 155390,5h32m47.88s,-68d37m26.1s,BLMC25|BLMC25,B4: I,-0.08,12.12,900|  899,nan,nan,nan,,Model,Model
BI 200|[M2002] 155612,5h32m52.01s,-67d33m54.9s,,B0 II,0.13,12.56,,nan,nan,nan,,Model,Model
Sk -67 184|[M2002] 156590,5h33m10.63s,-67d42m42.8s,WAVCAL  NO TFLOOD|SK-67184|WAVCAL  + TFLOOD|SK-67184,WN4o+B,nan,12.09,64| 4576|  477|11052,0,1.45E-13,2.11E-13,SWP/0/0|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_156590.0/swp07635/swp07635.mxlo.gz|downloaded/LMC/IUE/[M2002]_156590.0/swp07635/swp07635mxlo_vo.fits,Model
Sk -68 122|[M2002] 157075,5h33m20.8s,-68d41m23.2s,,B3 I,0.04,11.67,,nan,nan,nan,,Model,Model
Sk -69 185|[M2002] 158115,5h33m40.47s,-69d06m58.3s,,B5: I,0.26,12.22,,nan,nan,nan,,Model,Model
Sk -67 195|[M2002] 158636,5h33m52.04s,-67d08m02.0s,,B6 I,0.05,12.21,,nan,nan,nan,,Model,Model
BI 208|[M2002] 158880,5h33m57.38s,-67d24m20.3s,BI208|BI208,O7 V,0.05,12.63,15616| 3001,5.93E-13,nan,nan,FUSE/1045,Model,Model
Sk -67 197|[M2002] 158955,5h33m59.15s,-67d32m15.7s,SK-67 197|S-67 197,B7 I,0.05,11.63,1320| 1999,nan,6.88E-14,1.95E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_158955.0/swp30662/swp30662.mxlo.gz|downloaded/LMC/IUE/[M2002]_158955.0/swp30662/swp30662mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_158955.0/lwp10458/lwp10458.mxlo.gz|downloaded/LMC/IUE/[M2002]_158955.0/lwp10458/lwp10458mxlo_vo.fits
BI 220|[M2002] 160933,5h34m43.9s,-68d36m29.1s,,B0.5 III,0.14,12.78,,nan,nan,nan,,Model,Model
Sk -67 205|[M2002] 161320,5h34m52.92s,-67d16m20.6s,SK-67D205,O8 V,0.06,12.47,51695,3.57E-13,nan,nan,FUSE/1045,Model,Model
Sk -67 210|[M2002] 161971,5h35m09.21s,-67d41m58.6s,,B0 III,0.11,12.6,,nan,nan,nan,,Model,Model
BI 230|[M2002] 162572,5h35m23.37s,-68d32m01.5s,,B1 II,0.05,13.38,,nan,nan,nan,,Model,Model
Sk -68 124|[M2002] 162823,5h35m28.82s,-68d38m21.8s,,B0.5 V,0.25,12.73,,nan,nan,nan,,Model,Model
Sk -67 213|[M2002] 162867,5h35m29.85s,-67d06m49.5s,,WN3b(h),nan,14.09,,nan,nan,nan,,Model,Model
Sk -68 126|[M2002] 163232,5h35m38.5s,-68d56m49.0s,,B1 I,0.18,11.78,,nan,nan,nan,,Model,Model
Sk -69 207|[M2002] 163453,5h35m43.65s,-69d10m57.6s,HD 269818|WS 36|HD 269818,WC4,nan,12.9,7199| 3359|11401,nan,1.54E-14,4.52E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_163453.0/swp39144/swp39144.mxlo.gz|downloaded/LMC/IUE/[M2002]_163453.0/swp39144/swp39144mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_163453.0/lwp18179/lwp18179.mxlo.gz|downloaded/LMC/IUE/[M2002]_163453.0/lwp18179/lwp18179mxlo_vo.fits
Sk -69 210|[M2002] 164379,5h36m03.81s,-69d01m29.8s,GSC-09163-00895|GSC-09163-00895,B1.5 I,0.48,12.31,138|  130,nan,nan,nan,STIS/CCD/G430L/4299|STIS/CCD/G750L/7754,Model,Model
Sk -67 218|[M2002] 163913,5h35m54.07s,-67d02m48.8s,FD 52|FD 52,WN3,nan,13.39,3000| 7800,nan,3.21E-13,1.71E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_163913.0/swp09890/swp09890.mxlo.gz|downloaded/LMC/IUE/[M2002]_163913.0/swp09890/swp09890mxlo_vo.fits,Model
Sk -68 127|[M2002] 164857,5h36m12.98s,-68d28m24.9s,,B0.5 Ia,0.1,12.59,,nan,nan,nan,,Model,Model
BI 237|[M2002] 164942,5h36m14.68s,-67d39m19.3s,BI237|BI237|BI237|BI237|BI237|BI237|BI237|BI237|BI237,O3 V,0.16,12.8,74917| 1121| 1025| 7119|  100| 2200| 2200| 2200| 2201,2.56E-13,6.47E-14,2.16E-13,FUSE/1045|STIS/CCD/G750M/6580|STIS/FUV-MAMA/G140L/1419|STIS/NUV-MAMA/E230M/1987|STIS/NUV-MAMA/G230L/2379,Model,Model
BI 238|[M2002] 164963,5h36m15.09s,-68d53m56.6s,,B1 Ib,0.16,12.47,,nan,nan,nan,,Model,Model
Sk -68 129|[M2002] 165542,5h36m26.84s,-68d57m31.8s,SK-68D129|GSC-09163-01003|GSC-09163-01003|SK-68129,B1 I,0.22,11.97,6695|  104|  164|13200,1.18E-13,nan,nan,FUSE/1045|STIS/CCD/G430L/4299|STIS/CCD/G750L/7754|STIS/NUV-MAMA/E230M/1987,Model,Model
Sk -68 132|[M2002] 166772,5h36m52.71s,-68d22m09.0s,,B0 V,0.15,12.78,,nan,nan,nan,,Model,Model
Sk -69 225|[M2002] 166972,5h36m56.87s,-69d16m17.7s,,B8 I,0.24,12.25,,nan,nan,nan,,Model,Model
Sk -69 229|[M2002] 167791,5h37m14.87s,-69d29m52.2s,,O8.5 III,0.15,11.55,,nan,nan,nan,,Model,Model
Sk -67 227|[M2002] 167813,5h37m15.27s,-67d50m10.5s,,B8 I,0.06,12.52,,nan,nan,nan,,Model,Model
BI 249|[M2002] 167963,5h37m18.67s,-68d59m17.9s,,O9.5 V,0.19,12.34,,nan,nan,nan,,Model,Model
BI 253|[M2002] 168644,5h37m34.48s,-69d01m10.4s,BI253|72|72|252634|72|252634|BI253|BI253|BI253|BI253,O3 V,0.19,12.65,24241|77873|25992|11051|53124| 9166| 1122| 1026| 9895|  100,2.24E-13,5.59E-14,2.07E-13,FUSE/1045|STIS/CCD/G750M/6580|STIS/FUV-MAMA/G140L/1418|STIS/NUV-MAMA/E230M/1987|STIS/NUV-MAMA/G230L/2372,Model,Model
Sk -68 134|[M2002] 168722,5h37m36.29s,-68d50m56.4s,,B1 Ib,0.18,12.85,,nan,nan,nan,,Model,Model
Sk -69 233|[M2002] 168930,5h37m40.6s,-69d07m57.6s,312100|312100|312100|312100|BREY 71|BR71,WN7h,nan,13.38,36831| 8106|22101|18332|17398|17760,nan,1.68E-14,5.39E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_168930.0/swp48106/swp48106.mxlo.gz|downloaded/LMC/IUE/[M2002]_168930.0/swp48106/swp48106mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_168930.0/lwp03708/lwp03708.mxlo.gz|downloaded/LMC/IUE/[M2002]_168930.0/lwp03708/lwp03708mxlo_vo.fits
Sk -69 234|[M2002] 169130,5h37m44.75s,-69d14m25.2s,408775|408775|408775|408775,WC4,nan,14,53243| 7365|22099|18336,nan,nan,nan,,Model,Model
Sk -67 229|[M2002] 170397,5h38m14.92s,-67d36m33.7s,,B3: I,0.09,12.67,,nan,nan,nan,,Model,Model
Sk -68 137|[M2002] 170808,5h38m24.77s,-68d52m32.8s,SK-68D137|SK-68D137|SK-68D137|SK-68 137|SK-68 137,O3 III(f*),0.21,12.24,84430|51840|75078| 2398| 2398,nan,nan,nan,FUSE/1045|LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_170808.0/swp39535/swp39535.mxlo.gz|downloaded/LMC/IUE/[M2002]_170808.0/swp39535/swp39535mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_170808.0/lwp18663/lwp18663.mxlo.gz|downloaded/LMC/IUE/[M2002]_170808.0/lwp18663/lwp18663mxlo_vo.fits
Sk -69 241|[M2002] 170914,5h38m27.79s,-69d29m58.4s,,WN4b,nan,14.21,,nan,nan,nan,,Model,Model
Sk -67 230|[M2002] 171436,5h38m39.25s,-67d33m59.0s,,B2 III,0.12,12.53,,nan,nan,nan,,Model,Model
BI 255|[M2002] 172048,5h38m53.78s,-67d24m17.7s,,B0 III,0.12,13.16,,nan,nan,nan,,Model,Model
Sk -68 141|[M2002] 172616,5h39m08.16s,-68d29m07.5s,,B8 I,0,12.2,,nan,nan,nan,,Model,Model
Sk -68 143|[M2002] 172922,5h39m15.12s,-68d12m01.7s,,B7 I,0.02,12.37,,nan,nan,nan,,Model,Model
Sk -67 234|[M2002] 173168,5h39m21.34s,-67d06m53.5s,,B8 I,0,12.22,,nan,nan,nan,,Model,Model
Sk -68 144|[M2002] 173571,5h39m33.86s,-68d39m01.7s,,B8 I,0.05,12.86,,nan,nan,nan,,Model,Model
BI 267|[M2002] 176538,5h41m37.57s,-68d32m33.2s,,B0 III,0.17,13.1,,nan,nan,nan,,Model,Model
Sk -69 278|[M2002] 176621,5h41m40.76s,-69d22m05.1s,,B5 I,0.15,12.15,,nan,nan,nan,,Model,Model
Sk -69 286|[M2002] 177990,5h42m35.22s,-69d16m47.8s,91341,B4 I,0.19,12.32,2770,nan,nan,nan,,Model,Model
Sk -69 245|[M2002] 171780,5h38m47.6s,-69d00m25.1s,137590|137590|137590|137590|HD 269926|HD 269926,WN5+B,nan,11.95,53243| 7365|22099|18336| 2398| 2160,nan,2.05E-13,4.10E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_171780.0/swp04140/swp04140.mxlo.gz|downloaded/LMC/IUE/[M2002]_171780.0/swp04140/swp04140mxlo_vo.fits,Model
Sk -69 251|[M2002] 172745,5h39m11.41s,-69d02m01.2s,170852|170852|170852|170852,WN5(h),nan,12.32,53243| 7365|22099|18336,nan,nan,nan,,Model,Model
Sk -68 145|[M2002] 173582,5h39m34.36s,-68d44m09.2s,Sand_2|FD 73|FD 73|BAT99-123|BAT99-123|BAT99-123,WO3,nan,14.38,46507|14398| 9597| 4501| 4500| 4501,2.61E-14,1.24E-14,1.99E-14,FUSE/1045|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_173582.0/swp07580/swp07580.mxlo.gz|downloaded/LMC/IUE/[M2002]_173582.0/swp07580/swp07580mxlo_vo.fits,Model
Sk -69 255|[M2002] 174085,5h39m56.21s,-69d24m24.1s,HD38448|HD 38448|HD 38448,WC5+O7,nan,12.07,56639| 1918| 1680,0,0,0,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_174085.0/swp04187/swp04187.mxlo.gz|downloaded/LMC/IUE/[M2002]_174085.0/swp04187/swp04187mxlo_vo.fits,Model
Sk -69 258|[M2002] 174323,5h40m07.66s,-69d24m31.8s,,WN3+O7,nan,12.04,,nan,nan,nan,,Model,Model
Sk -69 266|[M2002] 175356,5h40m50.91s,-69d26m31.8s,,WN4b,nan,nan,,nan,nan,nan,,Model,Model
Sk -69 295|[M2002] 179557,5h43m59.19s,-69d30m58.4s,,B3: I,-0.03,12.52,,nan,nan,nan,,Model,Model
BAT99-2|[M2002] 5735,4h49m36.29s,-69d20m55.4s,AB 14|BR2 NEBULA,WN1,nan,15.55,14398|44999,nan,1.04E-14,1.62E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_5735.0/swp50434/swp50434.mxlo.gz|downloaded/LMC/IUE/[M2002]_5735.0/swp50434/swp50434mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_5735.0/lwp23832/lwp23832.mxlo.gz|downloaded/LMC/IUE/[M2002]_5735.0/lwp23832/lwp23832mxlo_vo.fits
