Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name
LCYIB1SSQ,NGC2004-B15,82.6515167,-67.2952417,0,11/15/16 21:01,11/15/16 21:04,186,COS   ,PSA,G130M,1291,14081,11/16/17 1:42,
LCYIB1STQ,NGC2004-B15,82.6515167,-67.2952417,0,11/15/16 21:07,11/15/16 21:07,4,COS   ,PSA,G130M,1291,14081,11/16/17 1:42,
LCYIB2010,NGC2004-B15,82.6515167,-67.2952417,0,11/14/16 10:06,11/14/16 10:23,764.064,COS   ,PSA,G185M,1913,14081,11/14/17 15:02,LCYIB2010
LCYIB2020,NGC2004-B15,82.6515167,-67.2952417,0,11/14/16 10:25,11/14/16 11:04,788.064,COS   ,PSA,G185M,1941,14081,11/14/17 15:02,LCYIB2020
LCYIB2030,NGC2004-B15,82.6515167,-67.2952417,0,11/14/16 11:07,11/14/16 11:24,816.064,COS   ,PSA,G185M,1971,14081,11/14/17 15:02,LCYIB2030
LCYIB2040,NGC2004-B15,82.6515167,-67.2952417,0,11/14/16 11:27,11/14/16 11:45,864.064,COS   ,PSA,G185M,2010,14081,11/14/17 15:02,LCYIB2040
LCYIB2EUQ,NGC2004-B15,82.6515167,-67.2952417,0,11/14/16 9:54,11/14/16 10:01,401,COS   ,PSA,G185M,1913,14081,11/14/17 15:01,
LCYIB2EVQ,NGC2004-B15,82.6515167,-67.2952417,0,11/14/16 10:03,11/14/16 10:03,4,COS   ,PSA,G185M,1913,14081,11/14/17 15:01,
LCYIB2050,NGC2004-B15,82.65151667,-67.29524167,0,2016-11-14T11:49:12.737000,2016-11-14T12:47:42.720000,1440.096,COS   ,PSA,G225M,2233,14081,2017-11-14T15:03:13,LCYIB2050
LCYIB2060,NGC2004-B15,82.65151667,-67.29524167,0,2016-11-14T12:50:21.727000,2016-11-14T13:16:54.727000,1332.096,COS   ,PSA,G225M,2268,14081,2017-11-14T15:28:54,LCYIB2060
LCYIB2070,NGC2004-B15,82.65151667,-67.29524167,0,2016-11-14T13:19:33.727000,2016-11-14T14:20:50.737000,1288.064,COS   ,PSA,G225M,2306,14081,2017-11-14T15:31:15,LCYIB2070
LDA938010,SK-6619,73.9747958,-66.4164861,1,11/17/16 19:30,11/17/16 19:46,600.064,COS   ,PSA,G160M,1589,14675,11/18/16 1:21,LDA938010
LDA938020,SK-6619,73.9747958,-66.4164861,1,11/17/16 19:50,11/17/16 20:32,650.016,COS   ,PSA,G130M,1291,14675,11/18/16 1:33,LDA938020
#LD7M01010,AAOMEGA-30DOR-333,84.798375,-69.5103528,1,4/19/17 4:29,4/19/17 4:36,244.032,COS   ,PSA,G130M,1291,14683,4/19/18 13:13,LD7M01010
#LD7M01020,AAOMEGA-30DOR-333,84.798375,-69.5103528,1,4/19/17 4:40,4/19/17 4:46,194.048,COS   ,PSA,G130M,1327,14683,4/19/18 13:17,LD7M01020
#LD7M01030,AAOMEGA-30DOR-333,84.798375,-69.5103528,1,4/19/17 4:51,4/19/17 6:03,504,COS   ,PSA,G160M,1577,14683,4/19/18 14:09,LD7M01030
#LD7M01040,AAOMEGA-30DOR-333,84.798375,-69.5103528,1,4/19/17 6:08,4/19/17 6:17,354.016,COS   ,PSA,G160M,1623,14683,4/19/18 14:09,LD7M01040
#LD7M01OYQ,AAOMEGA-30DOR-333,84.798375,-69.5103528,1,4/19/17 4:21,4/19/17 4:24,185,COS   ,PSA,G130M,1291,14683,4/19/18 13:07,
#LD7M01OZQ,AAOMEGA-30DOR-333,84.798375,-69.5103528,1,4/19/17 4:27,4/19/17 4:27,0.2,COS   ,PSA,G130M,1291,14683,4/19/18 13:09,
LD7M51010,AAOMEGA-30DOR-333,84.798375,-69.5103528,1,8/14/17 2:01,8/14/17 2:32,244.064,COS   ,PSA,G130M,1291,14683,8/14/18 5:32,LD7M51010
LD7M51020,AAOMEGA-30DOR-333,84.798375,-69.5103528,1,8/14/17 2:36,8/14/17 2:42,194.016,COS   ,PSA,G130M,1327,14683,8/14/18 5:32,LD7M51020
LD7M51030,AAOMEGA-30DOR-333,84.798375,-69.5103528,1,8/14/17 2:47,8/14/17 2:59,504.064,COS   ,PSA,G160M,1577,14683,8/14/18 5:32,LD7M51030
LD7M51040,AAOMEGA-30DOR-333,84.798375,-69.5103528,1,8/14/17 3:04,8/14/17 3:34,354.048,COS   ,PSA,G160M,1623,14683,8/14/18 5:32,LD7M51040
LD7M51AGQ,AAOMEGA-30DOR-333,84.798375,-69.5103528,1,8/14/17 1:54,8/14/17 1:57,177,COS   ,PSA,G130M,1291,14683,8/14/18 5:16,
LD7M51B4Q,AAOMEGA-30DOR-333,84.798375,-69.5103528,1,8/14/17 1:59,8/14/17 1:59,0.2,COS   ,PSA,G130M,1291,14683,8/14/18 5:16,
LD7M02010,AAOMEGA-30DOR-368,85.0568542,-69.4263917,1,5/2/17 3:01,5/2/17 3:07,176.064,COS   ,PSA,G130M,1291,14683,5/3/18 7:11,LD7M02010
LD7M02020,AAOMEGA-30DOR-368,85.0568542,-69.4263917,1,5/2/17 3:11,5/2/17 3:17,176.032,COS   ,PSA,G130M,1327,14683,5/2/18 18:48,LD7M02020
LD7M02030,AAOMEGA-30DOR-368,85.0568542,-69.4263917,1,5/2/17 4:24,5/2/17 4:36,536.064,COS   ,PSA,G160M,1577,14683,5/3/18 11:56,LD7M02030
LD7M02040,AAOMEGA-30DOR-368,85.0568542,-69.4263917,1,5/2/17 4:40,5/2/17 4:51,436.064,COS   ,PSA,G160M,1623,14683,5/3/18 1:56,LD7M02040
LD7M02IOQ,AAOMEGA-30DOR-368,85.0568542,-69.4263917,1,5/2/17 2:53,5/2/17 2:56,185,COS   ,PSA,G130M,1291,14683,5/2/18 20:34,
LD7M02IPQ,AAOMEGA-30DOR-368,85.0568542,-69.4263917,1,5/2/17 2:58,5/2/17 2:58,0.3,COS   ,PSA,G130M,1291,14683,5/2/18 21:22,
LCYID1010,NGC1818-D1,76.1346375,-66.4131861,0,11/13/16 23:40,11/14/16 0:22,2084.096,COS   ,PSA,G130M,1291,14081,11/14/17 3:54,LCYID1010
LCYID1020,NGC1818-D1,76.1346375,-66.4131861,0,11/14/16 0:25,11/14/16 1:16,2280.096,COS   ,PSA,G130M,1327,14081,11/14/17 3:59,LCYID1020
LCYID1030,NGC1818-D1,76.1346375,-66.4131861,0,11/14/16 1:20,11/14/16 3:29,6940.8,COS   ,PSA,G160M,1577,14081,11/14/17 15:14,LCYID1030
LCYID1040,NGC1818-D1,76.1346375,-66.4131861,0,11/14/16 4:04,11/14/16 6:47,8012.8,COS   ,PSA,G160M,1623,14081,11/14/17 15:13,LCYID1040
LCYID2010,NGC1818-D1,76.1346375,-66.4131861,0,2/10/16 6:27,2/10/16 7:20,1900.032,COS   ,PSA,G185M,1913,14081,2/10/17 14:13,LCYID2010
LCYID2020,NGC1818-D1,76.1346375,-66.4131861,0,2/10/16 7:23,2/10/16 8:00,1940.064,COS   ,PSA,G185M,1941,14081,2/10/17 14:15,LCYID2020
LCYID3010,NGC1818-D1,76.1346375,-66.4131861,0,12/30/15 12:23,12/30/15 12:54,1576.064,COS   ,PSA,G185M,1971,14081,12/31/16 6:16,LCYID3010
LCYID3020,NGC1818-D1,76.1346375,-66.4131861,0,12/30/15 13:47,12/30/15 14:19,1664.064,COS   ,PSA,G185M,2010,14081,12/31/16 6:19,LCYID3020
LCYID4010,NGC1818-D1,76.1346375,-66.4131861,0,2/13/16 14:01,2/13/16 15:33,3374.784,COS   ,PSA,G225M,2233,14081,2/13/17 18:11,LCYID4010
LCYID4020,NGC1818-D1,76.1346375,-66.4131861,0,2/13/16 15:36,2/13/16 17:29,4120.736,COS   ,PSA,G225M,2268,14081,2/13/17 21:24,LCYID4020
LCYID4030,NGC1818-D1,76.1346375,-66.4131861,0,2/13/16 17:32,2/13/16 19:05,4028.8,COS   ,PSA,G225M,2306,14081,2/13/17 21:27,LCYID4030
LEC123010,HD-32257,74.01208397,-69.45598589,0,2021-08-23T22:25:01.010000,2021-08-23T23:23:51.017000,1484.032,COS   ,PSA,G130M,1222,16272,2022-02-24T03:42:43,LEC123010
LEC123020,HD-32257,74.01208397,-69.45598589,0,2021-08-24T00:33:15.027000,2021-08-24T00:49:28.027000,754.016,COS   ,PSA,G130M,1291,16272,2022-02-24T03:37:19,LEC123020
LEC123030,HD-32257,74.01208397,-69.45598589,0,2021-08-24T00:54:19.027000,2021-08-24T02:25:51,1732.064,COS   ,PSA,G160M,1623,16272,2022-02-24T03:42:20,LEC123030
LEC102010,HD-32125,74.04625763,-66.29251344,0,2022-01-24T03:15:10.390000,2022-01-24T03:46:58.423000,1392.096,COS   ,PSA,G130M,1222,16272,2022-07-24T15:50:05,LEC102010
LEC102020,HD-32125,74.04625763,-66.29251344,0,2022-01-24T03:51:25.397000,2022-01-24T04:52:50.397000,1051.04,COS   ,PSA,G130M,1291,16272,2022-07-24T15:53:00,LEC102020
LEC102030,HD-32125,74.04625763,-66.29251344,0,2022-01-24T04:57:30.423000,2022-01-24T05:34:53.407000,1700.064,COS   ,PSA,G160M,1623,16272,2022-07-24T15:52:42,LEC102030
LCIY03010,LMC277-2,76.1358,-68.01648333,1,2014-12-04T09:26:45.240000,2014-12-04T10:45:05.247000,2388.096,COS   ,PSA,G140L,1105,13780,2015-12-04T20:14:53,LCIY03010
LCIY03020,LMC277-2,76.1358,-68.01648333,1,2014-12-04T10:54:40.377000,2014-12-04T12:30:49.383000,2856.8,COS   ,PSA,G140L,1280,13780,2015-12-04T20:32:15,LCIY03020
LE2706010,LMC277-2,76.13604167,-68.01658333,0,2020-08-06T06:09:23.230000,2020-08-06T07:27:05.213000,2208.064,COS   ,PSA,G160M,1577,15824,2021-02-06T16:03:54,LE2706010
LE2701010,LMC079-1,76.80554167,-70.55941667,0,2020-06-28T21:11:10.207000,2020-06-28T23:01:03.207000,2228.096,COS   ,PSA,G160M,1577,15824,2020-12-29T02:58:29,LE2701010
LCIY01010,LMC079-1,76.80534583,-70.55945833,1,2014-12-04T06:27:54.233000,2014-12-04T07:26:31.233000,2404.832,COS   ,PSA,G140L,1105,13780,2015-12-04T11:54:02,LCIY01010
LCIY01020,LMC079-1,76.80534583,-70.55945833,1,2014-12-04T07:36:15.383000,2014-12-04T08:52:47.383000,2896.8,COS   ,PSA,G140L,1280,13780,2015-12-04T20:11:47,LCIY01020
LEC104010,BREY-16A,77.47405549,-68.88124115,0,2021-04-28T04:18:18.350000,2021-04-28T04:35:59.360000,632.064,COS   ,PSA,G130M,1222,16272,2021-10-28T05:47:12,LEC104010
LEC104020,BREY-16A,77.47405549,-68.88124115,0,2021-04-28T04:39:50.350000,2021-04-28T04:45:40.337000,216.032,COS   ,PSA,G130M,1291,16272,2021-10-28T05:44:02,LEC104020
LEC104030,BREY-16A,77.47405549,-68.88124115,0,2021-04-28T05:55:33.360000,2021-04-28T06:08:30.350000,432.032,COS   ,PSA,G160M,1623,16272,2021-10-28T06:49:32,LEC104030
LCJ001020,LMC195-1,79.54294167,-69.21720833,1,2015-07-16T06:07:23.877000,2015-07-16T08:24:19.883000,4057.824,COS   ,PSA,G130M,1096,13781,2016-07-16T15:27:46,LCJ001020
LCJ001010,LH41-1042,79.54528333,-69.21969167,1,2015-07-16T04:33:57.893000,2015-07-16T06:03:43.877000,1296.192,COS   ,PSA,G130M,1096,13781,2016-07-16T15:06:17,LCJ001010
LE2708010,LMCE169-1,80.34516667,-65.88027778,0,2020-05-08T01:04:15.197000,2020-05-08T02:55:07.227000,2240.032,COS   ,PSA,G160M,1577,15824,2020-11-08T03:30:46,LE2708010
LEC106010,HD-36156,80.79194951,-71.34745504,0,2021-05-12T07:07:45.360000,2021-05-12T07:23:04.350000,376.096,COS   ,PSA,G130M,1222,16272,2021-11-12T18:49:13,LEC106010
