Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name
ODA906010,SK-69104,79.74785,-69.2152278,1,4/15/17 20:53,4/15/17 21:30,2240,STIS  ,0.2X0.2,E230M,1978,14675,4/16/17 0:43,ODA906010
ODA906020,SK-69104,79.74785,-69.2152278,1,4/15/17 22:15,4/15/17 22:58,2585,STIS  ,0.2X0.2,E140M,1425,14675,4/16/17 2:40,ODA906020
ODA914010,BI173,81.7913875,-69.132325,1,6/4/17 17:53,6/4/17 18:30,2200,STIS  ,0.2X0.2,E230M,1978,14675,6/5/17 2:42,ODA914010
ODA914020,BI173,81.7913875,-69.132325,1,6/4/17 19:13,6/4/17 19:48,2100,STIS  ,0.2X0.2,E230M,1978,14675,6/5/17 2:42,ODA914020
ODA914040,BI173,81.7913875,-69.132325,1,6/4/17 20:56,6/4/17 21:38,2520,STIS  ,0.2X0.2,E140M,1425,14675,6/5/17 3:43,ODA914040
ODA914050,BI173,81.7913875,-69.132325,1,6/4/17 22:24,6/4/17 23:01,2250,STIS  ,0.2X0.2,E140M,1425,14675,6/5/17 4:45,ODA914050
ODA922010,SK-6852,76.83505,-68.5357056,1,2/12/17 8:28,2/12/17 9:05,2200,STIS  ,0.2X0.2,E230M,1978,14675,2/13/17 0:22,ODA922010
ODA922020,SK-6852,76.83505,-68.5357056,1,2/12/17 9:54,2/12/17 10:40,2750,STIS  ,0.2X0.2,E230M,1978,14675,2/13/17 0:22,ODA922020
ODA922030,SK-6852,76.83505,-68.5357056,1,2/12/17 11:33,2/12/17 12:16,2580,STIS  ,0.2X0.2,E140M,1425,14675,2/13/17 0:23,ODA922030
OBZL04010,SK-68D73,80.7491667,-68.0296111,1,7/28/13 7:23,7/28/13 8:09,2794,STIS  ,0.2X0.2,E230M,1978,12978,7/28/14 20:13,OBZL04010
OBZL04020,SK-68D73,80.7491667,-68.0296111,1,7/28/13 8:47,7/28/13 9:42,3330,STIS  ,0.2X0.2,E230M,1978,12978,7/28/14 20:14,OBZL04020
OBZL04030,SK-68D73,80.7491667,-68.0296111,1,7/28/13 10:22,7/28/13 11:18,3330,STIS  ,0.2X0.2,E230M,1978,12978,7/28/14 20:16,OBZL04030
OBZL04040,SK-68D73,80.7491667,-68.0296111,1,7/28/13 11:57,7/28/13 12:53,3330,STIS  ,0.2X0.2,E230M,1978,12978,7/28/14 20:18,OBZL04040
OBZL04050,SK-68D73,80.7491667,-68.0296111,1,7/28/13 13:33,7/28/13 14:28,3330,STIS  ,0.2X0.2,E230M,1978,12978,7/28/14 21:57,OBZL04050
OBZL03010,SK-68D73,80.7491667,-68.0296111,1,10/30/12 23:04,10/31/12 5:05,20750,STIS  ,0.2X0.2,E140H,1307,12978,10/31/13 9:17,OBZL03010
ODA971010,SK-7079,76.6552583,-70.4900444,1,6/11/17 15:01,6/11/17 15:38,2250,STIS  ,0.2X0.2,E230M,1978,14675,6/11/17 22:30,ODA971010
