;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
cpt0m407-kb87-20220129-0194-e91.fits.fz  59609.081363195  59609.081713704  5450  2.0821e-15  1.3866e-16
cpt0m407-kb87-20220129-0195-e91.fits.fz  59609.081840857  59609.082365012  5450  2.1044e-15  9.2873e-17
cpt0m407-kb87-20220129-0196-e91.fits.fz  59609.082487616  59609.083359005  5450  2.1324e-15  6.3288e-17
cpt0m407-kb87-20220129-0197-e91.fits.fz  59609.083489121  59609.084534109  5450  2.1049e-15  5.0400e-17
lsc0m412-kb26-20220131-0095-e91.fits.fz  59611.377379237  59611.378250545  5450  2.0670e-15  1.5484e-16
lsc0m409-kb29-20220201-0191-e91.fits.fz  59612.325677975  59612.326549260  5450  2.1520e-15  1.1312e-16
lsc0m409-kb29-20220204-0230-e91.fits.fz  59615.308271760  59615.309143079  5450  2.0297e-15  9.6491e-17
cpt0m407-kb87-20220205-0188-e91.fits.fz  59616.076552813  59616.077424144  5450  2.0361e-15  4.9937e-17
cpt0m407-kb87-20220206-0155-e91.fits.fz  59617.057309757  59617.058181135  5450  2.0020e-15  5.0689e-17
lsc0m409-kb29-20220207-0164-e91.fits.fz  59618.300084792  59618.300956158  5450  1.8388e-15  9.3768e-17
cpt0m407-kb87-20220208-0165-e91.fits.fz  59619.058516517  59619.059387883  5450  2.1220e-15  4.9203e-17
cpt0m407-kb87-20220209-0154-e91.fits.fz  59620.046995706  59620.047867084  5450  2.1675e-15  4.7907e-17
lsc0m409-kb29-20220414-0122-e91.fits.fz  59684.131731412  59684.132602813  5450  1.9787e-15  9.0403e-17
lsc0m409-kb29-20220415-0169-e91.fits.fz  59685.128915510  59685.129786783  5450  1.9202e-15  8.3864e-17
lsc0m409-kb29-20220416-0139-e91.fits.fz  59686.126353334  59686.127224676  5450  2.2460e-15  1.0693e-16
lsc0m409-kb29-20220417-0142-e91.fits.fz  59687.123702975  59687.124574294  5450  2.2158e-15  1.2638e-16
lsc0m409-kb29-20220420-0098-e91.fits.fz  59690.115250440  59690.116121783  5450  2.2539e-15  7.9227e-17
lsc0m409-kb29-20220421-0172-e91.fits.fz  59691.112533079  59691.112767825  5450  2.0789e-15  2.0188e-16
lsc0m412-kb26-20220421-0152-e91.fits.fz  59691.112641227  59691.113512605  5450  2.0471e-15  9.5706e-17
lsc0m409-kb29-20220422-0176-e91.fits.fz  59692.109838994  59692.110073774  5450  2.3808e-15  2.0340e-16
lsc0m412-kb26-20220422-0187-e91.fits.fz  59692.109873311  59692.110744653  5450  2.1481e-15  8.7646e-17
lsc0m409-kb29-20220423-0156-e91.fits.fz  59693.107918299  59693.108789596  5450  2.1776e-15  5.9721e-17
lsc0m409-kb29-20220423-0181-e91.fits.fz  59693.138916945  59693.139151760  5450  2.3563e-15  1.6545e-16
coj0m403-kb24-20220424-0228-e91.fits.fz  59693.726605174  59693.727475892  5450  2.2706e-15  1.0819e-16
lsc0m409-kb29-20220424-0169-e91.fits.fz  59694.105610903  59694.105845614  5450  2.2412e-15  2.1231e-16
lsc0m409-kb29-20220424-0286-e91.fits.fz  59694.304886193  59694.305757500  5450  2.0651e-15  5.3821e-17
lsc0m409-kb29-20220425-0280-e91.fits.fz  59695.417998808  59695.418233508  5450  2.0482e-15  2.3162e-16
lsc0m412-kb26-20220426-0063-e91.fits.fz  59696.248098091  59696.248332859  5450  1.6754e-15  3.1013e-16
lsc0m412-kb26-20220426-0065-e91.fits.fz  59696.250137825  59696.251009132  5450  1.9923e-15  9.4198e-17
cpt0m407-kb87-20220427-0088-e91.fits.fz  59696.902951471  59696.903822790  5450  2.1940e-15  5.1302e-17
cpt0m407-kb87-20220427-0090-e91.fits.fz  59696.906410475  59696.906645279  5450  2.1445e-15  1.7812e-16
lsc0m409-kb29-20220427-0178-e91.fits.fz  59697.198076540  59697.198600637  5450  2.0194e-15  9.1887e-17
lsc0m409-kb29-20220428-0155-e91.fits.fz  59698.084193646  59698.085064931  5450  2.1243e-15  6.4623e-17
lsc0m409-kb29-20220428-0162-e91.fits.fz  59698.094606610  59698.095477929  5450  2.2865e-15  6.5528e-17
lsc0m409-kb29-20220428-0171-e91.fits.fz  59698.105034561  59698.105905915  5450  2.0956e-15  6.3632e-17
lsc0m409-kb29-20220428-0177-e91.fits.fz  59698.112713727  59698.112948484  5450  2.1284e-15  2.0108e-16
lsc0m409-kb29-20220428-0179-e91.fits.fz  59698.115433855  59698.116305197  5450  2.1680e-15  6.5747e-17
lsc0m409-kb29-20220428-0193-e91.fits.fz  59698.128497732  59698.129369074  5450  2.1456e-15  6.5876e-17
lsc0m409-kb29-20220428-0195-e91.fits.fz  59698.131063334  59698.131934676  5450  2.1627e-15  5.8002e-17
cpt0m407-kb87-20220428-0181-e91.fits.fz  59698.136277639  59698.137148982  5450  2.3398e-15  5.0722e-17
cpt0m407-kb87-20220428-0183-e91.fits.fz  59698.146641957  59698.147513299  5450  2.2821e-15  4.9490e-17
cpt0m407-kb87-20220428-0201-e91.fits.fz  59698.172120325  59698.172645961  5450  2.0332e-15  9.0432e-17
coj0m403-kb24-20220429-0089-e91.fits.fz  59698.531483149  59698.532353970  5450  2.3059e-15  3.3025e-16
coj0m403-kb24-20220429-0093-e91.fits.fz  59698.538443843  59698.539314596  5450  1.9775e-15  7.5113e-17
coj0m405-kb88-20220429-0104-e91.fits.fz  59698.551372223  59698.552243530  5450  2.2349e-15  4.2860e-17
coj0m403-kb24-20220429-0113-e91.fits.fz  59698.559299607  59698.560170417  5450  2.0169e-15  5.8692e-17
coj0m405-kb88-20220429-0115-e91.fits.fz  59698.568259815  59698.569131111  5450  1.8945e-15  6.1335e-17
coj0m403-kb24-20220429-0133-e91.fits.fz  59698.578693346  59698.579564075  5450  2.1634e-15  4.3147e-17
coj0m403-kb24-20220429-0135-e91.fits.fz  59698.589011389  59698.589882223  5450  2.0675e-15  4.1236e-17
coj0m405-kb88-20220429-0127-e91.fits.fz  59698.599519746  59698.600391065  5450  2.0097e-15  3.5503e-17
coj0m405-kb88-20220429-0138-e91.fits.fz  59698.610446772  59698.611318161  5450  2.0609e-15  3.7209e-17
coj0m403-kb24-20220429-0150-e91.fits.fz  59698.620386459  59698.621257339  5450  2.0483e-15  3.8337e-17
coj0m403-kb24-20220429-0152-e91.fits.fz  59698.630664734  59698.631535533  5450  2.0943e-15  4.5429e-17
coj0m405-kb88-20220429-0140-e91.fits.fz  59698.641086945  59698.641958276  5450  2.0531e-15  1.4497e-16
coj0m403-kb24-20220429-0163-e91.fits.fz  59698.651556690  59698.652427443  5450  2.0697e-15  4.3654e-17
coj0m403-kb24-20220429-0165-e91.fits.fz  59698.661924410  59698.662795232  5450  2.2798e-15  2.3197e-16
lsc0m409-kb29-20220429-0162-e91.fits.fz  59699.125987894  59699.126859213  5450  2.4102e-15  1.0236e-16
lsc0m409-kb29-20220429-0170-e91.fits.fz  59699.135698577  59699.136569943  5450  2.3248e-15  1.0131e-16
lsc0m409-kb29-20220429-0172-e91.fits.fz  59699.142636945  59699.143508230  5450  2.2018e-15  6.9455e-17
lsc0m409-kb29-20220429-0183-e91.fits.fz  59699.153695811  59699.154567130  5450  2.4487e-15  8.8267e-17
lsc0m412-kb26-20220429-0127-e91.fits.fz  59699.173865788  59699.174737130  5450  2.3248e-15  2.8544e-16
lsc0m412-kb26-20220429-0130-e91.fits.fz  59699.184864642  59699.185735984  5450  2.4353e-15  1.2887e-16
lsc0m412-kb26-20220429-0136-e91.fits.fz  59699.194614561  59699.195485892  5450  2.5608e-15  1.8450e-16
lsc0m412-kb26-20220429-0147-e91.fits.fz  59699.208428924  59699.209300301  5450  2.1906e-15  8.7765e-17
lsc0m412-kb26-20220429-0149-e91.fits.fz  59699.211433091  59699.211957223  5450  2.1593e-15  1.5056e-16
coj0m405-kb88-20220430-0049-e91.fits.fz  59699.621488669  59699.621723542  5450  2.6115e-15  1.6695e-16
coj0m403-kb24-20220430-0045-e91.fits.fz  59699.624520880  59699.625391609  5450  2.4968e-15  5.9643e-17
coj0m405-kb88-20220430-0055-e91.fits.fz  59699.635567813  59699.636439144  5450  2.3179e-15  8.0788e-17
