;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
cpt0m407-kb87-20220129-0196-e91.fits.fz  59609.082487616  59609.083359005  5450  7.6281e-16  6.4657e-17
cpt0m407-kb87-20220129-0197-e91.fits.fz  59609.083489121  59609.084534109  5450  7.9940e-16  5.7306e-17
lsc0m409-kb29-20220204-0230-e91.fits.fz  59615.308271760  59615.309143079  5450  5.6878e-16  1.0735e-16
cpt0m407-kb87-20220205-0188-e91.fits.fz  59616.076552813  59616.077424144  5450  7.9521e-16  5.4258e-17
cpt0m407-kb87-20220206-0155-e91.fits.fz  59617.057309757  59617.058181135  5450  7.5734e-16  5.6297e-17
lsc0m409-kb29-20220207-0164-e91.fits.fz  59618.300084792  59618.300956158  5450  6.3753e-16  1.0165e-16
cpt0m407-kb87-20220208-0165-e91.fits.fz  59619.058516517  59619.059387883  5450  7.5731e-16  5.2703e-17
cpt0m407-kb87-20220209-0154-e91.fits.fz  59620.046995706  59620.047867084  5450  7.4494e-16  4.8388e-17
lsc0m409-kb29-20220414-0122-e91.fits.fz  59684.131731412  59684.132602813  5450  7.0956e-16  1.0304e-16
lsc0m409-kb29-20220415-0169-e91.fits.fz  59685.128915510  59685.129786783  5450  6.9375e-16  9.4802e-17
lsc0m409-kb29-20220416-0139-e91.fits.fz  59686.126353334  59686.127224676  5450  7.0338e-16  1.1843e-16
lsc0m409-kb29-20220420-0098-e91.fits.fz  59690.115250440  59690.116121783  5450  7.3098e-16  9.3670e-17
lsc0m412-kb26-20220421-0152-e91.fits.fz  59691.112641227  59691.113512605  5450  8.2653e-16  1.3429e-16
lsc0m412-kb26-20220422-0187-e91.fits.fz  59692.109873311  59692.110744653  5450  1.2158e-15  1.1832e-16
lsc0m409-kb29-20220423-0156-e91.fits.fz  59693.107918299  59693.108789596  5450  6.8319e-16  8.0953e-17
lsc0m409-kb29-20220424-0286-e91.fits.fz  59694.304886193  59694.305757500  5450  7.5761e-16  6.9373e-17
lsc0m412-kb26-20220426-0065-e91.fits.fz  59696.250137825  59696.251009132  5450  8.5996e-16  1.2393e-16
cpt0m407-kb87-20220427-0088-e91.fits.fz  59696.902951471  59696.903822790  5450  7.3550e-16  5.5030e-17
lsc0m409-kb29-20220427-0178-e91.fits.fz  59697.198076540  59697.198600637  5450  8.3015e-16  1.0112e-16
lsc0m409-kb29-20220428-0155-e91.fits.fz  59698.084193646  59698.085064931  5450  9.1714e-16  7.9353e-17
lsc0m409-kb29-20220428-0162-e91.fits.fz  59698.094606610  59698.095477929  5450  8.7416e-16  8.1525e-17
lsc0m409-kb29-20220428-0171-e91.fits.fz  59698.105034561  59698.105905915  5450  7.9844e-16  7.9017e-17
lsc0m409-kb29-20220428-0179-e91.fits.fz  59698.115433855  59698.116305197  5450  9.7486e-16  8.2530e-17
lsc0m409-kb29-20220428-0193-e91.fits.fz  59698.128497732  59698.129369074  5450  7.9477e-16  8.3902e-17
lsc0m409-kb29-20220428-0195-e91.fits.fz  59698.131063334  59698.131934676  5450  6.8656e-16  7.6579e-17
cpt0m407-kb87-20220428-0181-e91.fits.fz  59698.136277639  59698.137148982  5450  9.0918e-16  5.2976e-17
cpt0m407-kb87-20220428-0183-e91.fits.fz  59698.146641957  59698.147513299  5450  7.1498e-16  5.3832e-17
coj0m403-kb24-20220429-0093-e91.fits.fz  59698.538443843  59698.539314596  5450  7.9195e-16  8.2068e-17
coj0m405-kb88-20220429-0104-e91.fits.fz  59698.551372223  59698.552243530  5450  7.5261e-16  4.6344e-17
coj0m403-kb24-20220429-0113-e91.fits.fz  59698.559299607  59698.560170417  5450  8.1609e-16  6.4009e-17
coj0m405-kb88-20220429-0115-e91.fits.fz  59698.568259815  59698.569131111  5450  7.1297e-16  6.6335e-17
coj0m403-kb24-20220429-0133-e91.fits.fz  59698.578693346  59698.579564075  5450  7.0730e-16  4.8863e-17
