radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
84.875134,0.553,-1.104293,0.956,17.423,0.304,3,17.951,0.102,3,NA,NA,0,17.691,0.075,8,16.817,0.13,8,16.175,0.371,3,NA,NA,0,NA,NA,0
84.875218,0.16,-1.461733,0.102,NA,NA,0,NA,NA,0,NA,NA,0,19.082,0.338,1,17.101,0.143,1,16.189,0.181,1,NA,NA,0,NA,NA,0
84.875625,0.644,-1.357264,0.499,NA,NA,0,NA,NA,0,NA,NA,0,18.012,0.129,6,17.353,0.152,6,NA,NA,0,NA,NA,0,NA,NA,0
84.878152,0.385,-1.401625,0.227,NA,NA,0,NA,NA,0,NA,NA,0,18.257,0.242,4,17.251,0.24,4,NA,NA,0,NA,NA,0,NA,NA,0
84.879951,0.455,-1.265263,0.343,16.054,0.14,17,17.028,0.157,17,NA,NA,0,16.427,0.123,16,15.681,0.191,16,15.21,0.193,13,NA,NA,0,NA,NA,0
84.880382,0.579,-1.216473,0.366,NA,NA,0,NA,NA,0,NA,NA,0,17.885,0.145,5,17.14,0.135,5,NA,NA,0,NA,NA,0,NA,NA,0
84.881568,0.57,-1.08461,0.45,16.359,0.149,16,17.364,0.244,16,NA,NA,0,16.796,0.091,15,15.901,0.145,15,15.308,0.169,12,NA,NA,0,NA,NA,0
84.88171,0.2,-1.166074,0.286,14.055,0.19,17,14.941,0.127,17,NA,NA,0,14.433,0.161,17,13.698,0.227,17,13.245,0.241,17,12.903,0.111,3,NA,NA,0
84.881718,0.78,-1.148592,0.583,17.371,0.178,1,18.443,0.302,1,NA,NA,0,17.949,0.118,7,16.825,0.216,7,16.338,0.196,6,NA,NA,0,NA,NA,0
84.882179,1.297,-1.604049,0.289,NA,NA,0,NA,NA,0,NA,NA,0,18.063,0.081,4,17.335,0.219,4,NA,NA,0,NA,NA,0,NA,NA,0
84.883024,0.449,-1.159263,0.403,15.991,0.15,16,17.193,0.233,16,NA,NA,0,16.564,0.108,15,15.424,0.186,15,14.802,0.228,14,NA,NA,0,NA,NA,0
84.883524,0.668,-1.430659,0.547,NA,NA,0,NA,NA,0,NA,NA,0,18.635,0.105,3,16.894,0.099,3,16.102,0.034,2,NA,NA,0,NA,NA,0
84.88573,0.267,-1.213917,0.292,14.539,0.165,17,15.333,0.079,17,NA,NA,0,14.866,0.14,17,14.208,0.225,17,13.814,0.223,15,13.596,0.186,3,NA,NA,0
84.8864,0.383,-1.57181,0.437,16.684,0.038,4,17.84,0.142,4,NA,NA,0,17.301,0.067,5,16.227,0.086,5,15.658,0.123,5,NA,NA,0,NA,NA,0
84.887258,0.467,-1.425185,0.354,16.558,0.057,7,17.884,0.316,7,NA,NA,0,17.281,0.257,12,16.059,0.168,13,14.762,0.29,10,NA,NA,0,NA,NA,0
84.89062,0.514,-1.557138,0.439,NA,NA,0,NA,NA,0,NA,NA,0,18.012,0.107,5,16.949,0.077,5,16.322,0.033,2,NA,NA,0,NA,NA,0
84.890942,0.738,-1.16846,0.617,16.971,0.086,3,18.206,0.067,3,NA,NA,0,17.484,0.108,10,16.554,0.201,10,15.974,0.118,8,NA,NA,0,NA,NA,0
84.891633,0.488,-1.115785,0.494,NA,NA,0,NA,NA,0,NA,NA,0,18.197,0.409,2,17.429,0.128,2,NA,NA,0,NA,NA,0,NA,NA,0
84.892533,0.277,-1.163375,0.665,NA,NA,0,NA,NA,0,NA,NA,0,18.519,0.174,2,17.475,0.107,2,NA,NA,0,NA,NA,0,NA,NA,0
84.893335,0.439,-1.475332,0.476,16.314,0.073,6,17.537,0.196,6,NA,NA,0,16.989,0.085,6,15.779,0.116,6,15.054,0.151,6,NA,NA,0,NA,NA,0
84.894924,0.332,-1.53665,0.385,13.944,0.034,5,15.295,0.026,5,NA,NA,0,14.649,0.056,5,13.402,0.028,5,12.779,0.022,5,12.299,0.186,5,NA,NA,0
84.896124,0.441,-1.322725,0.365,14.867,0.175,20,15.911,0.157,20,NA,NA,0,15.341,0.197,20,14.465,0.228,20,13.965,0.235,18,13.619,0.263,3,NA,NA,0
84.896796,0.407,-1.135711,0.313,15.149,0.146,15,16.161,0.104,15,NA,NA,0,15.593,0.137,16,14.693,0.193,16,14.271,0.204,16,13.477,0.213,1,NA,NA,0
84.898025,0.385,-1.118232,0.248,15.059,0.131,16,15.994,0.082,16,NA,NA,0,15.484,0.123,16,14.695,0.186,16,14.278,0.212,16,13.593,0.202,1,NA,NA,0
84.900642,0.168,-1.428652,0.135,11.851,0.103,14,12.316,0.21,14,NA,NA,0,12.027,0.257,14,11.691,0.143,14,11.632,0.189,13,11.543,0.077,4,NA,NA,0
84.902605,0.214,-1.22586,0.194,14.118,0.184,16,14.962,0.095,16,NA,NA,0,14.478,0.156,17,13.798,0.203,17,13.413,0.235,17,13.064,0.035,3,NA,NA,0
84.904328,0.215,-1.183788,0.249,14.22,0.161,17,15.051,0.11,17,NA,NA,0,14.591,0.14,17,13.883,0.209,17,13.451,0.222,17,13.012,0.176,3,NA,NA,0
84.905904,0.268,-1.377725,0.176,9.284,0.05,3,9.265,0.015,3,NA,NA,0,9.456,0.379,4,9.386,0.039,3,9.601,0.045,3,9.714,0.063,3,NA,NA,0
84.906174,0.914,-1.254441,0.607,NA,NA,0,NA,NA,0,NA,NA,0,17.949,0.197,7,16.808,0.109,7,16.182,0.146,5,NA,NA,0,NA,NA,0
84.907372,0.433,-1.096366,0.486,NA,NA,0,NA,NA,0,NA,NA,0,18.228,0.141,4,16.899,0.053,5,16.415,0.173,4,NA,NA,0,NA,NA,0
84.910047,0.625,-1.155176,0.66,17.076,0.176,5,17.979,0.186,5,NA,NA,0,17.476,0.111,9,16.605,0.111,9,16.203,0.156,8,NA,NA,0,NA,NA,0
84.910866,0.423,-1.57321,0.256,NA,NA,0,NA,NA,0,NA,NA,0,17.887,0.14,5,16.484,0.061,5,15.549,0.115,5,NA,NA,0,NA,NA,0
84.91336,0.565,-1.263802,0.564,NA,NA,0,NA,NA,0,NA,NA,0,18.534,0.241,1,17.088,0.146,1,16.188,0.174,1,NA,NA,0,NA,NA,0
84.913857,0.327,-1.126345,0.23,15.11,0.115,15,15.951,0.072,15,NA,NA,0,15.478,0.08,15,14.765,0.182,15,14.323,0.187,13,NA,NA,0,NA,NA,0
84.917674,0.871,-1.171932,0.81,NA,NA,0,NA,NA,0,NA,NA,0,18.436,0.222,1,17.244,0.167,1,NA,NA,0,NA,NA,0,NA,NA,0
