radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
238.905669,0.496,-37.080307,0.403,NA,NA,0,NA,NA,0,NA,NA,0,17.592,0.137,5,16.168,0.164,5,15.586,0.204,4,NA,NA,0,NA,NA,0
238.906068,0.381,-37.088601,0.247,16.321,0.071,5,17.693,0.138,5,NA,NA,0,16.97,0.101,5,15.724,0.146,5,15.361,0.225,5,NA,NA,0,NA,NA,0
238.906073,0.382,-36.743573,0.286,16.975,0.203,2,17.882,0.072,2,NA,NA,0,17.334,0.059,2,16.479,0.133,2,16.166,0.227,1,NA,NA,0,NA,NA,0
238.906509,0.431,-36.766979,0.265,16.34,0.101,3,17.473,0.147,3,NA,NA,0,16.93,0.095,3,15.89,0.019,3,15.543,0.105,3,NA,NA,0,NA,NA,0
238.906942,0.556,-36.873491,0.558,16.399,0.03,2,17.503,0.24,2,NA,NA,0,16.996,0.043,4,16.041,0.132,3,15.651,0.253,2,NA,NA,0,NA,NA,0
238.907641,0.596,-36.917941,0.579,17.166,0.227,1,17.831,0.237,1,NA,NA,0,17.596,0.084,2,16.549,0.046,2,16.485,0.306,1,NA,NA,0,NA,NA,0
238.907745,0.148,-36.661866,0.109,NA,NA,0,NA,NA,0,NA,NA,0,17.648,0.137,1,16.298,0.096,1,NA,NA,0,NA,NA,0,NA,NA,0
238.907801,0.414,-36.939071,0.398,16.374,0.088,5,17.272,0.188,5,NA,NA,0,16.862,0.032,5,15.928,0.144,5,15.613,0.059,5,NA,NA,0,NA,NA,0
238.908275,0.783,-37.12825,0.46,16.962,0.141,1,17.92,0.241,1,NA,NA,0,17.452,0.155,5,16.212,0.136,5,16.023,0.106,4,NA,NA,0,NA,NA,0
238.908544,0.978,-36.810526,0.512,16.949,0.165,1,17.86,0.361,1,NA,NA,0,17.782,0.014,2,16.569,0.046,2,16.606,0.359,1,NA,NA,0,NA,NA,0
238.908659,0.682,-37.189731,0.353,16.625,0.125,2,18.011,0.23,2,NA,NA,0,17.279,0.108,3,15.94,0.007,3,15.477,0.02,2,NA,NA,0,NA,NA,0
238.908795,0.478,-37.049734,0.263,NA,NA,0,NA,NA,0,NA,NA,0,18.381,0.227,2,17.223,0.038,2,NA,NA,0,NA,NA,0,NA,NA,0
238.908842,0.868,-37.000939,0.402,15.82,0.046,5,17.086,0.137,5,NA,NA,0,16.425,0.031,5,15.305,0.121,5,14.837,0.087,5,NA,NA,0,NA,NA,0
238.908855,0.623,-37.104243,0.306,NA,NA,0,NA,NA,0,NA,NA,0,18.314,0.26,1,17.152,0.222,1,NA,NA,0,NA,NA,0,NA,NA,0
238.909118,0.16,-36.910888,0.239,15.867,0.074,3,17.002,0.089,3,NA,NA,0,16.412,0.013,2,15.325,0.065,2,14.908,0.041,2,NA,NA,0,NA,NA,0
238.909365,0.739,-36.698732,0.292,16.518,0.085,2,17.66,0.02,2,NA,NA,0,17.213,0.146,4,16.197,0.209,4,15.586,0.248,4,NA,NA,0,NA,NA,0
238.910157,0.44,-37.12074,0.416,NA,NA,0,NA,NA,0,NA,NA,0,17.856,0.065,2,17.21,0.224,2,16.429,0.299,1,NA,NA,0,NA,NA,0
238.910195,0.304,-36.847364,0.177,NA,NA,0,NA,NA,0,NA,NA,0,17.799,0.149,1,16.341,0.042,2,15.931,0.152,2,NA,NA,0,NA,NA,0
238.910243,0.378,-36.664576,0.216,16.098,0.018,3,17.111,0.112,3,NA,NA,0,16.495,0.075,3,15.636,0.023,3,15.359,0.183,3,NA,NA,0,NA,NA,0
238.910595,0.497,-37.075099,0.243,14.034,0.015,5,15.177,0.036,5,NA,NA,0,14.613,0.012,5,13.529,0.095,5,13.126,0.066,5,12.905,0.147,1,NA,NA,0
238.910903,0.29,-37.085326,0.313,16.596,0.144,3,17.765,0.045,3,NA,NA,0,17.113,0.062,5,16.097,0.16,5,15.555,0.193,5,NA,NA,0,NA,NA,0
238.91125,0.387,-36.715569,0.607,NA,NA,0,NA,NA,0,NA,NA,0,17.22,0.083,2,15.956,0.09,2,15.553,0.141,1,NA,NA,0,NA,NA,0
238.911636,0.49,-36.734035,0.239,17.018,0.155,1,17.887,0.237,1,NA,NA,0,17.693,0.074,3,16.674,0.066,3,NA,NA,0,NA,NA,0,NA,NA,0
238.912334,0.548,-37.033565,0.354,17.062,0.169,1,17.986,0.283,1,NA,NA,0,17.644,0.081,4,16.634,0.161,4,16.14,0.215,1,NA,NA,0,NA,NA,0
238.912376,0.512,-36.985803,0.382,16.603,0.204,5,17.621,0.099,5,NA,NA,0,17.104,0.056,5,16.163,0.058,5,15.811,0.208,4,NA,NA,0,NA,NA,0
238.912418,0.346,-36.909421,0.279,16.342,0.085,1,17.288,0.134,1,NA,NA,0,16.944,0.014,2,15.948,0.12,2,15.631,0.154,1,NA,NA,0,NA,NA,0
238.912532,0.131,-36.741622,0.101,NA,NA,0,NA,NA,0,NA,NA,0,18.101,0.2,1,16.708,0.145,1,NA,NA,0,NA,NA,0,NA,NA,0
238.912771,0.702,-37.133698,0.34,16.501,0.039,3,18.058,0.156,3,NA,NA,0,17.318,0.081,5,16.056,0.119,5,15.604,0.134,5,NA,NA,0,NA,NA,0
238.912892,0.534,-37.00213,0.533,16.86,0.133,1,17.844,0.251,1,NA,NA,0,17.55,0.04,3,16.533,0.292,3,NA,NA,0,NA,NA,0,NA,NA,0
238.912936,1.009,-36.919838,0.489,15.864,0.041,5,16.903,0.142,5,NA,NA,0,16.387,0.041,5,15.432,0.134,5,15.118,0.168,5,NA,NA,0,NA,NA,0
238.913605,0.034,-37.099891,0.879,NA,NA,0,NA,NA,0,NA,NA,0,18.085,0.205,1,16.828,0.171,1,NA,NA,0,NA,NA,0,NA,NA,0
238.913964,0.993,-37.114821,0.546,NA,NA,0,NA,NA,0,NA,NA,0,18.041,0.161,2,16.845,0.172,1,16.39,0.239,1,NA,NA,0,NA,NA,0
238.914154,0.396,-36.897109,0.389,15.967,0.037,5,17.021,0.109,5,NA,NA,0,16.558,0.031,5,15.548,0.08,5,15.147,0.065,5,NA,NA,0,NA,NA,0
238.914202,0.184,-36.833769,0.208,NA,NA,0,NA,NA,0,NA,NA,0,17.909,0.16,1,16.545,0.118,1,NA,NA,0,NA,NA,0,NA,NA,0
238.914528,0.542,-36.961387,0.31,15.752,0.054,5,16.876,0.034,5,NA,NA,0,16.281,0.025,5,15.29,0.119,5,14.967,0.099,5,NA,NA,0,NA,NA,0
238.914744,0.729,-36.90259,0.449,16.289,0.069,4,17.323,0.156,4,NA,NA,0,16.876,0.061,4,15.792,0.068,4,15.365,0.068,4,NA,NA,0,NA,NA,0
238.91491,0.312,-37.076734,0.245,16.784,0.131,1,18.063,0.279,1,NA,NA,0,17.483,0.119,1,16.022,0.086,1,NA,NA,0,NA,NA,0,NA,NA,0
238.915215,0.597,-37.188081,0.376,NA,NA,0,NA,NA,0,NA,NA,0,18.124,0.177,1,16.989,0.161,1,NA,NA,0,NA,NA,0,NA,NA,0
238.915545,0.303,-36.776288,0.123,NA,NA,0,NA,NA,0,NA,NA,0,18.033,0.194,1,17.164,0.221,1,NA,NA,0,NA,NA,0,NA,NA,0
238.915564,0.475,-37.151283,0.419,14.967,0.019,5,15.958,0.02,5,NA,NA,0,15.449,0.017,5,14.533,0.118,5,14.128,0.11,5,NA,NA,0,NA,NA,0
238.916262,0.213,-36.803258,0.394,15.754,0.054,2,16.69,0.09,2,NA,NA,0,16.34,0.005,2,15.433,0.023,2,15.038,0.03,2,NA,NA,0,NA,NA,0
238.916587,0.21,-37.064441,0.249,14.069,0.03,5,14.962,0.017,5,NA,NA,0,14.507,0.014,5,13.726,0.097,5,13.4,0.081,5,13.318,0.201,1,NA,NA,0
238.916632,0.355,-36.976534,0.793,17.103,0.22,3,17.925,0.102,3,NA,NA,0,17.636,0.259,2,16.495,0.031,2,NA,NA,0,NA,NA,0,NA,NA,0
238.916665,0.498,-36.867048,0.498,16.512,0.148,4,17.613,0.123,4,NA,NA,0,17.133,0.08,4,16.12,0.186,4,15.916,0.188,4,NA,NA,0,NA,NA,0
238.916753,0.281,-37.007073,0.359,14.672,0.023,5,15.788,0.043,5,NA,NA,0,15.223,0.01,5,14.22,0.081,5,13.838,0.057,5,13.456,0.244,1,NA,NA,0
238.916831,0.164,-36.841411,0.279,16.675,0.113,1,17.752,0.197,1,NA,NA,0,17.106,0.019,2,16.188,0.097,2,15.593,0.08,2,NA,NA,0,NA,NA,0
238.916861,0.377,-37.145473,0.342,NA,NA,0,NA,NA,0,NA,NA,0,17.027,0.188,3,15.791,0.134,3,15.133,0.049,3,NA,NA,0,NA,NA,0
238.917062,0.513,-37.042431,0.3,NA,NA,0,NA,NA,0,NA,NA,0,17.964,0.137,2,16.84,0.118,2,16.437,0.29,1,NA,NA,0,NA,NA,0
238.918682,0.337,-36.678654,0.47,NA,NA,0,NA,NA,0,NA,NA,0,18.24,0.001,2,16.81,0.079,2,16.185,0.106,2,NA,NA,0,NA,NA,0
238.920018,1.69,-37.144665,0.631,15.863,0.017,3,16.873,0.03,3,NA,NA,0,16.461,0.081,5,15.331,0.055,5,14.862,0.075,4,NA,NA,0,NA,NA,0
238.920543,0.32,-37.096539,0.212,15.867,0.067,5,16.904,0.117,5,NA,NA,0,16.327,0.034,5,15.478,0.093,5,15.125,0.157,5,NA,NA,0,NA,NA,0
238.920674,0.288,-37.059462,0.306,15.997,0.058,4,17.409,0.116,4,NA,NA,0,16.724,0.064,5,15.36,0.098,5,14.789,0.088,5,NA,NA,0,NA,NA,0
238.920704,0.28,-36.916382,0.321,14.468,0.014,4,15.933,0.022,4,NA,NA,0,15.237,0.006,2,13.773,0.005,2,13.21,0.036,2,13.173,0.186,1,NA,NA,0
238.921875,0.414,-37.018583,0.363,16.053,0.061,5,17.399,0.137,5,NA,NA,0,16.711,0.05,5,15.494,0.078,5,15.042,0.051,5,NA,NA,0,NA,NA,0
238.922076,0.533,-37.112122,0.172,16.049,0.09,5,17.025,0.132,5,NA,NA,0,16.524,0.053,5,15.633,0.14,5,15.289,0.064,5,NA,NA,0,NA,NA,0
238.922387,0.347,-36.951466,0.381,15.186,0.034,5,16.438,0.094,5,NA,NA,0,15.82,0.022,5,14.702,0.065,5,14.175,0.044,5,NA,NA,0,NA,NA,0
238.922423,0.369,-36.855421,0.601,17.646,0.268,1,18.343,0.349,1,NA,NA,0,17.973,0.174,1,16.892,0.169,1,NA,NA,0,NA,NA,0,NA,NA,0
238.923349,0.322,-37.039368,0.423,NA,NA,0,NA,NA,0,NA,NA,0,17.681,0.139,1,16.674,0.127,1,NA,NA,0,NA,NA,0,NA,NA,0
238.92346,0.647,-36.752352,0.413,13.45,0.005,3,14.955,0.007,3,NA,NA,0,14.183,0.013,3,12.794,0.054,3,12.172,0.087,3,11.852,0.051,1,NA,NA,0
238.923756,0.507,-36.996005,0.512,NA,NA,0,NA,NA,0,NA,NA,0,17.868,0.061,3,16.988,0.171,3,16.165,0.231,1,NA,NA,0,NA,NA,0
238.924194,0.158,-36.913436,0.38,16.792,0.126,1,17.852,0.226,1,NA,NA,0,17.278,0.049,2,16.24,0.141,2,NA,NA,0,NA,NA,0,NA,NA,0
238.924792,0.487,-36.860085,0.255,16.498,0.023,2,17.746,0.233,2,NA,NA,0,17.023,0.045,2,16.12,0.039,2,15.54,0.05,2,NA,NA,0,NA,NA,0
