radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
84.94478,0.213,-2.422391,0.205,15.853,0.04,5,17.131,0.091,5,NA,NA,0,16.531,0.019,5,15.373,0.022,5,14.904,0.062,5,NA,NA,0,NA,NA,0
84.94564,0.638,-2.39952,0.706,NA,NA,0,NA,NA,0,NA,NA,0,18.184,0.06,5,16.878,0.061,5,16.265,0.148,2,NA,NA,0,NA,NA,0
84.945729,0.232,-2.788148,0.382,14.936,0.093,7,15.956,0.071,7,NA,NA,0,15.341,0.108,7,14.459,0.094,7,14.038,0.117,7,13.629,0.196,1,NA,NA,0
84.946058,0.358,-2.594516,0.165,15.761,0.023,5,16.999,0.061,5,NA,NA,0,16.375,0.063,5,15.265,0.037,5,14.712,0.068,5,NA,NA,0,NA,NA,0
84.946178,0.561,-2.23457,0.314,17.13,0.001,2,18.186,0.005,2,NA,NA,0,17.865,0.175,5,16.771,0.094,5,16.198,0.085,5,NA,NA,0,NA,NA,0
84.947544,0.222,-2.437864,0.143,11.836,0.029,5,12.737,0.036,5,NA,NA,0,12.287,0.02,5,11.538,0.02,5,11.212,0.021,5,11.081,0.069,3,NA,NA,0
84.948334,0.364,-2.27896,0.257,16.236,0.059,5,17.907,0.177,5,NA,NA,0,17.004,0.059,5,15.794,0.084,5,15.152,0.04,5,NA,NA,0,NA,NA,0
84.948661,0.607,-2.606347,0.404,NA,NA,0,NA,NA,0,NA,NA,0,18.656,0.265,2,17.355,0.113,2,15.938,0.036,2,NA,NA,0,NA,NA,0
84.949314,0.453,-2.540227,0.264,13.81,0.051,5,15.084,0.066,5,NA,NA,0,14.48,0.048,5,13.261,0.036,5,12.697,0.044,5,12.386,0.102,4,NA,NA,0
84.949926,0.716,-2.625955,0.528,NA,NA,0,NA,NA,0,NA,NA,0,18.221,0.183,3,17.22,0.205,3,16.282,0.197,2,NA,NA,0,NA,NA,0
84.950192,0.415,-2.765746,0.485,16.484,0.121,2,17.966,0.073,2,NA,NA,0,17.309,0.149,7,15.898,0.125,7,14.812,0.132,7,NA,NA,0,NA,NA,0
84.950626,0.268,-2.783574,0.557,NA,NA,0,NA,NA,0,NA,NA,0,18.198,0.267,3,17.174,0.126,3,NA,NA,0,NA,NA,0,NA,NA,0
84.951759,0.482,-2.525075,0.295,NA,NA,0,NA,NA,0,NA,NA,0,18.375,0.236,3,17.434,0.079,3,NA,NA,0,NA,NA,0,NA,NA,0
84.952112,0.347,-2.621609,0.267,16.043,0.057,5,17.055,0.138,5,NA,NA,0,16.513,0.024,5,15.63,0.052,5,15.302,0.062,5,NA,NA,0,NA,NA,0
84.952403,0.27,-2.275125,0.2,15.951,0.042,5,17.453,0.135,5,NA,NA,0,16.688,0.045,5,15.343,0.03,5,14.333,0.035,5,NA,NA,0,NA,NA,0
