Target,Target_LINK,RA(J2000),DEC(J2000),Sk,HD,M2002,VFTS,Alias,SpT,E(B-V),B,V,v sin i,COS,STIS,ORB,FUSE,COS G130M 1096,G130M 1291,COS G160M 1611,COS G185M 1953,COS G185M 1986,STIS E140M 1425,STIS E230M 1978,STIS E230M 2707,Modes To Be Observed,Archival UV Modes,Other AR Modes,VLT,ULL
LH 9-73,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+049&submit=submit+id""> LH 9-73</a>",04h56m29.5641s,-66d28m20.9829s,,,,,[ELS2006]_N11_49,O7.5 V,0.03,13.78,14.02,,1,2,3,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,VLT/GIRAFFE,g,1
VFTS 190,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=VFTS+190&submit=submit+id""> VFTS 190</a>",05h37m53.2982s,-69d12m57.2258s,,,,190,VFTS_190,O7 Vnn((f))p,0.23,14.63,14.67,445,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
LH 9-34,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=PGMW+1363&submit=submit+id""> LH 9-34</a>",04h56m45.2887s,-66d29m37.0103s,,,,,BI 37|[PGMW]_1363,O8.5 Iaf,0.17,12.57,12.66,,0,3,3,,,,,,,p,,,STIS/E140M,,,,1
SK -67 168,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+168&submit=submit+id""> SK -67 168</a>",05h31m52.1239s,-67d34m20.7595s,-67 168,269702,,,,O8Iaf,0.1,11.91,12.08,110,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/UVES,u,2
SK -68 155,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+155&submit=submit+id""> SK -68 155</a>",05h42m54.9474s,-68d56m54.4658s,-68 155,,178408,,,O8I,0.26,12.74,12.75,96,0,0,0,F,,o,ooo,,,,a,,,COS/G130M/1327-COS/G160M/1577-COS/G160M/1589-COS/G160M/1600-FUSE-STIS/E230M/1978,,,2
SK -67 261,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+261&submit=submit+id""> SK -67 261</a>",05h45m15.243s,-67d10m18.2602s,-67 261,,,,,O8.5 III,0.16,12.29,12.4,,2,2,4,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,,,1
SK -67 101,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+101&submit=submit+id""> SK -67 101</a>",05h25m56.2466s,-67d30m28.8067s,-67 101,,134666,,[M2002]_134666,O8II((f)),0.04,12.44,12.67,101,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,,,2
BI 173,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BI+173&submit=submit+id""> BI 173</a>",05h27m09.9491s,-69d07m56.443s,,,137610,,BI 173|[M2002]_137610,O8II:,0.11,12.8,12.96,116,0,0,0,F,,,,ao,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,,,2
BI 189,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BI+189&submit=submit+id""> BI 189</a>",05h30m57.583s,-71d03m33.7931s,,,,,BI 189,O8 IV((f))e,0.21,13.39,13.45,83,1,0,1,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
LMC X-4,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=X+LMC+X-4&submit=submit+id""> LMC X-4</a>",05h32m49.5601s,-66d22m13.1965s,,,,,4U0532-664|137_137|LMC X-4,O8IV,0.04,13.94,14.17,322,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/UVES,u,2
N11 013,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+013&submit=submit+id""> N11 013</a>",04h57m00.8669s,-66d24m25.056s,,,,,BI 42|[ELS2006]_N11_13|PGMW3223,O8 V,0.2,12.86,12.93,147,0,0,0,F,,,,ao,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/GIRAFFE,g,2
BI 184,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BI+184&submit=submit+id""> BI 184</a>",05h30m30.6686s,-71d02m31.5972s,,,,,BI 184,O8 (V)e,0.19,13.76,13.84,,0,0,0,F,,a,o,,,,a,,,FUSE-COS/G130M/1291-COS/G160M/1589-STIS/E230M/1978,VLT/GIRAFFE,g,2
SK -67 191,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+191&submit=submit+id""> SK -67 191</a>",05h33m34.0202s,-67d30m19.7338s,-67 191,,157773,,,O8V,0.06,13.25,13.46,100,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,,,2
SK -66 171,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-66+171&submit=submit+id""> SK -66 171</a>",05h37m02.4249s,-66d38m37.0231s,-66 171,269889,,,,O9 Ia,0.26,10.25,10.25,90,0,2,2,F,,,,,,p,p,,STIS/E140M-STIS/E230M/1978,FUSE,VLT/UVES,u,1
SK -69 279,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+279&submit=submit+id""> SK -69 279</a>",05h41m44.6608s,-69d35m14.8937s,-69 279,,,,,O9I,0.21,12.79,12.84,84,0,0,0,F,,o,ooo,,,,a,,,FUSE-COS/G130M/1327-COS/G160M/1577-COS/G160M/1589-COS/G160M/1600-STIS/E230M/1978,,,2
SK -67 5,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+05&submit=submit+id""> SK -67 5</a>",04h50m18.9306s,-67d39m38.0404s,-67 5,268605,7406,,,O9.7 Ib,0.14,11.22,11.34,87,0,0,0,F,,,,ao,,ah,ah,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2
SK -68 135,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+135&submit=submit+id""> SK -68 135</a>",05h37m49.1406s,-68d55m01.6272s,-68 135,269896,,,,ON9.7 Ia+,0.26,11.36,11.36,70,0,0,0,F,,,,ao,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2
SK -71 41,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-71+41&submit=submit+id""> SK -71 41</a>",05h30m40.1571s,-71d05m37.0783s,-71 41,,,,,O9.7 Iab,0.19,12.75,12.82,53,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/GIRAFFE,g,2
SK -71 8,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-71+8&submit=submit+id""> SK -71 8</a>",05h07m23.2654s,-71d11m53.9635s,-71 8,,,,,O9 II,0.09,12.99,13.16,75,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,,,1
SK -70 32,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-70+32&submit=submit+id""> SK -70 32</a>",05h00m10.2101s,-70d11m09.4267s,-70 32,,46268,,[M2002]_46268,O9.5 II:,0.05,12.85,13.06,97,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,,,1
SK -66 17,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+011&submit=submit+id""> SK -66 17</a>",04h55m55.498s,-66d28m20.6049s,-66 17,,,,[ELS2006]_N11_11,OC9.5 II,0.18,12.81,12.89,,1,0,1,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
SK -69 178,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+178&submit=submit+id""> SK -69 178</a>",05h31m53.9505s,-69d33m30.2686s,-69 178,,,,[AAOmega]_105,O9.2 II,0.17,13.17,13.26,,1,0,1,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,,,1
BI 128,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BI+128&submit=submit+id""> BI 128</a>",05h18m19.7784s,-65d49m14.6362s,,,,,BI128,O9V,0.02,13.57,13.82,,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,VLT/UVES,u,1
SK -70 13,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-70+13&submit=submit+id""> SK -70 13</a>",04h54m01.1534s,-69d59m47.5872s,-70 13,,19062,,[M2002]_19062,O9 V,0.13,12.15,12.29,84,0,2,2,F,,,,,,p,,,STIS/E140M,FUSE,,,1
N11 046,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+046&submit=submit+id""> N11 046</a>",04h56m44.6321s,-66d34m20.885s,,,,,[ELS2006]_N11_46,O9.5 V,0.02,13.74,13.98,205,1,2,3,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,VLT/GIRAFFE,g,1
SK -68 140,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+140&submit=submit+id""> SK -68 140</a>",05h38m57.1766s,-68d56m53.1389s,-68 140,,172194,696,VFTS_696,B0.7 Ib-Iab Nwk,0.17,12.71,12.73,,0,0,0,F,,o,ooo,,,,a,,,COS/G130M/1327-COS/G160M/1577-COS/G160M/1589-COS/G160M/1600-FUSE-STIS/E230M/1978,VLT/GIRAFFE,g,2
SK -69 43,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+43&submit=submit+id""> SK -69 43</a>",04h56m10.4639s,-69d15m38.3013s,-69 43,268809,,,,B0.5Ia,0.13,11.87,11.96,102,0,4,4,F,,,,,,p,p,,STIS/E140M-STIS/E230M/1978,FUSE,,,1
SK -68 41,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+41&submit=submit+id""> SK -68 41</a>",05h05m27.1192s,-68d10m02.6432s,-68 41,,,,,B0.5Ia,0.08,11.87,12.01,77,0,2,2,F,,,,,,p,p,,STIS/E140M-STIS/E230M/1978,FUSE,VLT/UVES,u,1
SK -68 52,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+52&submit=submit+id""> SK -68 52</a>",05h07m20.4271s,-68d32m08.5671s,-68 52,269050,,,,B0 Ia,0.17,11.47,11.54,105,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2
SK -67 106,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+106&submit=submit+id""> SK -67 106</a>",05h26m15.2221s,-67d29m59.9021s,-67 106,269525,,,,B0 I,0.07,12.61,12.78,,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,,,2
SK -67 107,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+107&submit=submit+id""> SK -67 107</a>",05h26m20.6792s,-67d29m55.6468s,-67 107,,135476,,,B0 I,0.12,12.38,12.5,,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,,,2
LH 9-89,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+033&submit=submit+id""> LH 9-89</a>",04h56m11.0224s,-66d28m24.3675s,,,,,[ELS2006]_N11_33,B0 IIIn,0.14,13.52,13.68,256,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
SK -70 79,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-70+79&submit=submit+id""> SK -70 79</a>",05h06m37.2805s,-70d29m24.1932s,-70 79,,69992,,[M2002]_69992,B0 III,0.24,12.65,12.71,86,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,,,2
SK -67 216,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+216&submit=submit+id""> SK -67 216</a>",05h35m43.6119s,-66d59m50.4847s,-67 216,,,,,B0.5 V0,0.01,12.54,12.81,,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,,,1
HV 5622,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=MACHO+79.4779.34&submit=submit+id""> HV 5622</a>",05h09m29.2128s,-68d55m02.6096s,,,,,MACHO_79.4779.34,B0V,0.06,14.61,14.85,,2,0,2,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,,,1
SK -67 2,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+02&submit=submit+id""> SK -67 2</a>",04h47m04.4529s,-67d06m53.1063s,-67 2,270754,,,,B1Ia+,0.37,11.22,11.04,,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2
SK -66 35,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-66+35&submit=submit+id""> SK -66 35</a>",04h57m04.4444s,-66d34m38.5739s,-66 35,268732,,,,BC1Ia,0.11,11.5,11.58,,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,,,2
SK -67 14,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+14&submit=submit+id""> SK -67 14</a>",04h54m31.8913s,-67d15m24.5872s,-67 14,268685,,,,B1.5 Ia,0.08,11.42,11.52,88,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2
SK -68 23a,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+23A&submit=submit+id""> SK -68 23a</a>",05h00m48.2956s,-68d05m58.4601s,-68 23a,,48819,,[M2002]_48819,B1 III,0.18,12.97,13.05,,1,0,1,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
SK -71 35,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-71+35&submit=submit+id""> SK -71 35</a>",05h30m04.1834s,-71d07m56.221s,-71 35,,,,,B1 II,0.15,12.88,12.97,,1,0,1,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
SK -65 2,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-65+2&submit=submit+id""> SK -65 2</a>",04h56m51.5331s,-65d31m08.4146s,-65 2,,,,,B1V,0.12,12.51,12.65,,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,,,1
[N206-FS]-170,[N206-FS]-170,05h31m02.94s,-70d49m56.3988s,,,,,[N206-FS]_170,B1 IV,0.09,14.22,14.39,180,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
SK -69 52,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+52&submit=submit+id""> SK -69 52</a>",04h57m48.9077s,-69d52m22.5005s,-69 52,268867,,,,B2Ia,0.14,11.47,11.5,105,1,1,2,F,,p,p,,,,p,,COS/G130M/1291-COS/G160M/1611-STIS/E230M/1978,FUSE,,,1
SK -68 26,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+26&submit=submit+id""> SK -68 26</a>",05h01m32.2501s,-68d10m42.9377s,-68 26,,,,,BC2Ia,0.46,11.73,11.44,,0,0,0,F,,a,o,,,,a,,,FUSE-COS/G130M/1291-COS/G160M-1589-STIS/E230M/1978,,,2
SK -70 50,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-70+50&submit=submit+id""> SK -70 50</a>",05h03m45.8924s,-70d11m57.4851s,-70 50,269009,,,,B3Ia,0.09,11.16,11.2,,1,1,2,F,,p,p,,,,p,,COS/G130M/1291-COS/G160M/1611-STIS/E230M/1978,FUSE,,,1
SK -67 78,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+78&submit=submit+id""> SK -67 78</a>",05h20m19.0875s,-67d18m05.6757s,-67 78,269371,,,,B3Ia,0.09,11.22,11.26,,1,1,2,F,,p,p,,,,p,,COS/G130M/1291-COS/G160M/1611-STIS/E230M/1978,FUSE,,,1
SK -70 16,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-70+16&submit=submit+id""> SK -70 16</a>",04h54m57.3673s,-70d02m28.1574s,-70 16,,22715,,[M2002]_22715,B4 I,0.07,13.04,13.1,,3,0,3,,,p,p,p,p,,,,COS/G130M/1291-COS/G160M/1611-COS/G185M/1953-COS/G185M/1986,,,,1
SK -69 140,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-69+140&submit=submit+id""> SK -69 140</a>",05h27m39.3932s,-69d12m41.8519s,-69 140,,139017,,[M2002]_139017,B4 I,0.03,12.61,12.71,,1,2,3,,,p,p,,,,p,,COS/G130M/1291-COS/G160M/1611-STIS/E230M/1978,,,,1
SK -68 8,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+8&submit=submit+id""> SK -68 8</a>",04h53m43.2889s,-68d42m53.29s,-68 8,268729,,,,B5 Ia+,0.14,11.04,10.99,,1,2,3,,,p,p,,,,p,p,COS/G130M/1291-COS/G160M/1611-STIS/E230M/1978-STIS/E230M/2707,,,,1
NGC2004 3,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+2004+ELS+3&submit=submit+id""> NGC2004 3</a>",05h30m40.4114s,-67d16m08.9348s,,,,,NGC_2004_ELS_3|RMC_109,B5 Ia,0.29,12.14,11.94,33,2,2,4,,,p,p,,,,p,p,COS/G130M/1291-COS/G160M/1611-STIS/E230M/1978-STIS/E230M/2707,,VLT/GIRAFFE,g,1
SK -67 195,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+195&submit=submit+id""> SK -67 195</a>",05h33m51.9305s,-67d08m02.0578s,-67 195,,158636,,[M2002]_158636,B6 I,0.05,12.82,12.84,,4,1,5,,,p,p,p,p,,,p,COS/G130M/1291-COS/G160M/1611-COS/G185M/1953-COS/G185M/1986-STIS/E230M/2707,,,,1
SK -67 197,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+197&submit=submit+id""> SK -67 197</a>",05h33m59.0759s,-67d32m15.7535s,-67 197,,158955,,[M2002]_158955,B7 I,0.05,12.35,12.34,,3,1,4,,,p,p,p,p,,,p,COS/G130M/1291-COS/G160M/1611-COS/G185M/1953-COS/G185M/1986-STIS/E230M/2707,,,,1
SK -66 50,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-66+50&submit=submit+id""> SK -66 50</a>",05h03m08.8207s,-66d57m34.8505s,-66 50,268907,,,,B8 Ia+,0.03,10.65,10.63,,2,1,3,,,p,p,p,p,,,p,COS/G130M/1291-COS/G160M/1611-COS/G185M/1953-COS/G185M/1986-STIS/E230M/2707,,,,1
SK -67 207,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+207&submit=submit+id""> SK -67 207</a>",05h34m55.4684s,-67d21m06.9007s,-67 207,269801,,,,B9 Ia,0.06,10.57,10.51,,3,1,4,,,p,p,p,p,,,p,COS/G130M/1291-COS/G160M/1611-COS/G185M/1953-COS/G185M/1986-STIS/E230M/2707,,,,1
SK -71 21,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BAT99+32&submit=submit+id""> SK -71 21</a>",05h22m22.5369s,-71d35m58.1499s,-71 21,36063,,,BAT99_32|Brey 26,WN7,0.1,12.43,12.66,,0,1,1,F,,,,,,p,,,STIS/E140M,FUSE,,,1
HD 269927C,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ST92]+5-68&submit=submit+id""> HD 269927C</a>",05h38m58.1018s,-69d29m19.5486s,,269927C,,,[ST92] 5-68|BAT99_120|Brey 91,WN9h,0.18,,,,0,2,2,F,,,,,,p,,,STIS/E140M,FUSE,,,1
SK -65 55,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BAT99+30&submit=submit+id""> SK -65 55</a>",05h21m57.6988s,-65d49m00.2177s,-65 55,,,,LHA 120-S 28|BAT99_30|Brey 24,WN6h,0.08,13.12,13.32,,0,2,2,F,,,,,,p,,,STIS/E140M,FUSE,,,1
SK -67 20,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=HD+32109&submit=submit+id""> SK -67 20</a>",04h55m31.3463s,-67d30m02.6892s,-67 20,32109,25077,,Brey 6,WN4b,0.1,13.46,13.81,,0,2,2,F,,,,,,p,,,STIS/E140M,FUSE,,,1
SK -67 266,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BAT99+133&submit=submit+id""> SK -67 266</a>",05h45m51.944s,-67d14m25.9267s,-67 266,,,,LHA 120-S 61|BAT99_133,WN11h,0.13,11.86,11.95,,0,1,1,F,,,,,,p,,,STIS/E140M,FUSE,,,1
SK -68 15,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BAT99+11&submit=submit+id""> SK -68 15</a>",04h57m24.0866s,-68d23m57.1217s,-68 15,32402,33780,,BAT99_11|Brey 10,WC4,0.24,12.53,12.69,,0,1,1,F,,,,,,p,,,STIS/E140M,FUSE,,,1
SK -69 191,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BAT99+61&submit=submit+id""> SK -69 191</a>",05h34m19.2547s,-69d45m10.2888s,-69 191,37680,,,BAT99_61|Brey 50,WC4,0.05,12.98,13.25,,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,,,1
VFTS 66,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=VFTS+66&submit=submit+id""> VFTS 66</a>",05h37m33.0929s,-69d04m34.3272s,,,,66,VFTS_066,O9V + B0.2V,0,15.64,15.54,>330,3,0,3,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,,,1
LMCe055-1,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[MNM2015]+LMCe055-1&submit=submit+id""> LMCe055-1</a>",04h56m48.8167s,-69d36m40.61s,,,,,[MNM2015]_LMCe055-1,WN4/O4,0,,16.15,,3,0,3,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,,,1
SK -67 105,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+105&submit=submit+id""> SK -67 105</a>",05h26m06.1922s,-67d10m56.7768s,-67 105,,,,,O4f + O6 V,,11.55,12.25,,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,,,2
SK -68 73,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+73&submit=submit+id""> SK -68 73</a>",05h22m59.7902s,-68d01m46.6317s,-68 73,269445,,,,OBf:pe,,,11.45,,0,0,0,F,,a,a,,,h,a,,,COS/G130M/1291-COS/G160M/1577-COS/G160M/1589-COS/G160M/1600-STIS/E230M/1978,VLT/GIRAFFE,g,2
