Target,Target_LINK,RA(J2000),DEC(J2000),Sk,HD,M2002,VFTS,Alias,SpT,E(B-V),B,V,v sin i,COS,STIS,ORB,FUSE,COS G130M 1096,G130M 1291,COS G160M 1611,COS G185M 1953,COS G185M 1986,STIS E140M 1425,STIS E230M 1978,STIS E230M 2707,Modes To Be Observed,Archival UV Modes,Other AR Modes,VLT,ULL
BI 237,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BI+237&submit=submit+id""> BI 237</a>",05h36m14.6384s,-67d39m19.1655s,,,164942,,BI 237|[M2002]_164942,O2 V((f*)),0.16,13.77,13.89,126|83,0,0,0,F,,a,o,,,,a,,,FUSE-COS/G130M/1291-COS/G160M/1589-STIS/E230M/1978,VLT/UVES,u,2
VFTS 72,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BI+253&submit=submit+id""> VFTS 72</a>",05h37m34.4636s,-69d01m10.167s,,,168644,,BI 253|VFTS_72,O2 V-III(n)((f*)),0.14,13.56,13.7,191|155,0,0,0,F,,a,o,,,,a,,,FUSE-COS/G130M/1291-COS/G160M/1589-STIS/E230M/1978,VLT/GIRAFFE-VLT/UVES,gu,2
LH 99-3,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=BAT99+93&submit=submit+id""> LH 99-3</a>",05h37m51.3432s,-69d09m46.6808s,,,169429,180,TSWR3|BAT99_93|VFTS_180|Brey 74a,O3 If*,0.2,13.46,13.54,93,2,0,2,,,p,p,,,N,,,COS/G130M/1291-COS/G160M/1611,STIS/E140M/1425,VLT/GIRAFFE-VLT/UVES,gu,1
MCPS 083.91120-69.69685,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=MCPS+083.91120-69.69685&submit=submit+id""> MCPS 083.91120-69.69685</a>",05h35m38.6763s,-69d41m48.9059s,,,,,[AAOmega]_181,O3 If*,0.14,13.14,13.28,,2,0,2,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,,,1
VFTS 267,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=VFTS+267&submit=submit+id""> VFTS 267</a>",05h38m13.9662s,-69d07m47.7204s,,,,267,VFTS_267,O3 III-I(n)f*,0.23,13.44,13.49,145,1,0,1,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
LH 114-7,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[L72]+LH+114-7&submit=submit+id""> LH 114-7</a>",05h43m13s,-67d51m16s,,,,,[MLD95]_lmc2_675|[L72]_LH_114-7,O3 III(f)*,0.03,13.41,13.66,,0,2,2,F,,,,,,p,,,STIS/E140M/1425,FUSE,,,1
W61 28-23,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=W61+28-23&submit=submit+id""> W61 28-23</a>",05h34m50.1597s,-69d46m32.5423s,,,,,W61 28-23|[AAOmega]_159,O3.5 III(f *),0.18,13.6,13.7,146,3,0,3,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,,,1
SK -68 133,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-68+133&submit=submit+id""> SK -68 133</a>",05h37m01.3138s,-68d46m05.9973s,-68 133,,167166,,[AAOmega]_248,OC3.5 III(f*),0.15,13.08,13.21,,2,0,2,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,,,1
N11 060,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ELS2006]+N11+060&submit=submit+id""> N11 060</a>",04h56m42.1464s,-66d24m54.6084s,,,,,[ELS2006]_N11_60|PGMW_3058,O3 V((f*)),0.22,14.18,14.24,106|68,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
[ST92] 5-27,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[ST92]+5-27&submit=submit+id""> [ST92] 5-27</a>",05h39m13.5586s,-69d30m05.006s,,,172859,,[ST92]_5-27|LH101W24|W61 3-24,O3 V((f)),0.18,14.48,14.58,120,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,,,1
VFTS 404,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=VFTS+404&submit=submit+id""> VFTS 404</a>",05h38m33.834s,-69d09m57.0637s,,,,404,VFTS_404,O3.5 V(n)((fc)),0.3,14.16,14.14,,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1
SK -67 166,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+-67+166&submit=submit+id""> SK -67 166</a>",05h31m44.2128s,-67d38m01.3692s,-67 166,269698,,,,O4 If+,0.06,12.05,12.27,97|97|157,0,1,1,F,,,,,,p,,,STIS/E140M,FUSE,VLT/UVES,u,1
