ULL_name, ULL_MAST_name, alias0, alias1, alias2, alias3, alias4, alias5
AV 75, AV75, AZV-75, AZV75,,,,
AV 377, AV377, AZV-377, AZV377,,,,
AV 476, AV476, AZV-476, AZV476,,,,
AV 446, AV446, AZV-446, AZV446,,,,
AV 243, AV243, AZV-243, AZV243, SK84, Sk84, SK-84,
NGC346 51, NGC346-ELS-51 , NGC-346-MPG-523, CL-NGC-346-MPG-523, NGC346-MPG-523, NGC346 523,,
NGC346 31, NGC346-ELS-31, NGC-346-ELS-031, CL-NGC-346-ELS-031,,,,
NGC346 46, NGC346-ELS-46, NGC-346-ELS-031, CL-NGC-346-ELS-046,,,,
AV 148, AV148, AZV-148, AZV148,,,,
NGC346 50, NGC346-ELS-50, CL-NGC-346-MPG-299, NGC-346-MPG-299, NGC346-MPG-299, NGC346 299, NGC346-299, CL-NGC346-ELS-050
AV 267, AV267, AZV-267, AZV267,,,,
AV 456, AV456, AZV-456, AZV456, SK143, Sk143, SK-143,
AV 479, AV479, AZV479, AZV-479, SK155, SK-155, Sk155, SK-155
AV 6, AV6, AZV-6, AZV6,,,,
AV 307, AV307, AZV-307, AZV307,,,,
AV 468, AV468, AZV-468, AZV468,,,,
AV 189, AV189, AZV-189, AZV189,,,,
AV 326, AV326, AZV-326, AZV326,,,,
AV 43, AV43, AZV-43, AZV43,,,,
AV 304, AV304, AZV-304,  AZV304,,,,
NGC346 43, NGC346-ELS-43, NGC346-11, NGC346-MPG-11, NGC346 11, N346-11,,
AV 261, AV261, AZV-261, AZV261,,,,
AV 215, AV215, AZV-215,  AZV215, Sk76, Sk76, SK-76,
NGC330 2, NGC330-ELS-02, NGC330-A02, NGC330-ARP014, N330A02,,,
AV 210, AV210, AZV-210, AZV210, SK73, Sk73, SK-73,
AV 242, AV242, AZV-242, AZV242, SK85, Sk85, SK-85,
AV 423, AV423, AZV-423, AZV423, SK132, Sk132, SK-132,
AV 296, AV296, AZV-296,  AZV296,,,,
AV 232, AV232, AZV-232, AZV232, SK80, Sk80, SK-80,
NGC346 7, NGC346-ELS-07, NGC346-MPG-324, NGC346-NMC-032, NGC346-SSN-13, NGC346-W-006, NGC346-324, N346-324
NGC346 28, NGC346-ELS-28, NGC346-MPG-113, NGC346-113, NGC346-113-OFFSET, NGC346-28, N346-113,
NGC346 355, NGC346-MPG-355, NGC346-NMC-029, NGC346-W-003, NGC346-SSN-009, NGC346-355, NGC346-355-OFFSET, N346-355
NGC346 435, NGC346-MPG-435, CL-NGC-346-SSN-7, NGC346-NMC-026, NGC346-435, N346-435, NGC346-1,
NGC346 368, NGC346-MPG-368, NGC346-NMC-028, NGC346-SSN-015, NGC346-368, N346-368, NGC-346-SSN-15,
NGC346 26, NGC346-ELS-26, NGC346-MPG-012, NGC346-12, NGC346-26, N346-12,,
AV 104, AV104,  AZV-104, AZV104,,,,
AV 321, AV321, AZV-321, AZV321,,,,
AV 95, AV95, AZV-95, AZV95,,,,
AV 83, AV83, AZV-83, AZV83,,,,
AV 80, AV80, AZV-80, AZV80,,,,
AV 362, AV362,  AZV-362, AZV362, SK114, Sk114, SK-114,
AV 69, AV69, AZV-69, AZV69, SK34, Sk34, SK-34,
AV 70, AV70, AZV-70, AZV70, SK35, SK-35, Sk35,
AV 327, AV327, AZV-327, AZV327,,,,
2dFS 2553, 2dFS-2553, 2dFS 2553, MA93-1694,,,,
AV 207, AV207, AZV207, AZV-207,,,,
AV 469, AV469, AZV-469, AZV469, SK148, SK-148, Sk148,
AV 61, AV61, AZV-61, AZV61, SK32, SK-32, Sk32,
AV 81, AV81, AZV-81, AZV81, LIN-160, SK41, Sk41,
AV 22, AV22, AZV-22, AZV22, SK15, Sk15, SK-15, SK.15
AV 18, AV18, AZV-18, AZV18, SK13, Sk13, SK-13,
AV 16, AV16, AZV16, RMC-4, SK11, Sk11, SK-11,
AV 47, AV47, AZV-47, AZV47,,,,
AV 15, AV15, AZV-15, AZV15, SK10, Sk10, SK-10,
AV 490, AV490, AZV490, Sk10, SK10, SMC-X-1, 4U0115-737, SK-10
SK 183, SK183, Sk183, SK-183, NGC602-HTCP-008,,,
NGC330 4, NGC330-ELS-04, NGC330-ROB-B37, NGC330-B37, N330B37,,,
SK 191, SK191, SK-191, SK.191, Sk191,,,
#ADDITIONAL (NOT IN ULLYSES SAMPLE),,,,,,,
AV 454, AV454,  AZV-454, AZV454, SK142, SK-142, Sk142,
AV 216, AV216, AZV-216,,,,,
AV 258, AV258, AZV-258,,,,,
NGC330 A1, NGC330-ROB-A1, NGC330-A01, NGC330-ARP-013, N330A01,,,
NGC330 B22, NGC330-ROB-B22, NGC330-ARP-45, NGC330-B22, N330B22,,,
AV 287, AV287, AZV287, AZV-287, AZV-287, SK101, Sk101, SK-101
NGC346 22, NGC346-ELS-22, NGC346-MPG-682, NGC346-682, NGC346-682-REVISED, N346-682,,
NGC346 602, NGC346-MPG-602, NGC346-SSN-025, NGC-346-SSN25,,,,
NGC346 487, NGC346-MPG-487, NGC346-NMC-017, NGC346-SSN-018, NGC346-487, NGC346-487-REVISED, N346-487,
NGC346 342, NGC346-MPG-342, NGC346-W-4, NGC346-SSN-011, NGC346-NMC-030, MPG-342, NGC346-11,
AV 229, AV229, HD-5980, HD5980, HD--005980, SK78, NGC346-MPG-755,
AV 170, AV170, AZV-170, AZV170,,,,
AV 220, AV220, AZV-220, AZV220,,,,
MOA-J010321.3-720538, MOA-J010321.3-720538,,,,,,
AV 317, AV317, AZV-317, AZV317, SK107, SK-107, Sk107,
AV 26, AV26,  AZV-26, AZV26, SK18, Sk18, SK-18,
AV 78, AV78, AZV-78, SK40, Sk40, HD5045,,
AV 39a, AV39a, AZV39a, AZV-39a, SMC-AB-2, SMC-AB2,,
SK 188, SK188, Sk188, SMC-AB8, LIN-547,,,
SK 190, SK190, Sk190, 2dFS3975,SK-190,,,
AV 435, AV435, AZV-435, AZV435,,,,
#TTAURI ADDITIONS,,,,,,,
CS Cha,V-CS-CHA,Sz 9,,,,,
VW Cha,V-VW-CHA,Sz 24,,,,,
T52,V-CV-CHA,CV Cha,,,,,
HD 104237A,HD-104237A,DX Cha,HD-104237,,,,
RECX 1,RECX-1,EG Cha,,,,,
ECHA J0843.3-7915,ECHA-J0843.3-7915,ET Cha,V-ET-CHA,RECX-15,,,
RECX 11,RECX-11,EP Cha,,,,,
Sz68,SZ68,HT Lup,CD-33-10685,SZ-68,,,
SSTc2dJ160830.7-382827,SSTC2DJ160830.7-382827,MJS2008-50,TYC-7851-810-1,,,,
RY Lup,V-RY-LUP,HBC 252,RY-LUP,,,,
MY Lup,V-MY-LUP,MJS2008-150,,,,,
GAIA-DR3-3217634157789741952,GAIA-DR3-3217634157789741952,,,,,,
CVSO-109B,CVSO-109B,,,,,,
CVSO-109A,CVSO-109A,,,,,,
CVSO-36A,CVSO-36A,,,,,,
CVSO-36B,CVSO-36B,,,,,,
CVSO-165A,CVSO-165A,,,,,,
CVSO-165B,CVSO-165B,,,,,,
GAIA-DR3-3217473697810165504,GAIA-DR3-3217473697810165504,,,,,,
CVSO 109, CVSO-109, CVSO109,,,,,
MY Lup, V-MY-LUP, CD-41 10484, 2MASS J16004452-4155310, SSTc2d J160044.5-415531, GAIA-DR2-5995177933191206016,,
SSTc2d J160830.7-382827, SSTc2d-J160830.7-382827, TYC-7851-810-1, 2MASS J16083070-3828268, GAIA-DR2-5997490206145065088,,,
SZ 45, SZ-45, T56, HBC 590, 2MASS J11173700-7704381, RX J1117.6-7704, GAIA-DR2-5201272195086070144,
CV Cha, V-CV-CHA, Sz42, SZ42, 2MASS J11122772-7644223, RX J1112.5-7644, GAIA-DR2-5201295319189803392, HBC 247
