Dataset, Target Name, RA (J2000), Dec (J2000), Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
O6DF01020,AV215,14.7317083,-72.5355833,10,2001-10-21 02:49:15,2001-10-21 03:26:46,2251.000,STIS  ,0.2X0.2,E230M,1978.000,9116,2002-10-21 03:26:46,O6DF01020,,,15.547
O6DF01030,AV215,14.7317083,-72.5355833,10,2001-10-21 03:38:24,2001-10-21 06:06:25,6357.000,STIS  ,0.2X0.2,E140M,1425.000,9116,2006-11-22 23:05:42,O6DF01030,,,15.547
O6DF20020,NGC330-B37,14.0867167,-72.4760972,10,2001-10-25 00:30:29,2001-10-25 01:08:08,2259.000,STIS  ,0.2X0.2,E140M,1425.000,9116,2006-12-17 03:18:39,O6DF20020,,,25.322
O6DF20030,NGC330-B37,14.0867167,-72.4760972,10,2001-10-25 01:29:15,2001-10-25 02:23:11,3236.000,STIS  ,0.2X0.2,E140M,1425.000,9116,2006-12-17 05:16:54,O6DF20030,,,25.322
O6DF20040,NGC330-B37,14.0867167,-72.4760972,10,2001-10-25 03:05:32,2001-10-25 03:59:28,3236.000,STIS  ,0.2X0.2,E230M,1978.000,9116,2006-12-19 14:17:57,O6DF20040,,,25.322
O6DF21020,NGC330-B37,14.0867167,-72.4760972,10,2002-09-30 19:23:20,2002-09-30 20:00:59,2259.000,STIS  ,0.2X0.2,E140M,1425.000,9116,2006-12-17 12:59:19,O6DF21020,,,25.322
O6DF21030,NGC330-B37,14.0867167,-72.4760972,10,2002-09-30 20:40:05,2002-09-30 21:34:01,3236.000,STIS  ,0.2X0.2,E140M,1425.000,9116,2006-12-17 14:52:16,O6DF21030,,,25.322
O6DF21040,NGC330-B37,14.0867167,-72.4760972,10,2002-09-30 22:17:51,2002-09-30 23:11:47,3236.000,STIS  ,0.2X0.2,E230M,1978.000,9116,2006-12-17 18:52:34,O6DF21040,,,25.322
O6DF22020,NGC330-A02,14.1035625,-72.4616083,10,2002-12-31 00:22:29,2002-12-31 00:59:29,2220.000,STIS  ,0.2X0.2,E230M,1978.000,9116,2006-12-17 22:53:01,O6DF22020,,,25.730
O6DF22030,NGC330-A02,14.1035625,-72.4616083,10,2002-12-31 01:39:43,2002-12-31 04:09:37,6472.000,STIS  ,0.2X0.2,E230M,1978.000,9116,2006-12-18 01:00:35,O6DF22030,,,25.730
O6DF23020,NGC330-A02,14.1035625,-72.4616083,10,2003-01-10 19:15:52,2003-01-10 19:53:31,2259.000,STIS  ,0.2X0.2,E140M,1425.000,9116,2006-12-18 11:05:29,O6DF23020,,,25.730
O6DF23030,NGC330-A02,14.1035625,-72.4616083,10,2003-01-10 20:22:00,2003-01-10 22:52:01,6472.000,STIS  ,0.2X0.2,E140M,1425.000,9116,2006-12-18 16:43:12,O6DF23030,,,25.730
O6DF24020,NGC330-A02,14.1035625,-72.4616083,10,2002-12-30 21:09:59,2002-12-30 21:47:38,2259.000,STIS  ,0.2X0.2,E140M,1425.000,9116,2006-12-19 20:18:07,O6DF24020,,,25.730
O6DF24030,NGC330-A02,14.1035625,-72.4616083,10,2002-12-30 22:27:46,2002-12-30 23:21:42,3236.000,STIS  ,0.2X0.2,E140M,1425.000,9116,2006-12-19 22:47:07,O6DF24030,,,25.730
OCKP11010,AZV388,16.4148125,-72.4908917,1,2015-10-25 09:59:37,2015-10-25 10:46:37,2820.000,STIS  ,0.2X0.2,E230M,2269.000,13778,2016-10-25 13:53:46,OCKP11010,,,28.906
OCKP11020,AZV388,16.4148125,-72.4908917,1,2015-10-25 11:25:55,2015-10-25 13:57:18,6724.000,STIS  ,0.2X0.2,E230M,1978.000,13778,2016-10-25 21:59:21,OCKP11020,,,28.906
OCKP12010,AZV388,16.4148125,-72.4908917,1,2015-10-26 06:38:55,2015-10-26 10:36:26,9574.000,STIS  ,0.2X0.2,E140M,1425.000,13778,2016-10-26 14:27:18,OCKP12010,,,28.906
O6DF04020,AV210,14.6489292,-72.2735750,10,2001-10-22 02:53:26,2001-10-22 03:30:57,2251.000,STIS  ,0.2X0.2,E230M,1978.000,9116,2006-11-23 22:38:08,O6DF04020,,,30.891
O6DF04030,AV210,14.6489292,-72.2735750,10,2001-10-22 03:38:19,2001-10-22 04:32:15,3236.000,STIS  ,0.2X0.2,E140M,1425.000,9116,2006-11-24 00:51:39,O6DF04030,,,30.891
