PID,target,stis_assignee,cos_assignee,prim_assignee,sec_assignee,prim_ins,sec_ins,cos_int_reviewer,stis_int_reviewer,wfc3_int_reviewer
16090,BAT99-105,dwelty,,dwelty,,STIS,,,proffitt,
16090,LH114-7,dwelty,,dwelty,,STIS,,,proffitt,
16090,SK-67D108,dwelty,,dwelty,,STIS,,,proffitt,
16090,SK-67D22,dwelty,,dwelty,,STIS,,,proffitt,
16091,BI272,tsohn,,tsohn,,STIS,,,proffitt,
16091,LH9-34,tsohn,,tsohn,,STIS,,,proffitt,
16091,SK-67D118,tsohn,,tsohn,,STIS,,,proffitt,
16091,SK-68D16,tsohn,,tsohn,,STIS,,,proffitt,
16092,SK-67D20,dwelty,,dwelty,,STIS,,,proffitt,
16092,SK-68D15,dwelty,,dwelty,,STIS,,,proffitt,
16092,SK-69D191,dwelty,,dwelty,,STIS,,,proffitt,
16093,VFTS-482,,fuller,fuller,,COS,,proffitt,,
16093,W61-28-5,,fuller,fuller,,COS,,proffitt,,
16093,LMCE055-1,,fuller,fuller,,COS,,proffitt,,
16094,FARINA-88,,sahnow,sahnow,,COS,,proffitt,,
16094,N11-ELS-038,,sahnow,sahnow,,COS,,proffitt,,
16094,SK-71D46,,sahnow,sahnow,,COS,,proffitt,,
16095,LMCE078-1,,sahnow,sahnow,,COS,,proffitt,,
16095,N11-ELS-018,,sahnow,sahnow,,COS,,proffitt,,
16095,SK-71D19,,sahnow,sahnow,,COS,,proffitt,,
16095,ST92-4-18,,sahnow,sahnow,,COS,,proffitt,,
16096,HV5622,,wfischer,wfischer,,COS,,proffitt,,
16096,LH9-89,,wfischer,wfischer,,COS,,proffitt,,
16096,N206-FS-170,,wfischer,wfischer,,COS,,proffitt,,
16096,SK-70D16,,wfischer,wfischer,,COS,,proffitt,,
16096,VFTS-66,,wfischer,wfischer,,COS,,proffitt,,
16097,NGC2004-ELS-3,tmonroe,fuller,fuller,tmonroe,COS,STIS,proffitt,proffitt,
16097,SK-68D8,tmonroe,fuller,fuller,tmonroe,COS,STIS,proffitt,proffitt,
16097,SK-69D140,tmonroe,fuller,fuller,tmonroe,COS,STIS,proffitt,proffitt,
16098,AV332,tsohn,,tsohn,,STIS,,,proffitt,
16098,NGC346-MPG-355,tsohn,,tsohn,,STIS,,,proffitt,
16098,NGC346-MPG-435,tsohn,,tsohn,,STIS,,,proffitt,
16099,AV235,tsohn,,tsohn,,STIS,,,,
16099,AV266,tsohn,,tsohn,,STIS,,,,
16099,AV372,tsohn,,tsohn,,STIS,,,proffitt,
16099,AV488,tsohn,,tsohn,,STIS,,,proffitt,
16099,AV70,tsohn,,tsohn,,STIS,,,proffitt,
16100,2DFS-163,,rsankrit,rsankrit,,COS,,,,
16100,AV207,,rsankrit,rsankrit,,COS,,,,
16100,AV440,,rsankrit,rsankrit,,COS,,,,
16100,AV6,,rsankrit,rsankrit,,COS,,,,
16100,2DFS-163,,rsankrit,rsankrit,,COS,,,,
16101,2DFS-3694,,rsankrit,rsankrit,,COS,,proffitt,,
16101,AV175,,rsankrit,rsankrit,,COS,,proffitt,,
16101,AV224,,rsankrit,rsankrit,,COS,,proffitt,,
16101,NGC346-ELS-35,,rsankrit,rsankrit,,COS,,proffitt,,
16101,SK173,,rsankrit,rsankrit,,COS,,proffitt,,
16102,AV187,proffitt,proffitt,proffitt,proffitt,COS,STIS,wfischer,tsohn,
16102,AV234,proffitt,proffitt,proffitt,proffitt,COS,STIS,wfischer,tsohn,
16102,AV324,proffitt,proffitt,proffitt,proffitt,COS,STIS,wfischer,tsohn,
16102,AV393,proffitt,proffitt,proffitt,proffitt,COS,STIS,wfischer,tsohn,
16103,AV307,,proffitt,proffitt,,COS,,,,
16103,NGC346-ELS-28,,proffitt,proffitt,,COS,,wfischer,,
16103,NGC346-ELS-50,,proffitt,proffitt,,COS,,wfischer,,
16103,NGC346-ELS-51,,proffitt,proffitt,,COS,,wfischer,,
16103,NGC346-MPG-368,,proffitt,proffitt,,COS,,wfischer,,
