target_name_ullyses,target_name_simbad,target_classification,simbad_link,targ_ra,targ_dec,coordinate_epoch,source_catalog,host_galaxy_name,host_cluster_name,d_gaia,d_gaia_err,spectral_type,spectral_type_ref,temp_class,lum_class,star_teff,star_teff_ref,star_luminosity,star_luminosity_ref,star_mass,star_mass_ref,surface_gravity,surface_gravity_ref,rotation_period,rotation_period_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,radius,radius_ref,rate_accretion,rate_accretion_ref,extinction_ebmv,extinction_ebmv_ref,age,age_ref,metallicity,metallicity_ref,fuv_mag,nuv_mag,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,i_mag,i_mag_ref,gaia_id,gaia_parallax,gaia_parallax_err,known_binary,known_binary_ref,is_variable,is_monitor_targ,extended,Extra,radial_velocity,radial_velocity_ref
CW Tau,CW Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=CW+Tau,63.57089217,28.18260534,2016,2022A&A...667A.124G,MW,Taurus,131.5889,0.9,K0,2022A&A...667A.124G,,,4854,2022A&A...667A.124G,-0.4,2022A&A...667A.124G,0.9,2022A&A...667A.124G,,,,,,,,,0.89,2022A&A...667A.124G,-7.47,2022A&A...667A.124G,1.16,2022A&A...667A.124G,,,,,,,13.92,none,13.64,none,12.36,none,,,Gaia DR3 163184091252903936,7.601729485,0.03727604,FALSE,none,TRUE,FALSE,FALSE,TRUE,18.9,2020AJ....160..120J
DF Tau,DF Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=DF+Tau,66.76164923,25.70611945,2016,2022A&A...667A.124G,MW,Taurus,,,M2,2022A&A...667A.124G,,,3565,2022A&A...667A.124G,-0.46,2022A&A...667A.124G,0.35,2022A&A...667A.124G,,,,,,,,,1.55,2022A&A...667A.124G,-7.55,2022A&A...667A.124G,0,2022A&A...667A.124G,,,,,,,11.97,none,12.25,none,11.42,none,9.14,none,Gaia DR3 151179966897747840,5.667196863,0.49981314,FALSE,none,TRUE,FALSE,FALSE,TRUE,18,2020AJ....160..120J
TWA 27,TWA 27,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=TWA+27,181.889079,-39.54844319,2016,2019A&A...632A..46V,MW,TWA,,,M9,2019A&A...632A..46V,,,2640,2019A&A...632A..46V,-2.19,2019A&A...632A..46V,0.019,2019A&A...632A..46V,,,,,,,,,0.35,2019A&A...632A..46V,-10.68,2019A&A...632A..46V,0,2019A&A...632A..46V,,,,,,,,,,,19.95,none,15.88,none,Gaia DR3 3459372646830687104,15.46239077,0.11630435,FALSE,none,TRUE,FALSE,FALSE,TRUE,9.4,2017AJ....153...95R
GW Ori,GW Ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=GW+Ori,82.28495962,11.87018337,2016,2014A&A...570A.118F,MW,Lambda Orionis,,,G8,2014A&A...570A.118F,,,5500,2014A&A...570A.118F,1.68,2014A&A...570A.118F,3.9,2014A&A...570A.118F,,,,,,,,,7.6,2014A&A...570A.118F,-6.4,2014A&A...570A.118F,0.45,2014A&A...570A.118F,,,,,,,,,10.83,none,10.1,none,,,GAIA DR3 3340856533286969600,2.451004334,0.0623276,TRUE,2014A&A...570A.118F,TRUE,FALSE,FALSE,TRUE,34,2006AstL...32..759G
V1044 Ori,V* V1044 Ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V1044+Ori,83.56858749,-5.612680385,2016,2004AJ....128.1294C,MW,Ori OB1c,366.25,11.18,G2,2004AJ....128.1294C,,,5860,2004AJ....128.1294C,0.83,2004AJ....128.1294C,1.6,2004AJ....128.1294C,,,,,,,,,2.5,2004AJ....128.1294C,-7.55,2004AJ....128.1294C,0.13,2004AJ....128.1294C,9.2,2004AJ....128.1294C,,,,,12.31,2004AJ....128.1294C,12.11,2004AJ....128.1294C,11.36,2004AJ....128.1294C,10.47,2004AJ....128.1294C,GAIA DR3 3017260709226477056,2.578810957,0.020732729,FALSE,none,TRUE,FALSE,FALSE,TRUE,27.3,2020AJ....160..120J
RY Tau,V* RY Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=RY+Tau,65.48924943,28.4430898,2016,2004AJ....128.1294C,MW,Taurus,,,G1,2004AJ....128.1294C,,,5945,2004AJ....128.1294C,0.98,2004AJ....128.1294C,2,2004AJ....128.1294C,,,,,,,,,2.9,2004AJ....128.1294C,-7.11,2004AJ....128.1294C,0.71,2004AJ....128.1294C,7.6,,,,,,11.83,2004AJ....128.1294C,11.29,2004AJ....128.1294C,10.22,2004AJ....128.1294C,,,GAIA DR3 164551162164119424,7.23487094,0.2031438,FALSE,none,TRUE,FALSE,FALSE,TRUE,24,2018ApJ...856...23G
DS Tau,V* DS Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=DS+Tau,71.95250688,29.41966683,2016,2022A&A...667A.124G,MW,Taurus,,,K5,2022A&A...667A.124G,,,3876,2022A&A...667A.124G,-0.54,2022A&A...667A.124G,0.61,2022A&A...667A.124G,,,,,,,,,1.19,2022A&A...667A.124G,-8.57,2022A&A...667A.124G,0.13,2022A&A...667A.124G,,,,,,,13.11,none,13.16,none,12.3,none,10.8,none,GAIA DR3 158249306976130176,6.315008256,0.02100082,FALSE,none,TRUE,FALSE,FALSE,TRUE,16,2018ApJ...856...23G
CY Tau,V* CY Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=CY+Tau,64.39058029,28.34622257,2016,2022A&A...667A.124G,MW,Taurus,,,M2,2022A&A...667A.124G,,,3514,2022A&A...667A.124G,-0.66,2022A&A...667A.124G,0.36,2022A&A...667A.124G,,,,,,,,,1.27,2022A&A...667A.124G,-8.85,2022A&A...667A.124G,0,2022A&A...667A.124G,,,,,,,14.52,none,14.68,none,13.4,none,,,GAIA DR3 164698634160139264,7.915844179,0.020389441,FALSE,none,TRUE,FALSE,FALSE,TRUE,16.7,2020AJ....160..120J
FU Ori,V* FU Ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=FU+Ori,86.34319759,9.070069778,2016,,MW,Lambda Orionis,,,,,,,,,,,,,,,,,,,,,0.6,2020ApJ...889...59P,4.42,2020ApJ...889...59P,,2020ApJ...889...59P,,,,,,,,,,,,,,,,,,TRUE,2004ApJ...601L..83W,TRUE,FALSE,FALSE,TRUE,21.2,2022A&A...659A..95T
T Tau,V* T Tau,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=T+Tau,65.49768837,19.53505637,2016,,MW,Taurus,,,,2021A&A...652A.133V,,,5700,2021A&A...652A.133V,0.95,2021A&A...652A.133V,1.94,2021A&A...652A.133V,,,,,,,,,,,,,0.23,2021A&A...652A.133V,4.01,2021A&A...652A.133V,,,,,,,,,,,,,,,,FALSE,none,TRUE,FALSE,FALSE,TRUE,23.9,2017AJ....153...95R
