root,targ,ull_targ
P1174301000,SK-69D52,SK-69D52
B0860801000,SK-69D279,SK-69D279
B0860801000,SK-69D279,SK-69D279
B0100101000,PGMW-3053,N11-ELS-018
B0100101000,PGMW-3053,N11-ELS-018
E5113302000,SK-67D108,SK-67D108
E5113302000,SK-67D108,SK-67D108
P2170801000,AV81,AV-81
P1030301000,SK82,AV-235
A1180101000,AZV18,AV-18
A1180101000,AZV18,AV-18
A0440102000,4U0532-664,LMCX-4
A0440102000,4U0532-664,LMCX-4
A1180202000,AZV70,AV-70
A1180202000,AZV70,AV-70
A1230279000,SK188,SK-188
A1230279000,SK188,SK-188
C1600901000,SK-67D78,SK-67D78
P1030201000,SK80,AV-232
P1030201000,SK80,AV-232
E5110901000,AV440,AV-440
E5110901000,AV440,AV-440
B0860101000,SK-67D2,SK-67D2
B0860101000,SK-67D2,SK-67D2
E5110201000,AV61,AV-61
Z9121301000,SK-65D2,SK-65D2
A1330141000,SK-67D166,SK-67D166
A1330141000,SK-67D166,SK-67D166
C1600501000,AV362,AV-362
C1600501000,AV362,AV-362
E5113001000,SK-71D19,SK-71D19
E5113001000,SK-71D19,SK-71D19
E5111901000,BI13,BI-13
P1174201000,SK-67D14,SK-67D14
P1174201000,SK-67D14,SK-67D14
D0980501000,Sk-71D41,SK-71D41
D0980501000,Sk-71D41,SK-71D41
P1031503000,SK-71D45,SK-71D45
E5110101000,AV16,AV-16
E5110101000,AV16,AV-16
E5112201000,Sk-68D16,SK-68D16
D0300302000,LH103102,PGMW-3120
E5111001000,AV446,AV-446
E5111001000,AV446,AV-446
P1172401000,SK-69D104,SK-69D104
P1172401000,SK-69D104,SK-69D104
C1580201000,AV304,AV-304
C1580201000,AV304,AV-304
D1380301000,NGC2004-B15,NGC2004-ELS-026
B0900701000,Sk101,AV-287
C1600301000,AV472,AV-472
C1600301000,AV472,AV-472
P1031302000,SK-67D104,SK-67D104
P1031302000,SK-67D104,SK-67D104
P2150202000,HD38029,HD-38029
P2150202000,HD38029,HD-38029
D1620401000,AV215,AV-215
D1620401000,AV215,AV-215
Z9122401000,AV506,AV-506
G9270601000,Brey26,SK-71D21
G9270601000,Brey26,SK-71D21
P1172201000,SK-66D172,SK-66D172
P1172201000,SK-66D172,SK-66D172
B0100701000,PGMW-3223,N11-ELS-013
B0100701000,PGMW-3223,N11-ELS-013
E5110601000,AV261,AV-261
E5110601000,AV261,AV-261
C1600101000,AV96,AV-96
C1600101000,AV96,AV-96
C1600401000,AV187,AV-187
C1600401000,AV187,AV-187
P1177001000,AV264,AV-264
P1177001000,AV264,AV-264
P2030301000,NGC346-3,NGC346-MPG-355
C0020701000,Sk-6547,SK-65D47
C0020701000,Sk-6547,SK-65D47
G9270501000,Brey24,SK-65D55
G9270501000,Brey24,SK-65D55
D1380101000,NGC346-11,NGC346-ELS-043
D1380101000,NGC346-11,NGC346-ELS-043
B0100501000,PGMW-3168,N11-ELS-032
P1175101000,HD37680,SK-69D191
P1175101000,HD37680,SK-69D191
P2170501000,AV461,AV461
P2030502000,NGC346-6,NGC346-ELS-007
P2030502000,NGC346-6,NGC346-ELS-007
P1030401000,SK108,AV-332
P1030401000,SK108,AV-332
P1176601000,AV238,AV-238
P1150101000,AV15,AV-15
P1150101000,AV15,AV-15
B0860501000,SK-68D129,SK-68D129
B0860501000,SK-68D129,SK-68D129
C1030301000,MACHO79-4779,HV-5622
C1030301000,MACHO79-4779,HV-5622
B0100201000,PGMW-3070,PGMW-3070
B0100201000,PGMW-3070,PGMW-3070
C0020301000,AV476,AV-476
C0020301000,AV476,AV-476
E5111701000,AV80,AV-80
E5111701000,AV80,AV-80
P1173101000,SK-67D191,SK-67D191
P1173101000,SK-67D191,SK-67D191
Z9050701000,Sk-69_220,Sk-69_220
C1600801000,SK-70D50,SK-70D50
Z9122301000,AV266,AV-266
Z9122301000,AV266,AV-266
P2170301000,BI184,BI-184
P2170301000,BI184,BI-184
P1174901000,HD32402,SK-68D15
P1174901000,HD32402,SK-68D15
B1340401000,AV393,AV-393
B1340401000,AV393,AV-393
C0020102000,AV177,AV-177
C0020102000,AV177,AV-177
P2030201000,NGC346-1,AV-232
E5113103000,SK-71D26,SK-71D26
E5113102000,SK-71D26,SK-71D26
P1176701000,AV423,AV-423
P1176701000,AV423,AV-423
D1620101000,AV104,AV-104
D1620101000,AV104,AV-104
E0540101000,AV95,AV-95
E0540101000,AV95,AV-95
A1110101000,Sk-67.106,SK-67D106
A1110101000,Sk-67.106,SK-67D106
E5114001000,BI237,BI-237
E5114001000,BI237,BI-237
E5114102000,Sk-66D171,SK-66D171
E5114102000,Sk-66D171,SK-66D171
B0860901000,SK-67D168,SK-67D168
B0860901000,SK-67D168,SK-67D168
G0390301000,SMC-WR2,AV-39A
B0100601000,PGMW-3209,N11-ELS-048
D0300402000,LH103204,N11-ELS-048
E9570101000,SK-66D97,SK-66D97
E5112001000,SK-69D50,SK-69D50
E5112001000,SK-69D50,SK-69D50
G0390501000,SMC-WR9,2DFS-999
G0390501000,SMC-WR9,2DFS-999
B0860601000,SK-68D140,SK-68D140
B0860601000,SK-68D140,SK-68D140
P1174401000,HD32109,SK-67D20
