ORIGINAL,SIMBAD_SEARCH_NAME,PREFERRED,Alternate_PREFERRED,APT,Alternate_APT
Sk -67 51|Sk_-6751,SK -67 51,SK -67 51,SK -67 51,SK-67D51,SK-67D51
N11-018|N11_18,[ELS2006] N11 018,N11 018,N11 ELS 018,N11-018,N11-ELS-018
SK-66 100|Sk_-66100,SK -66 100,SK -66 100,SK -66 100,SK-66D100,SK-66D100
Sk-66 18|Sk_-6618,SK -66 18,SK -66 18,SK -66 18,SK-66D18,SK-66D18
N11-048|N11_48,[ELS2006] N11 048,N11 048,N11 ELS 048,N11-048,N11-ELS-048
BI 13|[M2002]_15830,BI 13,BI 13,BI 13,BI13,BI13
[PGMW]-3070|[PGMW]_3070,PGMW 3070,PGMW 3070,PGMW 3070,PGMW-3070,PGMW-3070
P93-0370|VFTS_406,VFTS 406,VFTS 406,VFTS 406,VFTS-406,VFTS-406
N11-032|N11_32,[ELS2006] N11 032,N11 032,N11 ELS 032,N11-032,N11-ELS-032
BI272|BI_272,BI 272,BI 272,BI 272,BI272,BI272
Sk -68 16|[M2002]_34847,SK -68 16,SK -68 16,SK -68 16,SK-68D16,SK-68D16
Sk -67 118|[M2002]_138717,SK -67 118,SK -67 118,SK -67 118,SK-67D118,SK-67D118
N11-049|N11_49,[ELS2006] N11 049,LH 9-73,LH 9-73,LH9-73,N11-ELS-049
VFTS-190|VFTS_190,VFTS 190,VFTS 190,VFTS 190,VFTS-190,VFTS-190
Sk -66 152|Sk_-66152,SK -66 152,SK -66 152,SK -66 152,SK-66D152,SK-66D152
Sk -69 83|Sk_-6983,SK -69 83,SK -69 83,SK -69 83,SK-69D83,SK-69D83
Sk -67 261|Sk_-67261,SK -67 261,SK -67 261,SK -67 261,SK-67D261,SK-67D261
BI 189|BI_189,BI 189,BI 189,BI 189,BI189,BI189
[PGMW]-1363|[PGMW]_1363,PGMW 1363,LH 9-34,LH 9-34,LH9-34,LH9-34
Sk -71 8|Sk_-718,SK -71 8,SK -71 8,SK -71 8,SK-71D8,SK-71D8
Sk -70 32|[M2002]_46268,SK -70 32,SK -70 32,SK -70 32,SK-70D32,SK-70D32
N11-011|N11_11,[ELS2006] N11 011,SK -66 17,SK -66 17,SK-66D17,SK-66D17
Sk-69 178|[AAOmega]_105,SK -69 178,SK -69 178,SK -69 178,SK-69D178,SK-69D178
BI128|BI_128,BI 128,BI 128,BI 128,BI128,BI128
Sk -70 13|[M2002]_19062,SK -70 13,SK -70 13,SK -70 13,SK-70D13,SK-70D13
N11-046|N11_46,[ELS2006] N11 046,N11 046,N11 ELS 046,N11-046,N11-ELS-046
Sk -66 171|Sk_-66171,SK -66 171,SK -66 171,SK -66 171,SK-66D171,SK-66D171
VFTS066,VFTS 66,VFTS 66,VFTS 66,VFTS-66,VFTS-66
LMCe055-1,[MNM2015] LMCe055-1,LMCe055-1,LMCe055-1,LMCE055-1,LMCE055-1
HD 36063,BAT99 32,SK -71 21,SK -71 21,SK-71D21,SK-71D21
[ST92] 5-68,[ST92] 5-68,HD 269927C,HD 269927C,HD269927C,HD269927C
LHA 120-S 28,BAT99 30,SK -65 55,SK -65 55,SK-65D55,SK-65D55
HD 32109,HD 32109,SK -67 20,SK -67 20,SK-67D20,SK-67D20
LHA 120-S 61,BAT99 133,SK -67 266,SK -67 266,SK-67D266,SK-67D266
HD 32402,BAT99 11,SK -68 15,SK -68 15,SK-68D15,SK-68D15
HD 37680,BAT99 61,SK -69 191,SK -69 191,SK-69D191,SK-69D191
