ULL_name, ULL_MAST_name,SIMBAD_name, alias0, alias1, alias2, alias3, alias4, alias5,alias6,alias7
AV 177, AV177,AzV 177, AZV-177, AZV177,,,,,,
AV 388, AV388,AzV 388, AZV-388, AZV388,,,,,,
AV 75, AV75,AzV 75, AZV-75, AZV75,,,,,,
AV 377, AV377,AzV 377, AZV-377, AZV377,,,,,,
AV 476, AV476,AzV 476, AZV-476, AZV476, DACHS-SMC-3-10,,,,,
AV 446, AV446,AzV 446, AZV-446, AZV446,,,,,,
AV 243, AV243,AzV 243, AZV-243, AZV243, SK84, Sk84, SK-84,,,
NGC346 ELS 51, NGC346-ELS-51 ,Cl* NGC 346 ELS 051, NGC-346-MPG-523, CL-NGC-346-MPG-523, NGC346-MPG-523, NGC346 523,NGC346 51,,,
NGC346 ELS 31, NGC346-ELS-31,Cl* NGC 346 ELS 031, NGC-346-ELS-031, CL-NGC-346-ELS-031,NGC346 31,,,,,
NGC346 ELS 46, NGC346-ELS-46,Cl* NGC 346 ELS 046, NGC-346-ELS-031, CL-NGC-346-ELS-046,NGC346 46,,,,,
AV 148, AV148,AzV 148, AZV-148, AZV148,,,,,,
NGC346 ELS 50, NGC346-ELS-50,Cl* NGC 346 ELS 050, CL-NGC-346-MPG-299, NGC-346-MPG-299, NGC346-MPG-299, NGC346 299, NGC346-299, CL-NGC346-ELS-050,NGC346 50,
AV 267, AV267,AzV 267, AZV-267, AZV267,,,,,,
AV 456, AV456,AzV 456, AZV-456, AZV456, SK143, Sk143, SK-143,,,
AV 479, AV479,AzV 479, AZV479, AZV-479, SK155, SK-155, Sk155, SK-155,,
AV 6, AV6,AzV 6, AZV-6, AZV6,,,,,,
AV 307, AV307,AzV 307, AZV-307, AZV307,,,,,,
AV 468, AV468,AzV 468, AZV-468, AZV468,,,,,,
AV 189, AV189,AzV 189, AZV-189, AZV189,,,,,,
AV 326, AV326,AzV 326, AZV-326, AZV326,,,,,,
AV 43, AV43,AzV 43, AZV-43, AZV43,,,,,,
AV 304, AV304,AzV 304, AZV-304,  AZV304,,,,,,
NGC346 ELS 43, NGC346-ELS-43,CL* NGC 346 ELS 43, NGC346-11, NGC346-MPG-11, NGC346 11, N346-11,NGC346 43,,,
AV 261, AV261,AzV 261, AZV-261, AZV261,,,,,,
AV 215, AV215,AzV 215, AZV-215,  AZV215, Sk76, Sk76, SK-76,,,
NGC330 ELS 2, NGC330-ELS-02,CL* NGC 330 ELS 2, NGC330-A02, NGC330-ARP014, N330A02,NGC330 ELS 02,NGC 330 ELS 2,NGC330 2,,
AV 210, AV210,AzV 210, AZV-210, AZV210, SK73, Sk73, SK-73,,,
AV 242, AV242,AzV 242, AZV-242, AZV242, SK85, Sk85, SK-85,,,
AV 423, AV423,AzV 423, AZV-423, AZV423, SK132, Sk132, SK-132,,,
AV 296, AV296,AzV 296, AZV-296,  AZV296,,,,,,
AV 232, AV232,AzV 232, AZV-232, AZV232, SK80, Sk80, SK-80,,,
NGC346 ELS 7, NGC346-ELS-07,CL* NGC 346 ELS 7, NGC346-MPG-324, NGC346-NMC-032, NGC346-SSN-13, NGC346-W-006, NGC346-324, N346-324,NGC346 ELS 07,NGC346 7
NGC346 ELS 28, NGC346-ELS-28,Cl* NGC 346 ELS 028, NGC346-MPG-113, NGC346-113, NGC346-113-OFFSET, NGC346-28, N346-113,NGC346 28,,
NGC346 MPG 355, NGC346-MPG-355,Cl* NGC 346 MPG 355, NGC346-NMC-029, NGC346-W-003, NGC346-SSN-009, NGC346-355, NGC346-355-OFFSET, N346-355,NGC346 355,
NGC346 MPG 435, NGC346-MPG-435,Cl* NGC 346 W 1, CL-NGC-346-SSN-7, NGC346-NMC-026, NGC346-435, N346-435, NGC346-1,NGC346 435,,
NGC346 MPG 368, NGC346-MPG-368,Cl* NGC 346 MPG 368, NGC346-NMC-028, NGC346-SSN-015, NGC346-368, N346-368, NGC-346-SSN-15,NGC330 MPG 368,NGC346 368,
NGC346 ELS 26, NGC346-ELS-26,CL* NGC 346 ELS 26, NGC346-MPG-012, NGC346-12, NGC346-26, N346-12,NGC346 26,,,
AV 104, AV104,AzV 104,  AZV-104, AZV104,,,,,,
AV 321, AV321,AzV 321, AZV-321, AZV321,,,,,,
AV 95, AV95,AzV 95, AZV-95, AZV95,,,,,,
AV 83, AV83,AzV 83, AZV-83, AZV83,,,,,,
AV 80, AV80,AzV 80, AZV-80, AZV80,,,,,,
AV 362, AV362,AzV 362,  AZV-362, AZV362, SK114, Sk114, SK-114,,,
AV 69, AV69,AzV 69, AZV-69, AZV69, SK34, Sk34, SK-34,,,
AV 70, AV70,AzV 70, AZV-70, AZV70, SK35, SK-35, Sk35,,,
AV 327, AV327,AzV 327, AZV-327, AZV327,,,,,,
2dFS 2553, 2dFS-2553,2dFS 2553, 2dFS 2553, MA93-1694,,,,,,
AV 207, AV207,AzV 207, AZV207, AZV-207,,,,,,
AV 469, AV469,AzV 469, AZV-469, AZV469, SK148, SK-148, Sk148,,,
AV 61, AV61,AzV 61, AZV-61, AZV61, SK32, SK-32, Sk32,,,
AV 81, AV81,AzV 81, AZV-81, AZV81, LIN-160, SK41, Sk41,,,
AV 22, AV22,AzV 22, AZV-22, AZV22, SK15, Sk15, SK-15, SK.15,,
AV 18, AV18,AzV 18, AZV-18, AZV18, SK13, Sk13, SK-13,,,
AV 16, AV16,AzV 16, AZV16, RMC-4, SK11, Sk11, SK-11,,,
AV 47, AV47,AzV 47, AZV-47, AZV47,,,,,,
AV 15, AV15,AzV 15, AZV-15, AZV15, SK10, Sk10, SK-10,,,
AV 490, AV490,AzV 490, AZV490, Sk10, SK10, SMC-X-1, 4U0115-737, SK-10,,
SK 183, SK183,SK 183, Sk183, SK-183, NGC602-HTCP-008,,,,,
NGC330 ELS 4, NGC330-ELS-04,CL* NGC 330 ELS 4, NGC330-ROB-B37, NGC330-B37, N330B37,NGC330 ELS 04,NGC330 4,,,
SK 191, SK191,SK 191, SK-191, SK.191, Sk191,,,,,
#ADDITIONAL (NOT IN ULLYSES SAMPLE),,#ADDITIONAL (NOT IN ULLYSES SAMPLE),,,,,,,,
AV 454, AV454,AzV 454,  AZV-454, AZV454, SK142, SK-142, Sk142,,,
AV 216, AV216,AzV 216, AZV-216,,,,,,,
AV 258, AV258,AzV 258, AZV-258,,,,,,,
NGC330 ROB A1, NGC330-ROB-A1,Cl* NGC330 ARP 13, NGC330-A01, NGC330-ARP-013, N330A01,NGC330 A1,,,,
NGC330 ROB B22, NGC330-ROB-B22,Cl* NGC330 ARP 45, NGC330-ARP-45, NGC330-B22, N330B22,NGC330 B22,,,,
AV 287, AV287,AzV 287, AZV287, AZV-287, AZV-287, SK101, Sk101, SK-101,,
NGC346 ELS 22, NGC346-ELS-22,Cl* NGC 346 ELS 22, NGC346-MPG-682, NGC346-682,CL-NGC-346-MPG-682, N346-682,NGC346 22,,,
NGC346 MPG 602, NGC346-MPG-602,cl* NGC346 SSN 25, NGC346-SSN-025, NGC-346-SSN25,NGC346 602,,,,,
NGC346 MPG 487, NGC346-MPG-487,cl* NGC346 MPG 487, NGC346-NMC-017, NGC346-SSN-018, NGC346-487, NGC346-487-REVISED, N346-487,NGC346 487,,
NGC346 MPG 342, NGC346-MPG-342,cl* NGC346 MPG 342, NGC346-W-4, NGC346-SSN-011, NGC346-NMC-030, MPG-342, NGC346-11,NGC346 342,,
HD 5980,HD-5980,HD 5980, AV229, HD5980, HD--005980, SK78, NGC346-MPG-755,AV 229,,
AV 170, AV170,AzV 170, AZV-170, AZV170,,,,,,
AV 220, AV220,AzV 220, AZV-220, AZV220,,,,,,
MOA J010321.3-720538, MOA-J010321.3-720538,MOA J010321.3-720538, MOA-J010321-720538,,,,,,,
AV 317, AV317,AzV 317, AZV-317, AZV317, SK107, SK-107, Sk107,,,
AV 26, AV26,AzV 26,  AZV-26, AZV26, SK18, Sk18, SK-18, BBB-SMC-266,,
AV 78, AV78,AzV 78, AZV-78, SK40, Sk40, HD5045,,,,
AV 39a, AV39a,AzV 39a, AZV39a, AZV-39a, SMC-AB-2, SMC-AB2,,,,
SK 188, SK188,SK 188, Sk188, SMC-AB8, LIN-547,,,,,
SK 190, SK190,SK 190, Sk190, 2dFS3975,SK-190,,,,,
AV 435, AV435,AzV 435, AZV-435, AZV435,,,,,,
AV 493, AV493,AzV 493, AZV-493, AZV493,,,,,,
AV 480, AV480,AzV 480, AZV-480, LIN-508, 2dFS 3047,,,,,
NGC346 MPG 396, NGC346-MPG-396,cl* NGC346 MPG 396, MPG-396, NGC346-SSN-17,NGC346 396,,,,,
OGLE J004942.75-731717.7, OGLE-J004942.75-731717.7,OGLE J004942.75-731717.7, M2002 SMC 14324, OGLE-J004942-731717,,,,,,
2dFS 5066, 2dFS-5066,2dFS 5066, OGLE SMC-SC6 246635, OGLE-SMC-SC6-246635, M2002 SMC 26122,,,,,
#TTAURI ADDITIONS,,#TTAURI ADDITIONS,,,,,,,,
VW Cha,V-VW-CHA,VW Cha,Sz 24,,,,,,,
HD 104237A,HD-104237A,[FLG2003] Eps Cha 5,HD-104237A,,,,,,,
RECX 1,RECX-1,RECX 1,EG Cha,,,,,,,
ECHA J0843.3-7915,ECHA-J0843.3-7915,ECHA J0843.3-7915,ET Cha,V-ET-CHA,RECX-15,ECHA-J0843-7915,,,,
RECX 11,RECX-11,RECX 11,EP Cha,,,,,,,
Sz68,SZ68,Sz68,HT Lup,CD-33-10685,SZ-68, RX J1545.2-3417, 2MASS J15451286-3417305, GAIA-DR2-6014696841553696768,,
SSTc2dJ160830.7-382827,SSTC2DJ160830.7-382827,SSTc2dJ160830.7-382827,MJS2008-50,TYC-7851-810-1,SSTc2d J160830.7-382827, SSTc2d-J160830.7-382827, 2MASS J16083070-3828268, GAIA-DR2-5997490206145065088,SSTC2DJ160830-382827,
RY Lup,V-RY-LUP,RY Lup,HBC 252,RY-LUP,,,,,,
MY Lup, V-MY-LUP,MY Lup, CD-41 10484, 2MASS J16004452-4155310, SSTc2d J160044.5-415531, GAIA-DR2-5995177933191206016,MJS2008-150,,,
