Target,2MASS,Other Name,RA,DEC,Region,Distance (pc),SpT,M*,log(dm/dt),A_V,U,V,DO,OLD COS orbs,OLD STIS orbs,OLD ORB,COS orbs estimated,STIS orbs estimated,COS orbs,STIS orbs,ORBS,PID,AR MODES,DR
2MASSJ11183572-7935548,J11183572-7935548,eps Cha 13,11h18m36.72s,-79d35m55.8s,eps Cha,160,M5,0.19,-8.95,0.0,,,1,1,1,2,1.6,0.24,2,1,0,,,
HD-104237E,J12000931-7811424,eps Cha 7,12h00m09.43s,-78d11m42.2s,eps Cha,114,K5.5,0.9,-9.07,1.0,12.82,12.08,1,7,1,8,10.6,0.36,5,3,8,16599,,
HD 104237A,J12000511-7811346,DX Cha,12h00m05.21s,-78d11m34.4s,eps Cha,114,A7.75,2.53,-6.38,0.91,5.67,6.62,2,0,0,0,0.0,0.0,0,0,0,9241|11616,STIS/E140M/E230H/E230M/G140L/G140M/G430L ,3.0
