Target,2MASS,Other Name,RA,DEC,Region,Distance (pc),SpT,M*,log(dm/dt),A_V,U,V,DO,OLD COS orbs,OLD STIS orbs,OLD ORB,COS orbs estimated,STIS orbs estimated,COS orbs,STIS orbs,ORBS,PID,AR MODES,DR
V505-ORI,J05382725-0245096,SO518,5h38m27.26s,-2d45m09.7s,Sigma Ori,385,K6.0,0.754,-8.54,0.0,14.1,14.16,1,3,1,4,3.49,0.36,3,1,4,16113,,2.0
V-TX-ORI,J05383368-0244141,SO583,5h38m33.69s,-2d44m14.1s,Sigma Ori,385,K4.5,1.087,-8.13,0.0,13.75,12.06,1,3,1,4,3.23,0.39,4,1,4,16113,,2.0
V510-ORI,J05393982-0231217,SO1153,5h39m39.83s,-2d31m21.9s,Sigma Ori,385,K5.5,0.875,-8.38,0.15,14.59,14.3,1,4,1,5,5.07,0.5,5,1,5,16113,,2.0
V505-ORI,J05382725-0245096,SO518,5h38m27.26s,-2d45m09.7s,Sigma Ori ,385,K6.0,0.754,-8.54,0.0,14.1,14.16,1,3,1,4,3.49,0.36,3,1,4,16594,,
