Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name
OCLV01030,V-CS-CHA,165.6038,-77.5599222,3,4/23/15 1:30,4/23/15 1:36,303.0,STIS,52X2,G430L,4300,13775,4/23/16 12:12,OCLV01030
OCLV01040,V-CS-CHA,165.6038,-77.5599222,3,4/23/15 1:41,4/23/15 2:01,1178.0,STIS,52X2,G230L,2376,13775,4/23/16 12:14,OCLV01040
OCLV01050,V-CS-CHA,165.6038,-77.5599222,3,4/23/15 2:38,4/23/15 3:34,3315.0,STIS,52X2,G140L,1425,13775,4/23/16 12:16,OCLV01050
OB6BB6030,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 22:15,6/1/11 22:44,1785.2,STIS,0.2X0.2,E230M,2561,11616,6/2/12 2:04,OB6BB6030
OB6BB6R0Q,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 21:24,6/1/11 21:34,576.0,STIS,52X0.2,G230L,2376,11616,6/2/12 1:56,
OB6BB6010,V-CS-CHA,165.6049952,-77.5600915,28,6/1/11 21:20,6/1/11 21:21,40.0,STIS,52X0.2,G430L,4300,11616,6/2/12 1:55,
OC0M01010,AB-AUR,73.9410306,30.5511011,1,2/26/13 13:03,2/26/13 13:37,2040.0,STIS,52X0.2,G140M,1218,13032,2/26/14 16:52,OC0M01010
O59D01010,CD-34D7151,165.4660807,-34.7047537,24,5/7/00 21:14,5/7/00 21:19,260.0,STIS,52X0.2,G430L,4300,8041,12/10/06 21:35,O59D01010
O59D01020,CD-34D7151,165.4660807,-34.7047537,24,5/7/00 21:25,5/7/00 21:53,1675.199,STIS,0.2X0.2,E230M,2561,8041,12/10/06 23:40,O59D01020
O59D01030,CD-34D7151,165.4660807,-34.7047537,24,5/7/00 22:37,5/7/00 23:16,2300.198,STIS,0.5X0.5,E140M,1425,8041,12/11/06 1:48,
O6CV03010,CD-34D7151,165.4659407,-34.704733,5,7/19/02 14:02,7/19/02 14:04,120.0,STIS,52X0.2,G430L,4300,9093,11/29/06 19:36,O6CV03010
O6CV03020,CD-34D7151,165.4659407,-34.704733,5,7/19/02 14:10,7/19/02 14:34,1420.192,STIS,0.2X0.09,E140H,1343,9093,11/30/06 0:00,O6CV03020
O6CV03030,CD-34D7151,165.4659407,-34.704733,5,7/19/02 15:20,7/19/02 16:09,2935.199,STIS,0.2X0.09,E140H,1343,9093,11/30/06 3:01,O6CV03030
O6CV03LKQ,CD-34D7151,165.4659407,-34.704733,5,7/19/02 13:56,7/19/02 13:56,3.0,STIS,0.2X0.09,G430L,4300,9093,7/19/03 13:56,
O6CV03LLQ,CD-34D7151,165.4659407,-34.704733,5,7/19/02 13:59,7/19/02 13:59,3.0,STIS,0.2X0.09,G430L,4300,9093,12/8/06 6:04,
O5EX03010,CO-ORI,81.9091667,11.4275278,10,2/25/00 15:30,2/25/00 16:08,2259.0,STIS,52X2,G140L,1425,8317,12/16/06 22:19,O5EX03010
O5EX03020,CO-ORI,81.9091667,11.4275278,10,2/25/00 16:55,2/25/00 17:27,1953.0,STIS,52X2,G140L,1425,8317,12/17/06 0:23,O5EX03020
O5EX03030,CO-ORI,81.9091667,11.4275278,10,2/25/00 17:37,2/25/00 17:43,360.0,STIS,52X2,G230L,2376,8317,12/17/06 2:34,O5EX03030
O5CF03010,CY-TAU,64.3909583,28.3464722,9,12/6/00 16:06,12/6/00 16:27,1260.0,STIS,0.2X0.2,E230M,1978,8206,6/6/01 20:08,O5CF03010
O5CF03020,CY-TAU,64.3909583,28.3464722,9,12/6/00 16:33,12/6/00 16:45,738.0,STIS,0.2X0.2,E230M,2707,8206,6/6/01 20:11,O5CF03020
