Target,2MASS,Other Name,RA,DEC,Region,Distance (pc),SpT,M*,log(dm/dt),A_V,U,V,DO,OLD COS orbs,OLD STIS orbs,OLD ORB,COS orbs estimated,STIS orbs estimated,COS orbs,STIS orbs,ORBS,PID,AR MODES,DR
RECX-5,J08422710-7857479,EK Cha,8h42m26.37s,-78d57m44.48s,eta Cha,94,M4.5,0.15,-9.89,0.0,15.96,15.2,1,2,1,3,2.8,0.27,2,2,4,16595,,
RECX-9,J08441637-7859080,EN Cha,8h44m15.65s,-78d59m05.43s,eta Cha,94,M4.5,0.15,-9.92,0.0,15.78,15.0,1,2,1,3,2.94,0.27,2,2,4,16595,,
ECHA-J0844.2-7833,J08440914-7833457,RECX 16,8h44m08.61s,-78d33m45.25s,eta Cha,94,M6.0,0.052,-10.18,0.0,19.34,18.4,1,3,1,4,4.57,0.32,5,1,4,16480,,
RECX-6,2MASSJ08423879-7854427,V-EL-CHA,08h42m38.78s,-78d54m42.74s,eta Cha,94,M3,0.3,-10.6,0.0,,14.1,1,0,0,0,0.0,8.0,0,8,8,16596,,
ECHA J0843.3-7915,J08431857-7905181,ET Cha,8h43m17.24s,-79d05m16.74s,eta Cha,94,M4.0,0.2,-9.12,0.0,14.26,13.97,2,0,0,0,0.0,0.0,0,0,0,11616|12876|,COS/G130M/G160M-STIS/E230M/G230L/G430L,3.0
RECX 1,J08365623-7856454,EG Cha,8h36m55.77s,-78d56m45.71s,eta Cha,94,K6.0,0.75,-9.12,0.0,10.75,10.457,2,0,0,0,0.0,0.0,0,0,0,11616,COS/G130M/G160M-STIS/E230M/G230L/G430L,3.0
RECX 11,J08470165-7859345,EP Cha,8h47m01.25s,-78d59m34.02s,eta Cha,94,K6.0,0.83,-9.7,0.0,11.75,11.1,2,0,0,0,0.0,0.0,0,0,0,11616,COS/G130M/G160M-STIS/E230M/G230L/G430L,3.0
