ULL_name,ULL_MAST_name,simbad_name,alias0,alias1,alias2,alias3,alias4,alias5,alias6,alias7,alias9,alias10,alias11,alias12
AV 16,AV16,,AZV16,RMC-4,SK11,SK11,SK-11,R_4,,,,,,
AV 47,AV47,,AZV-47,AZV47,[M2002]_11925,,,,,,,,,
AV 15,AV15,,AZV-15,AZV15,SK10,SK10,SK-10,[M2002]_7437,,,,,,
AV 490,AV490,,AZV490,SK10,SK10,SMC-X-1,4U0115-737,SK-10,[M2002]_77458,,,,,
SK 183,SK183,SK 183,SK183,SK-183,NGC602-HTCP-008,[SMCSGS-FS]-231|[SMCSGS-FS]_231|SK 183,[SMCSGS-FS]-231,[SMCSGS-FS]_231,SK 183,,,,,
NGC330 4,NGC330-ELS-04,,NGC330-ROB-B37,NGC330-B37,N330B37,NGC330 ELS 04,NGC330 ELS 4,,,,,,,
SK 191,SK191,,SK-191,SK.191,SK191,,,,,,,,,
AV 454,AV454,,AZV-454,AZV454,SK142,SK-142,SK142,,,,,,,
AV 216,AV216,,AZV-216,[M2002]_44984,,,,,,,,,,
AV 258,AV258,,AZV-258,,,,,,,,,,,
NGC330 A1,NGC330-ROB-A1,,NGC330-A01,NGC330-ARP-013,N330A01,NGC330 ROB A1,,,,,,,,
NGC330 B22,NGC330-ROB-B22,,NGC330-ARP-45,NGC330-B22,N330B22,NGC330 ROB B22,,,,,,,,
AV 287,AV287,,AZV287,AZV-287,AZV-287,SK101,SK101,SK-101,,,,,,
NGC346 22,NGC346-ELS-22,,NGC346-MPG-682,NGC346-682,CL-NGC-346-MPG-682,N346-682,,,,,,,,
NGC346 602,NGC346-MPG-602,,NGC346-SSN-025,NGC-346-SSN25,,,,,,,,,,
NGC346 487,NGC346-MPG-487,,NGC346-NMC-017,NGC346-SSN-018,NGC346-487,NGC346-487-REVISED,N346-487,,,,,,,
NGC346 342,NGC346-MPG-342,,NGC346-W-4,NGC346-SSN-011,NGC346-NMC-030,MPG-342,NGC346-11,,,,,,,
HD 5980,HD-5980,,AV229,HD5980,HD--005980,SK78,NGC346-MPG-755,AV 229,,,,,,
AV 170,AV170,,AZV-170,AZV170,[M2002]_34457,,,,,,,,,
AV 220,AV220,,AZV-220,AZV220,[M2002]_45521,,,,,,,,,
MOA J010321.3-720538,MOA-J010321.3-720538,,MOA-J010321-720538,,,,,,,,,,,
AV 317,AV317,,AZV-317,AZV317,SK107,SK-107,SK107,,,,,,,
AV 26,AV26,,AZV-26,AZV26,SK18,SK18,SK-18,BBB-SMC-266,[M2002]_9337,,,,,
AV 78,AV78,,AZV-78,SK40,SK40,HD5045,,,,,,,,
AV 39A,AV39A,AZV 39A,AZV39A,AZV-39A,SMC-AB-2,SMC-AB2,AZV 39A,SMC-WR2|AV39A,[M2002]_11046,SMC-WR2,AV39A,,,
SK 188,SK188,,SK188,SMC-AB8,LIN-547,W_21,[M2002]_83750,,,,,,,
SK 190,SK190,,SK190,2DFS3975,SK-190,[M2002]_83853,,,,,,,,
AV 435,AV435,AZV 435,AZV-435,AZV435,AZV 435,AV 435|[M2002]_67670,AV 435,[M2002]_67670,,,,,,
AV 493,AV493,,AZV-493,AZV493,,,,,,,,,,
AV 480,AV480,,AZV-480,LIN-508,2DFS 3047,,,,,,,,,
NGC346 396,NGC346-MPG-396,,MPG-396,NGC346-SSN-17,,,,,,,,,,
OGLE J004942.75-731717.7,OGLE-J004942.75-731717.7,,M2002 SMC 14324,OGLE-J004942-731717,,,,,,,,,,
2DFS 5066,2DFS-5066,,OGLE SMC-SC6 246635,OGLE-SMC-SC6-246635,M2002 SMC 26122,,,,,,,,,
VW CHA,V-VW-CHA,,SZ 24,,,,,,,,,,,
HD 104237A,HD-104237A,,DX CHA,HD-104237,,,,,,,,,,
RECX 1,RECX-1,,EG CHA,,,,,,,,,,,
ECHA J0843.3-7915,ECHA-J0843.3-7915,,ET CHA,V-ET-CHA,RECX-15,ECHA-J0843-7915,,,,,,,,
RECX 11,RECX-11,,EP CHA,,,,,,,,,,,
SZ68,SZ68,,HT LUP,CD-33-10685,SZ-68,RX J1545.2-3417,2MASS J15451286-3417305,GAIA-DR2-6014696841553696768,,,,,,
