ULL_name,ULL_MAST_name,simbad_name,alias0,alias1,alias2,alias3,alias4,alias5,alias6,alias7,alias9,alias10,alias11,alias12
MP MUS,V-MP-MUS,,PDS-66,CPD-68 1894,2MASS J13220753-6938121,GAIA-DR2-5844296281847839232,PDS 66,,,,,,,
PGZ2001 J161031.9-191305,PGZ2001-J161031.9-191305,,2MASS J16103196-1913062,GAIA-DR2-6245761404851201408,PGZ2001-J161031-191305,[PGZ2001] J161031.9-191305,,,,,,,,
PZ99 J161019.1-250230,PZ99-J161019.1-250230,,2MASS J16101918-2502301,GAIA-DR2-6049748791208799488,PZ99 J161019-250230,PZ99-J161019-250230,[PZ99] J161019.1-250230,,,,,,,
RR TAU,V-RR-TAU,,RRTAU,BD+26 887A,EM AS 103,HBC 170,2MASS J05393051+2622269,GAIA-DR2-3441021939498830976,,,,,,
RY TAU,V-RY-TAU,,RY-TAU,RYTAU,HD 283571,BD+28 645,2MASS J04215740+2826355,GAIA-DR2-164551162164119424,,,,,,
HD 135344B,HD-135344B,,CPD-36 6759,CD-36 10010B,SAO-206462,2MASS J15154844-3709160,GAIA-DR2-6199395656645838976,,,,,,,
2MASS J04390163+2336029,2MASS-J04390163+2336029,,GAIA-DR2-146764809236423808,SCHJ0439016+2336030,,,,,,,,,,
V1146 SCO,V-V1146-SCO,,RX J155720.1-233847,2MASS J15571998-2338499,SCOPMS 15,GAIA-DR2-6237039975541812992,SCOPMS15,,,,,,,
V1154 SCO,V-V1154-SCO,,SCOPMS23,RX J160210.1-224128,2MASS J16021045-2241280,SCOPMS 23,GAIA-DR2-6243172643388011008,,,,,,,
V1157 SCO,V-V1157-SCO,,SCOPMS 45,SCOPMS45,2MASS J16112057-1820549,GAIA-DR2-6248926520870519680,,,,,,,,
SZ102,SZ102,,SZ-102,SZ 102,V-V1190-SCO,HBC 617,2MASS J16082972-3903110,GAIA-DR2-5997083008890845184,THA15-28,,,,,
T CHA,V-T-CHA,,T-CHA,RX J1157.2-7921,SSTC2D J115713.5-792131,FLG2003 EPS CHA 26,2MASS J11571348-7921313,GAIA-DR2-5199981334075581696,,,,,,
T ORI,V-T-ORI,,TORI,BD-05 1329,EM MWC 763,HBC 154,2MASS J05355043-0528349,GAIA-DR2-3017347673735214592,,,,,,
TWA 2,TWA-2,,CD-29 8887,RX J110912-30011,2MASS J11091380-3001398,GAIA-DR2-5452498537466667776,,,,,,,,
TWA 3A,TWA-3A,,GAIA-DR2-5396978667759696000,,,,,,,,,,,
CE ANT,V-CE-ANT,,TWA 7,TWA-7,RX J104230.3-334014,2MASS J10423011-3340162,GAIA-DR2-5444751795151480320,,,,,,,
UZ TAU E,V-UZ-TAU-E,,V UZ TAU A,UZ-TAU-E,2MASS J04324303+2552311,GAIA-DR2-151045650384137600,,,,,,,,
AA TAU,V-AA-TAU,,2MASS J04345542+2428531,GAIA-DR2-147818450613367424,HBC 63,,,,,,,,,
AK SCO,V-AK-SCO,,HD 152404,CD-36 11056,CPD-36 7072,2MASS J16544485-3653185,GAIA-DR2-5971474902099064576,,,,,,,
BP TAU,V-BP-TAU,,V BP TAU,HD 281934,2MASS J04191583+2906269,GAIA-DR2-164832740220756608,,,,,,,,
CS CHA,V-CS-CHA,,V CS CHA,CHX 4,SSTC2D J110225.0-773336,2MASS J11022491-7733357,GAIA-DR2-5201179389431267584,SZ 9,CS CHA,,,,,
CW TAU,V-CW-TAU,,V CW TAU,2MASS J04141700+2810578,GAIA-DR2-163184091252903936,,,,,,,,,
DE TAU,V-DE-TAU,,V DE TAU,2MASS J04215563+2755060,GAIA-DR2-152511475478780416,,,,,,,,,
DK TAU,V-DK-TAU,,V DK TAU,2MASS J04304425+2601244,DK TAU A,,,,,,,,,
DN TAU,V-DN-TAU,,V DN TAU,2MASS J04352737+2414589,GAIA-DR2-147606657186323712,HBC 65,,,,,,,,
FM TAU,V-FM-TAU,,V FM TAU,2MASS J04141358+2812492,GAIA-DR2-163184366130809472,HBC 23,,,,,,,,
HN TAU,V-HN-TAU,,V HN TAU,2MASS J04333935+1751523,GAIA-DR2-3314237734735803392,HN TAU A,HN-TAU,,,,,,,
IP TAU,V-IP-TAU,,EM LKCA 8,EM-LKCA-8,RX J0424.9+2711,2MASS J04245708+2711565,GAIA-DR2-152226491513195648,HBC 385,,,,,,
RW AUR,V-RW-AUR,,HD 240764,BD+30 792,2MASS J05074953+3024050,RW-AUR,,,,,,,,
SZ CHA,V-SZ-CHA,,CHX 2,2MASS J10581677-7717170,GAIA-DR2-5201199348142249216,,,,,,,,,
T CRA,V-T-CRA,,2MASS J19015878-3657498,GAIA-DR2-6731196273845607168,,,,,,,,,,
V1152 SCO,V-V1152-SCO,,CD-22 11298,SCOPMS 21,RX J160126.1-224047,2MASS J16012563-2240403,GAIA-DR2-6243197588558179968,,,,,,,
V1156 SCO,V-V1156-SCO,,SCOPMS 27,RX J1604.7-1930,2MASS J16044776-1930230,GAIA-DR2-6247231181322707328,,,,,,,,
V2505 OPH,V-V2505-OPH,,BD-21 4369,SCOPMS 214,SSTC2D J162948.7-215212,GAIA-DR2-6052280004416392320,,,,,,,,
V1044 ORI,V-V1044-ORI,,RX J053417.6-053643,2MASS J05341646-0536455,GAIA-DR2-3017260709226477056,V1044-ORI,,,,,,,,
V1070 TAU,V-V1070-TAU,,V1070TAU,EM LKCA 7,SSTC2D J041941.3+274948,2MASS J04194127+2749484,GAIA-DR2-164422961683000320,,,,,,,
V1098 TAU,V-V1098-TAU,,V1098TAU,EM LKCA 3,SSTC2D J041448.0+275235,2MASS J04144797+2752346,GAIA-DR2-163157325014927360,,,,,,,
V2129 OPH,V-V2129-OPH,,V2129-OPH,EM SR 9,CD-24 12689,SSTC2D J162740.3-242204,2MASS J16274028-2422040,GAIA-DR2-6049153921054413440,,,,,,
V4046 SGR,V-V4046-SGR,,V4046SGR,HD 319139,CD-32 13906,EM AS 292,2MASS J18141047-3247344,GAIA-DR2-4045698423617983488,,,,,,
V410 TAU,V-V410-TAU,,V410-TAU,HD 283518,BD+28 637,2MASS J04183110+2827162,GAIA-DR2-164518589131083136,,,,,,,
V819 TAU,V-V819-TAU,,V819-TAU,WK81 1,2MASS J04192625+2826142,GAIA-DR2-164504467278644096,,,,,,,,
V826 TAU,V-V826-TAU,,V826TAU,RX J043215.8+180139,2MASS J04321583+1801387,GAIA-DR2-3314258999116827776,,,,,,,,
V827 TAU,V-V827-TAU,,V827TAU,2MASS J04321456+1820147,GAIA-DR2-3314338163954491136,,,,,,,,,
V830 TAU,V-V830-TAU,,V830TAU,SSTC2D J043310.0+243343,2MASS J04331003+2433433,GAIA-DR2-147831571737487488,,,,,,,,
V836 TAU,V-V836-TAU,,V836-TAU,SSTC2D J050306.6+252320,2MASS J05030659+2523197,GAIA-DR2-3420008412568724736,,,,,,,,
V SER,V-V-SER,,VVSER,HD 167655,BD-15 4905,2MASS J18164912-1531070,GAIA-DR2-4146133317571560448,,,,,,,
V1000 SCO,V-V1000-SCO,,WA OPH 1,WA-OPH-1,SCOPMS 44,SSTC2D J161108.9-190447,2MASS J16110890-1904468,GAIA-DR2-6245770063505264256,,,,,,
XY PER,V-XY-PER,,XYPER,HD 275877,AG+38 424,BD+38 811,2MASS J03493638+3858556,GAIA-DR2-223935338503901952,,,,,,
TYC 7851-810-1,TYC-7851-810-1,,SSTC2D J160830.7-382827,2MASS J16083070-3828268,GAIA-DR2-5997490206145065088,,,,,,,,,
T49,V-XX-CHA,,2MASS J11113965-7620152,XX CHA,,,,,,,,,,
SSTC2DJ161344.1-373646,SSTC2DJ161344.1-373646,,SSTC2DJ161344-373646,,,,,,,,,,,
ECHA-J0844.2-7833,ECHA-J0844.2-7833,,ECHA-J0844-7833,,,,,,,,,,,
SSTC2DJ160000.6-422158,SSTC2DJ160000.6-422158,,SSTC2DJ160000-422158,,,,,,,,,,,
RXJ0438.6+15462,RXJ0438.6+1546,,2MASSJ04383907+1546137,HD285957,,,,,,,,,,
GAIA-DR3-5200232636905785728,GAIA-DR3-5200232636905785728,,GAIA EDR3 5200232636905785728,,,,,,,,,,,
NGC3109,NGC3109,,NGC3109-01,NGC3109-02,,,,,,,,,,
[N206-FS]-170,N206-FS-170,[RHH2018] 170,N206-FS 170,[N206-FS] 170,[N206-FS]_170,[RHH2018] 170,[N206-FS]-170|[N206-FS]_170,[N206-FS]-170,[N206-FS]_170,,,,,
2MASSJ04383885+1546045,2MASSJ04383885+1546045,,GAIA DR2 3309970392669539584,GAIA EDR3 3309970392669539584,,,,,,,,,,
N11 33,N11-ELS-033,[ELS2006] N11 033,N11 ELS 33,N11 ELS 033,LH9-89,LH 9-89,[L72] LH 9-89,PGMW 1005,[ELS2006] N11 033,N11-033|N11_33,N11-033,N11_33,,
N11 018,N11-ELS-018,[ELS2006] N11 018,N11 ELS 18,N11 ELS 018,N11-ELS-18,PGMW 3053,[ELS2006] N11 018,N11-018|N11_18,N11-018,PGMW-3053,N11-018,N11_18,,
N11 038,N11-ELS-038,[ELS2006] N11 038,N11 ELS 38,N11 ELS 038,N11-ELS-38,[ELS2006] N11 038,PGMW 3100,N11-038,N11-038|N11_38,N11-038,N11_38,,,
N11 060,N11-ELS-060,[ELS2006] N11 060,N11 ELS 60,N11 ELS 060,N11-ELS-60,[ELS2006] N11 060,PGMW 3058,N11-060|N11_60,N11-060,N11-060,N11_60,,,
NGC-3109 EBU 07,NGC-3109-EBU-07,,NGC3109 EBU 07,NGC3109-EBU-07,NGC 3109 EBU 07,,,,,,,,,
NGC-3109 EBU 20,NGC-3109-EBU-20,,NGC3109 EBU 20,NGC3109-EBU-20,NGC 3109 EBU 20,,,,,,,,,
NGC-3109 EBU 34,NGC-3109-EBU-34,,NGC3109 EBU 34,NGC3109-EBU-34,NGC 3109 EBU 34,,,,,,,,,
SEXTANS A GHN S4,SEXTANS-A-GHN-S4,,SEXTANS-A GHN S4,,,,,,,,,,,
SEXTANS A GHN S2,SEXTANS-A-GHN-S2,,SEXTANS-A GHN S2,,,,,,,,,,,
SEXTANS A GHN S8,SEXTANS-A-GHN-S8,,SEXTANS-A GHN S8,,,,,,,,,,,
TX-ORI,V-TX-ORI,,,,,,,,,,,,,
AV 506,AV506,AZV 506,AV 506,AV506,[M2002]-80545|SK169|AV506,[M2002]_80545,[M2002]-80545,SK169,AV506,,,,,
SK 173,SK173,2DFS 3747,SK 173,SK173,[2DFS]-3747|[2DFS]_3747,[2DFS]-3747,[2DFS]_3747,,,,,,,
AV 410,AV410,AZV 410,AV 410,AV410,AV 410|[M2002]_64588,AV 410,[M2002]_64588,,,,,,,
AV 235,AV235,SK 82,AV 235,AV235,SK82|SK_82,SK82,SK_82,SK82,SK_82,,,,,
AV 488,AV488,SK 159,AV 488,AV488,SK159|SK_159,SK_159,SK159,SK159,SK_159,,,,,
AV 175,AV175,AZV 175,AV 175,AV175,AV 175|[M2002]_37732,AV 175,[M2002]_37732,,,,,,,
AV 85,AV85,AZV 85,AV 85,AV85,OGLE005100.18-725303|OGLE_-9999,OGLE005100.18-725303.9,OGLE005100.18-725303,OGLE_-9999,,,,,,
AV 472,AV472,AZV 472,AV 472,AV472,AV 472|[2DFS]_2907,AV 472,[2DFS]_2907,,,,,,,
AV 224,AV224,AZV 224,AV 224,AV224,AV 224|[M2002]_45809,AV 224,[M2002]_45809,,,,,,,
2DFS 3694,2DFS-3694,2DFS 3694,2DFS 3694,2DFS-3694,[2DFS]-3694|[2DFS]_3694,[2DFS]-3694,[2DFS]_3694,,,,,,,
2DFS 3947,2DFS-3947,2DFS 3947,2DFS 3947,2DFS-3947,[SMCSGS-FS]-284|[SMCSGS-FS]_284,[SMCSGS-FS]-284,[SMCSGS-FS]_284,,,,,,,
2DFS 3689,2DFS-3689,2DFS 3689,2DFS 3689,2DFS-3689,[SMCSGS-FS]-96|[SMCSGS-FS]_96,[SMCSGS-FS]-96,[SMCSGS-FS]_96,,,,,,,
NGC346 35,NGC346-ELS-35,CL* NGC 346 ELS 035,NGC346 ELS 35,NGC346-35,NGC 346-035|NGC346_35,NGC 346-035,NGC346_35,,,,,,,
AV 96,AV96,AZV 96,AV 96,AV96,AV 96|[M2002]_19728,AV 96,[M2002]_19728,,,,,,,
AV 266,AV266,AZV 266,AV 266,AV266,AV 266|[M2002]_50609,AV 266,[M2002]_50609,,,,,,,
AV 264,AV264,AZV 264,AV 264,AV264,AV264|AV_264,AV264,AV_264,,,,,,,
AV 393,AV393,SK 124,AV 393,AV393,SK-124|AZV-393,SK-124,AZV-393,,,,,,,
AV 374,AV374,AZV 374,AV 374,AV374,AZV374|AV_374,AZV374,AV_374,,,,,,,
AV 234,AV234,AZV 234,AV 234,AV234,AV 234|[M2002]_47028,AV 234,[M2002]_47028,,,,,,,
AV 187,AV187,AZV 187,AV 187,AV187,AV187|AV_187,AV187,AV_187,,,,,,,
AV 324,AV324,AZV 324,AV 324,AV324,AZV324|AV_324,AZV324,AV_324,,,,,,,
AV 314,AV314,AZV 314,AV 314,AV314,AZV314|AV_314,AZV314,AV_314,,,,,,,
AV 445,AV445,AZV 445,AV 445,AV445,AV 445|[2DFS]_2538,AV 445,[2DFS]_2538,,,,,,,
AV 343,AV343,AZV 343,AV 343,AV343,AZV343|AV_343,AZV343,AV_343,,,,,,,
SK 179,SK179,SK 179,SK 179,SK179,SK 179|[M2002]_82928,SK 179,[M2002]_82928,,,,,,,
AV 200,AV200,AZV 200,AV 200,AV200,AZV200|AV_200,AZV200,AV_200,,,,,,,
2DFS 3954,2DFS-3954,2DFS 3954,2DFS 3954,2DFS-3954,[2DFS]-3954|[2DFS]_3954,[2DFS]-3954,[2DFS]_3954,,,,,,,
2DFS 2266,2DFS-2266,2DFS 2266,2DFS 2266,2DFS-2266,[2DFS]-2266|[2DFS]_2266,[2DFS]-2266,[2DFS]_2266,,,,,,,
AV 440,AV440,AZV 440,AV 440,AV440,AV 440|[M2002]_68756,AV 440,[M2002]_68756,,,,,,,
AV 251,AV251,AZV 251,AV 251,AV251,[M2002]-48672|[M2002]_48672|AV251,[M2002]-48672,[M2002]_48672,AV251,,,,,,
AV 186,AV186,CL* NGC 330 ELS 013,AV 186,AV186,NGC 330-013|NGC330_13,NGC 330-013,NGC330_13,,,,,,,
SK 187,SK187,SK 187,SK 187,SK187,SK 187|[M2002]_83678,SK 187,[M2002]_83678,,,,,,,
AV 255,AV255,AZV255,AV 255,AV255,AV255|AV255,AV255,AV255,,,,,,,
2DFS 163,2DFS-163,2DFS 163,2DFS 163,2DFS-163,[2DFS]-163|[2DFS]_163,[2DFS]-163,[2DFS]_163,,,,,,,
AV 238,AV238,AZV 238,AV 238,AV238,AV 238|[M2002]_47540,AV 238,[M2002]_47540,,,,,,,
2DFS 3780,2DFS-3780,2DFS 3780,2DFS 3780,2DFS-3780,[2DFS]-3780|[2DFS]_3780,[2DFS]-3780,[2DFS]_3780,,,,,,,
NGC346 25,NGC346-ELS-25,CL* NGC 346 ELS 025,NGC346 ELS 25,NGC346-25,NGC 346-025|NGC346_25,NGC 346-025,NGC346_25,,,,,,,
[M2002] SMC 81469,M2002-SMC-81469,[M2002] SMC 81469,M2002 SMC 81469,SMC-81469,[SMCSGS-FS]-90|[SMCSGS-FS]_90,[SMCSGS-FS]-90,[SMCSGS-FS]_90,,,,,,,
AV 372,AV372,AZV 372,AV 372,AV372,AV 372|[M2002]_60577,AV 372,[M2002]_60577,,,,,,,
2DFS 999,2DFS-999,SMC AB 9,2DFS 999,2DFS-999,SMC-WR9|SMC AB9,[M2002]_30420,SMC-WR9,SMC AB9,,,,,,
AV 332,AV332,SK 108,AV 332,AV332,SMC AB6|AV332|SK108,AV_332,SK108,SMC AB6,AV332,SK108,,,,
NGC346 13,NGC346-ELS-13,CL* NGC 346 ELS 013,NGC346 ELS 13,NGC346-13,NGC346-013,,,,,,,,,
SK -67 216,SK-67D216,SK -67 216,SK -67 216,SK-67D216,SK -67 216|SK_-67216,SK -67 216,SK_-67216,,,,,,,
HV 5622,HV5622,MACHO 79.4779.34,HV 5622,HV5622,MACHO79-4779|MACHO79_4779,MACHO79-4779,MACHO79_4779,,,,,,,
SK -69 43,SK-69D43,SK -69 43,SK -69 43,SK-69D43,HD268809|HD_268809|SK-6943,HD268809,HD_268809,SK-6943,,,,,,
SK -68 41,SK-68D41,SK -68 41,SK -68 41,SK-68D41,SK-68 41|SK_-6841,SK-68 41,SK_-6841,,,,,,,
SK -68 23A,SK-68D23A,SK -68 23A,SK -68 23A,SK-68D23A,SK -68 23A|[M2002]_48819,SK -68 23A,[M2002]_48819,,,,,,,
SK -71 35,SK-71D35,SK -71 35,SK -71 35,SK-71D35,SK -71 35|SK_-7135,SK -71 35,SK_-7135,,,,,,,
SK -65 2,SK-65D2,SK -65 2,SK -65 2,SK-65D2,SK-65 2|SK_-652,SK-65 2,SK_-652,,,,,,,
SK -69 52,SK-69D52,SK -69 52,SK -69 52,SK-69D52,SK-69 52|SK_-6952,SK-69 52,SK_-6952,,,,,,,
SK -70 50,SK-70D50,SK -70 50,SK -70 50,SK-70D50,SK-70 50|SK-70 50,SK-70_50,SK-70 50,SK-70 50,,,,,,
SK -67 78,SK-67D78,SK -67 78,SK -67 78,SK-67D78,SK-67 78|SK-67 78,SK-67_78,SK-67 78,SK-67 78,,,,,,
SK -70 16,SK-70D16,SK -70 16,SK -70 16,SK-70D16,SK -70 16|[M2002]_22715,SK -70 16,[M2002]_22715,,,,,,,
SK -69 140,SK-69D140,SK -69 140,SK -69 140,SK-69D140,SK -69 140|[M2002]_139017,SK -69 140,[M2002]_139017,,,,,,,
SK -68 8,SK-68D8,SK -68 8,SK -68 8,SK-68D8,SK -68 8|SK_-688,SK -68 8,SK_-688,,,,,,,
NGC2004 3,NGC2004-ELS-3,CL* NGC 2004 ELS 3,NGC2004 ELS 3,NGC2004-3,NGC 2004-003|NGC2004_3,NGC 2004-003,NGC2004_3,,,,,,,
SK -67 195,SK-67D195,SK -67 195,SK -67 195,SK-67D195,SK -67 195|[M2002]_158636,SK -67 195,[M2002]_158636,,,,,,,
SK -67 197,SK-67D197,SK -67 197,SK -67 197,SK-67D197,SK -67 197|[M2002]_158955,SK -67 197,[M2002]_158955,,,,,,,
SK -66 50,SK-66D50,SK -66 50,SK -66 50,SK-66D50,SK -66 50|SK_-6650,SK -66 50,SK_-6650,,,,,,,
SK -67 207,SK-67D207,SK -67 207,SK -67 207,SK-67D207,SK -67 207|SK_-67207,SK -67 207,SK_-67207,,,,,,,
LH 10-3061,N11-ELS-031,[ELS2006] N11 031,LH 10-3061,LH10-3061,N11-031|N11_31,N11-031,N11_31,,,,,,,
N11 026,N11-ELS-026,[ELS2006] N11 026,N11 ELS 026,N11-026,N11-026|N11_26,N11-026,N11_26,,,,,,,
SK -68 137,SK-68D137,SK -68 137,SK -68 137,SK-68D137,SK -68 137|[M2002]_170808,SK -68 137,[M2002]_170808,,,,,,,
VFTS 506,VFTS-506,VFTS 506,VFTS 506,VFTS-506,P93-0871|VFTS_506,P93-0871,VFTS_506,,,,,,,
VFTS 169,VFTS-169,VFTS 169,VFTS 169,VFTS-169,ST92 1-71|VFTS_169,ST92 1-71,VFTS_169,,,,,,,
SK -67 22,SK-67D22,SK -67 22,SK -67 22,SK-67D22,SK -67 22|BAT99_12,SK-6722,SK -67 22,BAT99_12,,,,,,
BAT99 105,BAT99-105,CL* NGC 2070 MEL 42,BAT99 105,BAT99-105,MK 42|BAT99_105|BREY 77,MK42,MK 42,BAT99_105,BREY 77,,,,,
VFTS 482,VFTS-482,CL* NGC 2070 MEL 39,VFTS 482,VFTS-482,MK 39|BAT99_99|BREY 78,MK 39,BAT99_99,BREY 78,,,,,,
VFTS 542,VFTS-542,CL* NGC 2070 MEL 30,VFTS 542,VFTS-542,MK 30|BAT99_113,MK 30,BAT99_113,,,,,,,
VFTS 545,VFTS-545,CL* NGC 2070 MEL 35,VFTS 545,VFTS-545,MK 35|BAT99_114,MK 35,BAT99_114,,,,,,,
VFTS 267,VFTS-267,VFTS 267,VFTS 267,VFTS-267,VFTS-267|VFTS_267,VFTS-267,VFTS_267,,,,,,,
LH 114-7,LH114-7,[L72] LH 114-7,LH 114-7,LH114-7,LMC2-675|LMC2_675|LH114-7,LMC2_675,LMC_675,LMC2-675,LMC2_675,LH114-7,,,,
W61 28-23,W61-28-23,W61 28-23,W61 28-23,W61-28-23,W61 28-23|[AAOMEGA]_159,W61 28-23,[AAOMEGA]_159,,,,,,,
SK -68 133,SK-68D133,SK -68 133,SK -68 133,SK-68D133,SK-68 133|[AAOMEGA]_248,SK-68 133,[AAOMEGA]_248,,,,,,,
[ST92] 5-27,ST92-5-27,[ST92] 5-27,[ST92] 5-27,ST92-5-27,ST 5-27|ST5_27|LH101W24,ST 5-27,ST5_27,LH101W24,,,,,,
VFTS 404,VFTS-404,VFTS 404,VFTS 404,VFTS-404,VFTS-404|VFTS_404,VFTS-404,VFTS_404,,,,,,,
LH 99-3,VFTS-180,BAT99 93,LH 99-3,LH99-3,TSWR3|BAT99_93|VFTS180,TSWR3,BAT99_93,VFTS180,,,,,,
MCPS 083.91120-69.69685,MCPS083.91120-69.69685,MCPS 083.91120-69.69685,MCPS 083.91120-69.69685,MCPS083.91120-69.69685,[AAOMEGA]-181|[AAOMEGA]_181,[AAOMEGA]-181,[AAOMEGA]_181,,,,,,,
SK -67 69,SK-67D69,SK -67 69,SK -67 69,SK-67D69,SK-67 69|SK_-6769,SK-67 69,SK_-6769,,,,,,,
FARINA  88,FARINA-88,[FBM2009] 88,FARINA 88,FARINA-88,F09 088|[AAOMEGA]_364,F09 088,[AAOMEGA]_364,,,,,,,
SK -67 108,SK-67D108,SK -67 108,SK -67 108,SK-67D108,SK -67 108|[M2002]_135697,SK -67 108,[M2002]_135697,,,,,,,
W61 28-5,W61-28-5,W61 28-5,W61 28-5,W61-28-5,W28-5|W28_5,W28-5,W28_5,,,,,,,
VFTS 355,VFTS-355,VFTS 355,VFTS 355,VFTS-355,VFTS-355|VFTS_355,VFTS-355,VFTS_355,,,,,,,
SK -70 60,SK-70D60,SK -70 60,SK -70 60,SK-70D60,SK -70 60|[M2002]_64006,SK -70 60,[M2002]_64006,,,,,,,
SK -71 46,SK-71D46,SK -71 46,SK -71 46,SK-71D46,SK -71 46|[N206-FS]_214,SK-71_46,SK -71 46,[N206-FS]_214,,,,,,
SK -67 167,SK-67D167,SK -67 167,SK -67 167,SK-67D167,SK -67 167|[M2002]_152366,SK -67 167,[M2002]_152366,,,,,,,
SK -70 69,SK-70D69,SK -70 69,SK -70 69,SK-70D69,SK -70 69|[M2002]_65981,SK -70 69,[M2002]_65981,,,,,,,
[ST92] 5-52,ST92-5-52,[ST92] 5-52,[ST92] 5-52,ST92-5-52,ST 5-52|ST5_52,ST 5-52,ST5_52,,,,,,,
LH 58-496,LH58-496,[L72] LH 58-496,LH 58-496,LH58-496,LH 58-496|LH58_496,LH 58-496,LH58_496,,,,,,,
N11 051,N11-ELS-051,[ELS2006] N11 051,N11 ELS 051,N11-051,N11-051|N11_51,N11-051,N11_51,,,,,,,
[ST92] 4-18,ST92-4-18,W61 4-4,[ST92] 4-18,ST92-4-18,W4-4|W4_4,W4-4,W4_4,,,,,,,
LMCE078-1,LMCE078-1,[MNM2015] LMCE078-1,LMCE078-1,LMCE078-1,[AAOMEGA]-271|[AAOMEGA]_271,[AAOMEGA]-271,[AAOMEGA]_271,,,,,,,
SK -71 19,SK-71D19,SK -71 19,SK -71 19,SK-71D19,SK-71 19|SK_-7119,SK_-7119,SK-71 19,SK_-7119,,,,,,
SK -67 51,SK-67D51,SK -67 51,SK -67 51,SK-67D51,SK -67 51|SK_-6751,SK -67 51,SK_-6751,,,,,,,
SK -66 100,SK-66D100,SK -66 100,SK -66 100,SK-66D100,SK-66 100|SK_-66100,SK-66 100,SK_-66100,,,,,,,
SK -66 18,SK-66D18,SK -66 18,SK -66 18,SK-66D18,SK-66 18|SK_-6618,SK-66.18,SK-66 18,SK_-6618,,,,,,
N11 048,N11-ELS-048,[ELS2006] N11 048,N11 ELS 048,N11-048,N11-048|N11_48,PGMW-3209,LH103204,N11-048,N11_48,,,,,
BI 13,BI13,BI 13,BI 13,BI13,BI 13|[M2002]_15830,BI 13,[M2002]_15830,,,,,,,
PGMW 3070,PGMW-3070,PGMW 3070,PGMW 3070,PGMW-3070,[PGMW]-3070|[PGMW]_3070,[PGMW]_3090,[PGMW]_3058,[PGMW]_3073,[PGMW]-3070,[PGMW]_3070,,,,
VFTS 406,VFTS-406,VFTS 406,VFTS 406,VFTS-406,P93-0370|VFTS_406,P93-0370,VFTS_406,,,,,,,
N11 032,N11-ELS-032,[ELS2006] N11 032,N11 ELS 032,N11-032,N11-032|N11_32,PGMW-3168,N11-032,N11_32,,,,,,
BI 272,BI272,BI 272,BI 272,BI272,BI272|BI_272,BI272,BI_272,,,,,,,
SK -68 16,SK-68D16,SK -68 16,SK -68 16,SK-68D16,SK -68 16|[M2002]_34847,SK -68 16,[M2002]_34847,,,,,,,
SK -67 118,SK-67D118,SK -67 118,SK -67 118,SK-67D118,SK -67 118|[M2002]_138717,SK -67 118,[M2002]_138717,,,,,,,
LH 9-73,N11-ELS-049,[ELS2006] N11 049,LH 9-73,LH9-73,N11-049|N11_49,N11-049,N11_49,,,,,,,
VFTS 190,VFTS-190,VFTS 190,VFTS 190,VFTS-190,VFTS-190|VFTS_190,VFTS-190,VFTS_190,,,,,,,
SK -66 152,SK-66D152,SK -66 152,SK -66 152,SK-66D152,SK -66 152|SK_-66152,SK -66 152,SK_-66152,,,,,,,
SK -69 83,SK-69D83,SK -69 83,SK -69 83,SK-69D83,SK -69 83|SK_-6983,SK -69 83,SK_-6983,,,,,,,
SK -67 261,SK-67D261,SK -67 261,SK -67 261,SK-67D261,SK -67 261|SK_-67261,SK -67 261,SK_-67261,,,,,,,
BI 189,BI189,BI 189,BI 189,BI189,BI 189|BI_189,BI 189,BI_189,,,,,,,
LH 9-34,LH9-34,PGMW 1363,LH 9-34,LH9-34,[PGMW]-1363|[PGMW]_1363,[PGMW]-1363,[PGMW]_1363,,,,,,,
SK -71 8,SK-71D8,SK -71 8,SK -71 8,SK-71D8,SK -71 8|SK_-718,SK-71.08,SK -71 8,SK_-718,,,,,,
SK -70 32,SK-70D32,SK -70 32,SK -70 32,SK-70D32,SK -70 32|[M2002]_46268,SK -70 32,[M2002]_46268,,,,,,,
SK -66 17,SK-66D17,[ELS2006] N11 011,SK -66 17,SK-66D17,N11-011|N11_11,N11-011,N11_11,,,,,,,
SK -69 178,SK-69D178,SK -69 178,SK -69 178,SK-69D178,SK-69 178|[AAOMEGA]_105,SK-69 178,[AAOMEGA]_105,,,,,,,
BI 128,BI128,BI 128,BI 128,BI128,BI128|BI_128,BI128,BI_128,,,,,,,
SK -70 13,SK-70D13,SK -70 13,SK -70 13,SK-70D13,SK -70 13|[M2002]_19062,SK -70 13,[M2002]_19062,,,,,,,
N11 046,N11-ELS-046,[ELS2006] N11 046,N11 ELS 046,N11-046,N11-046|N11_46,N11-046,N11_46,,,,,,,
SK -66 171,SK-66D171,SK -66 171,SK -66 171,SK-66D171,SK -66 171|SK_-66171,SK-66_171,SK -66 171,SK_-66171,,,,,,
VFTS 66,VFTS-66,VFTS 66,VFTS 66,VFTS-66,VFTS066,,,,,,,,,
SK -71 21,SK-71D21,BAT99 32,SK -71 21,SK-71D21,HD 36063,BREY26,,,,,,,,
HD 269927C,HD269927C,[ST92] 5-68,HD 269927C,HD269927C,[ST92] 5-68,HDE269927,,,,,,,,
SK -65 55,SK-65D55,BAT99 30,SK -65 55,SK-65D55,LHA 120-S 28,BREY24,,,,,,,,
