Target,2MASS,Other Name,RA,DEC,Region,Distance (pc),SpT,M*,log(dm/dt),A_V,U,V,DO,OLD COS orbs,OLD STIS orbs,OLD ORB,COS orbs estimated,STIS orbs estimated,COS orbs,STIS orbs,ORBS,PID,AR MODES,DR,Reference
HD142527,J15564188-4219232,,15h56m41.888s,-42d19m23.25s,other,140.0,F6-7III,2,-6.7,0.78,,8.34,2,0,2,0,0.0,0.0,0,0,0,13032|14703,COS/G130M-COS/G160M-STIS/G140M,5,Mendigutia+2014
HD169142,J18242978-2946492,,18h24m29.78s,-29d46m49.91s,other,145.0,A7V,1.65,-8.68,0.0,,8.16,2,0,2,0,0.0,0.0,0,0,0,12996|13032,COS/G130M-STIS/E140M-STIS/G140M-STIS/G230LB,5,wagner+2015
RR Tau,J05393051+2622269,HBC 170,05h39m30.51s,+26d22m26.97s,other,2103.0,A2-3IIIe,,-4.11,,11.64,12.09,2,0,0,0,0.0,0.0,0,0,0,12996,COS/G130M-COS/G160M-COS/G230L ,5,Mendigutia+2012|Wheelwright+2010
