target_name_ullyses,target_name_simbad,simbad_link,target_classification,gaia_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref,Extra,F225W_STmag,F275W_STmag,F336W_STmag,F475W_STmag,F814W_STmag,AR
WLM BPU A 11,[BPU2006] A 11,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BPU2006]+A+11,Late O Supergiant,Gaia DR3 2415883472953242880,0.499811617,-15.47210551,2016,WLM,None,O9.7 Ia,2008ApJ...684..118U,O,9.7,I,17.23,2007AJ....133.2393M,18.27,2007AJ....133.2393M,18.38,2007AJ....133.2393M,-0.26,2006A&A...457..637M,0.15,Derived from (B-V)0,29000,2015MNRAS.449.1545B,3.25,2015MNRAS.449.1545B,5.69,2015MNRAS.449.1545B,28,"Derived from L,Teff",53,2015MNRAS.449.1545B,,None,1400,2015MNRAS.449.1545B,1.10E-08,2015MNRAS.449.1545B,FALSE,None,TRUE,,,,,,TRUE
WLM BPU A 15,[BPU2006] A 15,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[BPU2006]+A+15,Mid O Dwarf,Gaia DR3 2415883374167570688,0.502221833,-15.49789257,2016,WLM,None,O7 V((f)),2006ApJ...648.1007B,O,7,V,18.99,2007AJ....133.2393M,19.97,2007AJ....133.2393M,20.25,2007AJ....133.2393M,-0.27,2006A&A...457..637M,0,Derived from (B-V)0,37500,2021ApJ...922..191T,4,2021ApJ...922..191T,5.3,2021ApJ...922..191T,9.5,2021ApJ...922..191T,29,2021ApJ...922..191T,80,2021ApJ...922..191T,,None,,None,FALSE,None,TRUE,,,,,,TRUE
2dFS 163,2dFS 163,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+163,Late O Supergiant,Gaia DR3 4688838203919272832,9.242667049,-73.39255207,2016,SMC,None,O8 Ib(f),2004MNRAS.353..601E,O,8,I,13.84,2002AJ....123..855Z,14.95,2002AJ....123..855Z,15.11,2002AJ....123..855Z,-0.27,2006A&A...457..637M,0.11,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,FALSE,None,FALSE,,,,,,FALSE
AV 6,AzV 6,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+6,Late O Giant,Gaia DR3 4685852102139246976,11.3258639,-73.25638711,2016,SMC,None,O9 III,1997A&A...317..871L,O,9,III,12.45,2002ApJS..141...81M,13.36,2002ApJS..141...81M,13.31,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.31,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,TRUE,2017MNRAS.472.2241Z,FALSE,,,,,,FALSE
AV 14,AzV 14,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+14,Early O Dwarf,Gaia DR3 4688857372328703488,11.63597795,-73.10155098,2016,SMC,None,O5 V,2004ApJ...608.1001M,O,5,V,12.38,2002ApJS..141...81M,13.38,2002ApJS..141...81M,13.55,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.11,Derived from (B-V)0,44000,2004ApJ...608.1001M,4,2004ApJ...608.1001M,5.82,2004ApJ...608.1001M,14.2,2004ApJ...608.1001M,74,2004ApJ...608.1001M,261,2009ApJ...700..844P,2000,2004ApJ...608.1001M,1.00E-07,2004ApJ...608.1001M,FALSE,None,FALSE,,,,,,FALSE
AV 15,AzV 15,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+15,Mid O Bright Giant,Gaia DR3 4685835403303046784,11.6756708,-73.41542033,2016,SMC,None,O6.5 II(f),2000PASP..112.1243W,O,6.5,II,11.9,2002ApJS..141...81M,12.93,2002ApJS..141...81M,13.12,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.1,2021A&A...647A.134B,39000,2021A&A...647A.134B,3.61,2021A&A...647A.134B,5.83,2021A&A...647A.134B,18,"Derived from L,Teff",47.2,2021A&A...647A.134B,120,2021A&A...647A.134B,2050,2021A&A...647A.134B,1.10E-06,2021A&A...647A.134B,FALSE,None,FALSE,,,,,,TRUE
AV 16,AzV 16,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+16,Early B Dwarf,Gaia DR3 4685854571724688768,11.72930161,-73.14282174,2016,SMC,None,sgB0[e],1998A&A...340..117L,B,0,I,12.29,2002ApJS..141...81M,13.1,2002ApJS..141...81M,12.97,2002ApJS..141...81M,,None,0.07,1996A&A...309..505Z,,None,,None,,None,,None,,None,,None,,None,,None,TRUE,1996A&A...309..505Z,FALSE,,,,,,TRUE
AV 18,AzV 18,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+18,Early B Supergiant,Gaia DR3 4688950933906863488,11.80091376,-73.10920356,2016,SMC,None,B2 Ia,1997A&A...317..871L,B,2,I,11.7,1977A&AS...30..261A,12.49,1977A&AS...30..261A,12.46,1977A&AS...30..261A,-0.17,1970A&A.....4..234F,0.2,Derived from (B-V)0,19000,2004A&A...417..217T,2.3,2004A&A...417..217T,5.44,2004A&A...417..217T,49,2004A&A...417..217T,28,2004A&A...417..217T,49,2004A&A...417..217T,325,2004ApJ...607..451E,2.30E-07,2004A&A...417..217T,FALSE,None,FALSE,,,,,,TRUE
AV 22,AzV 22,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+22,Mid B Supergiant,Gaia DR3 4685948275085827328,11.91143086,-73.13024207,2016,SMC,None,B5 Ia,1997A&A...317..871L,B,5,I,11.53,1980A&AS...42....1A,12.19,1980A&AS...42....1A,12.2,1980A&AS...42....1A,-0.09,1970A&A.....4..234F,0.08,Derived from (B-V)0,14500,2004A&A...417..217T,1.9,2004A&A...417..217T,5.04,2004A&A...417..217T,53,2004A&A...417..217T,19,2004A&A...417..217T,46,2004A&A...417..217T,280,2004A&A...417..217T,2.30E-07,2004A&A...417..217T,FALSE,None,FALSE,,,,,,TRUE
AV 26,AzV 26,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+26,Mid O Supergiant,Gaia DR3 4685947553531340800,11.95854773,-73.13918731,2016,SMC,None,O6 I(f),2004ApJ...608.1001M,O,6,I,11.29,2002ApJS..141...81M,12.29,2002ApJS..141...81M,12.46,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.1,Derived from (B-V)0,38000,2005ApJ...627..477M,3.52,2005ApJ...627..477M,6.14,2005ApJ...627..477M,27.5,2005ApJ...627..477M,81,2005ApJ...627..477M,150,2005ApJ...627..477M,2150,2005ApJ...627..477M,2.50E-06,2005ApJ...627..477M,FALSE,None,TRUE,,,,,,TRUE
