target_name_std,target_name_simbad,target_id,target_classification,simbad_link,targ_ra,targ_dec,coordinate_epoch,source_catalog,host_galaxy_name,host_cluster_name,d_gaia_dr2,d_gaia_dr2_err,spectral_type,spectral_type_ref,temp_class,temp_class_ref,lum_class,star_teff,star_teff_ref,star_luminosity,star_luminosity_ref,star_mass,star_mass_ref,surface_gravity,surface_gravity_ref,rotation_period,rotation_period_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,radius,radius_ref,rate_accretion,rate_accretion_ref,extinction_ebmv,extinction_ebmv_ref,age,age_ref,metallicity,metallicity_ref,fuv_mag,nuv_mag,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,i_mag,i_mag_ref,gaia_dr2_id,gaia_parallax,gaia_parallax_err,known_binary,known_binary_ref,is_variable,is_monitor_targ,extended
CVSO-109,V462 Ori,?,T Tauri star,,83.13610739,-1.229438253,2015.5,,MW,Ori OB1b,125.8938463,10.61266486,M0,2005AJ....129..935C,,,,,,,,0.56,2005AJ....129..935C,,,,,,,,,,,-7.6,2005AJ....129..935C,0,2005AJ....129..935C,,,,,,,13.62,none,,,13.97,none,,,Gaia DR2 3217630378215871232,7.9432,0.6696,none,none,TRUE,FALSE,FALSE
CVSO-90,J05312062-0049197,?,T Tauri star,,82.83596169,-0.822183853,2015.5,,MW,Ori OB1b,352.4477496,6.608472943,K7,2005AJ....129..935C,,,,,,,,0.79,2005AJ....129..935C,,,,,,,,,,,-7.75,2005AJ....129..935C,0,2005AJ....129..935C,,,,,,,13.64,none,,,14.61,none,,,Gaia DR2 3220661529910667904,2.8373,0.0532,none,none,TRUE,FALSE,FALSE
CVSO-146,V499 Ori,?,T Tauri star,,83.94168421,-0.964513733,2015.5,,MW,Ori OB1b,338.5584183,3.152099571,K6,2005AJ....129..935C,,,,,,,,0.92,2005AJ....129..935C,,,,,,,,,,,-8.06,2005AJ....129..935C,0.032,2005AJ....129..935C,,,,,,,13.7,none,,,14.01,none,,,Gaia DR2 3217657011309526016,2.9537,0.0275,none,none,TRUE,FALSE,FALSE
V505-ORI,SO518,?,T Tauri star,,84.61357198,-2.752699891,2015.5,,MW,Sigma Ori,397.3931013,6.095761289,K6.0,2016ApJ...829...38M,,,,,,,,0.754,2016ApJ...829...38M,,,,,,,,,,,-8.54,2016ApJ...829...38M,0,2016ApJ...829...38M,,,,,,,14.1,none,,,14.16,none,,,Gaia DR2 3216107490187638784,2.5164,0.0386,none,none,TRUE,FALSE,FALSE
V-TX-ORI,SO583,?,T Tauri star,,84.64037079,-2.737270662,2015.5,,MW,Sigma Ori,571.8860803,84.73961078,K4.5,2016ApJ...829...38M,,,,,,,,1.087,2016ApJ...829...38M,,,,,,,,,,,-8.13,2016ApJ...829...38M,0,2016ApJ...829...38M,,,,,,,13.75,none,,,12.06,none,,,Gaia DR2 3216108997720732544,1.7486,0.2591,none,none,TRUE,FALSE,FALSE
CVSO-104,J05320638-0111000,?,T Tauri star,,83.02660481,-1.18336714,2015.5,,MW,Ori OB1b,374.2655039,9.427025119,K7,2005AJ....129..935C,,,,,,,,0.77,2005AJ....129..935C,,,,,,,,,,,-8.12,2005AJ....129..935C,0,2005AJ....129..935C,,,,,,,14.14,none,,,14.22,none,,,Gaia DR2 3217634157789741952,2.6719,0.0673,none,none,TRUE,FALSE,FALSE
CVSO-36,J05255035+0149370,?,T Tauri star,,81.45987554,1.826958601,2015.5,,MW,Ori OB1a,341.9154101,5.553042015,M3,2005AJ....129..935C,,,,,,,,0.34,2005AJ....129..935C,,,,,,,,,,,-8.44,2005AJ....129..935C,0,2005AJ....129..935C,,,,,,,15.95,none,,,16.07,none,,,Gaia DR2 3222268122557250304,2.9247,0.0475,none,none,TRUE,FALSE,FALSE
V510-ORI,SO1153,?,T Tauri star,,84.91595007,-2.522740869,2015.5,,MW,Sigma Ori,394.8199621,5.502662927,K5.5,2016ApJ...829...38M,,,,,,,,0.875,2016ApJ...829...38M,,,,,,,,,,,-8.38,2016ApJ...829...38M,0.048,2016ApJ...829...38M,,,,,,,14.59,none,,,14.3,none,,,Gaia DR2 3216493758070824064,2.5328,0.0353,none,none,TRUE,FALSE,FALSE
CVSO-107,J05322578-0036533,?,T Tauri star,,83.10742889,-0.614828517,2015.5,,MW,Ori OB1b,338.8911482,4.593888412,K7,2005AJ....129..935C,,,,,,,,0.77,2005AJ....129..935C,,,,,,,,,,,-7.96,2005AJ....129..935C,0.103,2005AJ....129..935C,,,,,,,14.4,none,,,14.78,none,,,Gaia DR2 3220694442244758784,2.9508,0.04,none,none,TRUE,FALSE,FALSE
CVSO-165,J05390257-0120323,?,T Tauri star,,84.7607232,-1.342345987,2015.5,,MW,Ori OB1b,335.5479498,25.61477706,K6,2005AJ....129..935C,,,,,,,,0.91,2005AJ....129..935C,,,,,,,,,,,-8.43,2005AJ....129..935C,0,2005AJ....129..935C,,,,,,,14.13,none,,,13.68,none,,,Gaia DR2 3217473697810695424,2.9802,0.2275,none,none,TRUE,FALSE,FALSE
CVSO-176,V609 Ori,?,T Tauri star,,85.10064441,-0.522614524,2015.5,,MW,Ori OB1b,299.9130252,5.630733701,M3,2005AJ....129..935C,,,,,,,,0.35,2005AJ....129..935C,,,,,,,,,,,-8.37,2005AJ....129..935C,0,2005AJ....129..935C,,,,,,,15.3,none,,,15.65,none,,,Gaia DR2 3219230167633274752,3.3343,0.0626,none,none,TRUE,FALSE,FALSE
CVSO-58,J05292326-0125153,?,T Tauri star,,82.34693241,-1.420963095,2015.5,,MW,Ori OB1b,360.464278,4.313825257,K7,2005AJ....129..935C,,,,,,,,0.78,2005AJ....129..935C,,,,,,,,,,,-8.35,2005AJ....129..935C,0.039,2005AJ....129..935C,,,,,,,14.63,none,,,14.93,none,,,Gaia DR2 3220241585188156032,2.7742,0.0332,none,none,TRUE,FALSE,FALSE
CVSO-17,J05230470+0137148,?,T Tauri star,,80.76958277,1.620812564,2015.5,,MW,Ori OB1a,465.7661854,24.38384687,M3,2005AJ....129..935C,,,,,,,,0.33,2005AJ....129..935C,,,,,,,,,,,-9.22,2005AJ....129..935C,0,2005AJ....129..935C,,,,,,,16.52,none,,,16.16,none,,,Gaia DR2 3222180814461726976,2.147,0.1124,none,none,TRUE,FALSE,FALSE
Sz75,GQ Lup,?,T Tauri star,,237.3003643,-35.65150548,2015.5,2017A&A...600A..20A ,MW,Lupus I,151.8187891,1.090215085,K6,2017A&A...600A..20A,,,,4205,2017A&A...600A..20A ,0.16,2017A&A...600A..20A ,0.86,2017A&A...600A..20A,,,,,,,,,,,-7.67,2017A&A...600A..20A,0.226,2017A&A...600A..20A,,,,,,,12.19,none,,,11.4,none,,,Gaia DR2 6011522757643074304,6.5868,0.0473,none,none,TRUE,FALSE,FALSE
Sz77,HBC 603,?,T Tauri star,,237.945592,-35.94569096,2015.5,2017A&A...600A..20A ,MW,Lupus I,154.822728,1.244047001,K7,2017A&A...600A..20A,,,,4060,2017A&A...600A..20A ,-0.26,2017A&A...600A..20A ,0.75,2017A&A...600A..20A,,,,,,,,,,,-8.79,2017A&A...600A..20A,0,2017A&A...600A..20A,,,,,,,13.35,none,,,13.26,none,,,Gaia DR2 6011392186336443392,6.459,0.0519,none,none,TRUE,FALSE,FALSE
Sz72,HM Lup,?,T Tauri star,,236.960879,-35.47660097,2015.5,2017A&A...600A..20A ,MW,Lupus I,155.8895055,1.115440591,M2,2014A&A...561A...2A,,,,3560,2017A&A...600A..20A ,-0.6,2017A&A...600A..20A ,0.37,2014A&A...561A...2A,,,,,,,,,,,-8.65,2014A&A...561A...2A,0.242,2014A&A...561A...2A,,,,,,,15.15,none,,,14.79,none,,,Gaia DR2 6011573266459331072,6.4148,0.0459,none,none,TRUE,FALSE,FALSE
