Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
LBY608010,SK-9,11.6359583,-73.1015833,1,2013-01-01 10:46:16,2013-01-01 11:03:57,800.064,COS   ,PSA,G185M,1921.000,13004,2014-01-01 13:29:59,LBY608010,,,64.136
LBY608020,SK-9,11.6359583,-73.1015833,1,2013-01-01 11:06:36,2013-01-01 12:21:05,880.096,COS   ,PSA,G185M,1953.000,13004,2014-01-01 13:32:45,LBY608020,,,64.136
LBY608OZQ,SK-9,11.6359583,-73.1015833,1,2013-01-01 09:43:58,2013-01-01 10:15:01,1863.000,COS   ,PSA,G185M,1921.000,13004,2014-01-01 13:26:28,,,,64.136
LBY608P3Q,SK-9,11.6359583,-73.1015833,1,2013-01-01 10:43:27,2013-01-01 10:43:29,2.000,COS   ,PSA,G185M,1921.000,13004,2014-01-01 13:26:34,,,,64.136
LB2A02010,AZV-177,14.1840417,-72.0586944,3,2009-12-21 23:54:14,2009-12-22 00:00:14,360.000,COS   ,PSA,G130M,1291.000,11625,2010-12-22 02:38:49,LB2A02010,,,45.809
LB2A02020,AZV-177,14.1840417,-72.0586944,3,2009-12-22 00:04:09,2009-12-22 00:09:09,300.000,COS   ,PSA,G130M,1327.000,11625,2010-12-22 02:39:34,LB2A02020,,,45.809
LB2A02030,AZV-177,14.1840417,-72.0586944,3,2009-12-22 00:15:12,2009-12-22 00:25:07,595.008,COS   ,PSA,G160M,1577.000,11625,2010-12-22 04:31:39,LB2A02030,,,45.809
LB2A02040,AZV-177,14.1840417,-72.0586944,3,2009-12-22 00:29:40,2009-12-22 00:39:35,595.040,COS   ,PSA,G160M,1623.000,11625,2010-12-22 02:49:56,LB2A02040,,,45.809
LB2A02FYQ,AZV-177,14.1840417,-72.0586944,3,2009-12-21 23:41:26,2009-12-21 23:47:48,382.000,COS   ,PSA,G130M,1291.000,11625,2010-12-22 02:27:22,,,,45.809
LB2A02FZQ,AZV-177,14.1840417,-72.0586944,3,2009-12-21 23:48:41,2009-12-21 23:50:33,112.000,COS   ,PSA,G130M,1291.000,11625,2010-12-22 02:27:45,,,,45.809
LB2A02G0Q,AZV-177,14.1840417,-72.0586944,3,2009-12-21 23:52:15,2009-12-21 23:52:15,0.200,COS   ,PSA,G130M,1291.000,11625,2010-12-22 02:27:58,,,,45.809
LB2A01010,AZV-388,16.4143750,-72.4907778,3,2009-12-21 03:01:27,2009-12-21 03:06:39,312.000,COS   ,PSA,G130M,1291.000,11625,2010-12-21 04:26:06,LB2A01010,,,28.904
LB2A01020,AZV-388,16.4143750,-72.4907778,3,2009-12-21 03:16:06,2009-12-21 03:21:17,311.008,COS   ,PSA,G130M,1327.000,11625,2010-12-21 05:17:44,LB2A01020,,,28.904
LB2A01030,AZV-388,16.4143750,-72.4907778,3,2009-12-21 03:30:33,2009-12-21 03:39:41,548.032,COS   ,PSA,G160M,1577.000,11625,2010-12-21 05:27:44,LB2A01030,,,28.904
LB2A01040,AZV-388,16.4143750,-72.4907778,3,2009-12-21 03:44:14,2009-12-21 03:53:22,548.000,COS   ,PSA,G160M,1623.000,11625,2010-12-21 05:28:33,LB2A01040,,,28.904
