Target,2MASS,Other Name,RA,DEC,Region,Distance (pc),SpT,M*,log(dm/dt),A_V,U,V,DO,OLD COS orbs,OLD STIS orbs,OLD ORB,COS orbs estimated,STIS orbs estimated,COS orbs,STIS orbs,ORBS,PID,AR MODES,DR,Reference,Target_LINK
RXJ1842.9-3532,J18425797-3532427,WRAY 15-1880,18h42m57.95s,-35d32m42.7s,CrA,130,K2,0.93,-8.8,0.4,12.06,11.77,1,2,1,3,2.04,0.24,3,1,4,16859,,,,"<a href=""http://simbad.cds.unistra.fr/simbad/sim-id?Ident=WRAY+15-1880"" target=""_blank"">RXJ1842.9-3532</a>"
RXJ1852.3-3700,J18521730-3700119,,18h52m17.29s,-37d00m11.9s,CrA,130,K2,1.04,-8.7,1,12.7,12.19,1,6,1,7,6.79,0.31,8,1,9,16859,,,,"<a href=""http://simbad.cds.unistra.fr/simbad/sim-id?Ident=IRAS+18489-3703"" target=""_blank"">RXJ1852.3-3700</a>"
