PREFERRED,Alternate_APT
Sextans A GHF s2,SEXTANS-A-GHN-S2
Sextans A GHF s4,SEXTANS-A-GHN-S4
Sextans A GHF s8,SEXTANS-A-GHN-S8
NGC-3109 EBU 07,NGC-3109-EBU-07
NGC-3109 EBU 20,NGC-3109-EBU-20
NGC 3109 EBU 34,NGC-3109-EBU-34
