radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
239.79175,0.562,-42.251722,0.323,NA,NA,0,NA,NA,0,NA,NA,0,18.1,0.154,3,16.814,0.111,3,16.329,0.191,3,NA,NA,0,NA,NA,0
239.792184,0.318,-42.325059,0.273,NA,NA,0,NA,NA,0,NA,NA,0,17.41,0.182,4,15.958,0.184,4,15.33,0.099,2,NA,NA,0,NA,NA,0
239.792886,0.372,-42.245346,0.241,16.673,0.166,2,17.99,0.008,2,NA,NA,0,17.414,0.098,6,16.36,0.161,6,16.015,0.272,3,NA,NA,0,NA,NA,0
239.794179,0.162,-42.202515,0.293,14.825,0.05,5,15.795,0.045,5,NA,NA,0,15.339,0.017,6,14.507,0.111,6,14.189,0.094,6,NA,NA,0,NA,NA,0
239.794232,0.486,-42.214134,0.293,14.143,0.034,5,15.149,0.012,5,NA,NA,0,14.66,0.02,6,13.73,0.099,6,13.376,0.085,6,NA,NA,0,NA,NA,0
239.794583,0.546,-42.512173,0.276,NA,NA,0,NA,NA,0,NA,NA,0,17.199,0.076,3,15.805,0.195,3,15.065,0.229,3,NA,NA,0,NA,NA,0
239.795478,0.162,-42.197345,0.155,NA,NA,0,NA,NA,0,NA,NA,0,18.428,0.224,1,17.707,0.272,1,NA,NA,0,NA,NA,0,NA,NA,0
239.795952,0.81,-42.233177,0.457,NA,NA,0,NA,NA,0,NA,NA,0,18.812,0.316,1,17.545,0.323,1,NA,NA,0,NA,NA,0,NA,NA,0
239.796174,0.264,-42.136712,0.303,15.451,0.061,3,17.508,0.352,3,NA,NA,0,16.603,0.071,6,14.619,0.087,6,13.489,0.055,6,NA,NA,0,NA,NA,0
239.796182,0.252,-42.318509,0.43,NA,NA,0,NA,NA,0,NA,NA,0,17.585,0.078,3,16.031,0.133,3,15.257,0.085,3,NA,NA,0,NA,NA,0
239.796675,0.946,-42.280624,0.337,NA,NA,0,NA,NA,0,NA,NA,0,18.295,0.098,2,17.343,0.174,2,16.479,0.251,1,NA,NA,0,NA,NA,0
239.798736,0.928,-42.176377,0.383,16.19,0.021,2,17.594,0.009,2,NA,NA,0,16.945,0.061,6,15.762,0.138,6,15.232,0.072,4,NA,NA,0,NA,NA,0
239.798935,0.134,-42.450398,0.842,NA,NA,0,NA,NA,0,NA,NA,0,17.543,0.24,1,15.437,0.093,1,14.22,0.1,1,NA,NA,0,NA,NA,0
239.800318,0.463,-42.202646,0.612,15.992,0.072,2,17.327,0.048,2,NA,NA,0,16.578,0.036,5,15.44,0.095,5,14.898,0.28,3,NA,NA,0,NA,NA,0
239.800365,0.418,-42.165876,0.471,NA,NA,0,NA,NA,0,NA,NA,0,18.337,0.193,1,17.122,0.161,1,NA,NA,0,NA,NA,0,NA,NA,0
239.802806,0.109,-42.160526,0.181,NA,NA,0,NA,NA,0,NA,NA,0,18.325,0.035,2,17.145,0.055,2,16.431,0.219,1,NA,NA,0,NA,NA,0
239.804565,0.013,-42.126383,0.25,NA,NA,0,NA,NA,0,NA,NA,0,17.973,0.142,1,16.859,0.166,1,NA,NA,0,NA,NA,0,NA,NA,0
239.807563,0.259,-42.219378,0.362,16.537,0.019,2,17.888,0.058,2,NA,NA,0,17.402,0.256,5,15.977,0.231,5,15.434,0.016,3,NA,NA,0,NA,NA,0
239.807712,0.162,-42.284473,0.272,NA,NA,0,NA,NA,0,NA,NA,0,18.057,0.07,2,16.81,0.079,2,16.019,0.006,2,NA,NA,0,NA,NA,0
239.808336,0.447,-42.576925,0.304,15.743,0.04,4,17.05,0.123,4,NA,NA,0,16.562,0.026,4,15.321,0.081,4,14.779,0.085,4,NA,NA,0,NA,NA,0
239.811428,0.17,-42.270521,0.152,13.881,0.051,4,15.857,0.027,4,NA,NA,0,14.847,0.027,5,13.143,0.12,5,12.369,0.088,5,NA,NA,0,NA,NA,0
239.812415,0.094,-42.141125,0.218,14.196,0.043,5,15.24,0.034,5,NA,NA,0,14.7,0.022,6,13.747,0.083,6,13.336,0.085,6,NA,NA,0,NA,NA,0
239.81265,0.029,-42.30105,0.127,NA,NA,0,NA,NA,0,NA,NA,0,18.826,0.304,1,17.359,0.196,1,NA,NA,0,NA,NA,0,NA,NA,0
239.812756,0.216,-42.132654,0.263,15.638,0.021,4,17.398,0.279,4,NA,NA,0,16.58,0.05,6,14.944,0.131,6,14.25,0.05,6,NA,NA,0,NA,NA,0
239.813179,0.53,-42.608096,0.308,NA,NA,0,NA,NA,0,NA,NA,0,17.269,0.223,3,16.126,0.003,3,15.828,0.223,1,NA,NA,0,NA,NA,0
239.813335,0.368,-42.118582,0.303,15.915,0.103,5,17.003,0.104,5,NA,NA,0,16.509,0.05,6,15.447,0.088,6,14.892,0.137,6,NA,NA,0,NA,NA,0
239.813943,0.316,-42.192816,0.205,NA,NA,0,NA,NA,0,NA,NA,0,17.785,0.113,1,16.733,0.113,1,16.541,0.224,1,NA,NA,0,NA,NA,0
239.814456,0.251,-42.23295,0.324,16.007,0.109,3,17.602,0.148,3,NA,NA,0,16.798,0.069,6,15.322,0.069,6,14.633,0.117,6,NA,NA,0,NA,NA,0
239.814839,0.256,-42.225913,0.308,NA,NA,0,NA,NA,0,NA,NA,0,18.707,0.221,2,17.215,0.134,2,NA,NA,0,NA,NA,0,NA,NA,0
239.814986,0.152,-42.525604,0.396,NA,NA,0,NA,NA,0,NA,NA,0,17.166,0.067,3,15.403,0.117,3,14.557,0.147,3,NA,NA,0,NA,NA,0
239.815189,0.632,-42.174299,0.493,17.312,0.216,1,18.035,0.212,1,NA,NA,0,17.689,0.138,3,16.655,0.11,3,16.176,0.182,3,NA,NA,0,NA,NA,0
239.815572,0.674,-42.196743,0.414,NA,NA,0,NA,NA,0,NA,NA,0,17.934,0.192,3,16.457,0.102,3,15.99,0.053,3,NA,NA,0,NA,NA,0
239.816027,0.247,-42.159456,0.193,14.979,0.076,5,16.665,0.041,5,NA,NA,0,15.89,0.032,6,14.303,0.101,6,13.634,0.104,6,NA,NA,0,NA,NA,0
239.816384,0.415,-42.253144,0.268,15.782,0.061,4,16.998,0.191,4,NA,NA,0,16.471,0.02,4,15.287,0.148,4,14.757,0.13,4,NA,NA,0,NA,NA,0
239.816635,0.166,-42.273179,0.163,NA,NA,0,NA,NA,0,NA,NA,0,17.898,0.133,1,15.863,0.055,1,14.554,0.044,1,NA,NA,0,NA,NA,0
239.816895,0.291,-42.151134,0.286,15.91,0.146,5,17.072,0.287,5,NA,NA,0,16.533,0.042,6,15.414,0.122,6,14.967,0.121,6,NA,NA,0,NA,NA,0
239.816905,0.1,-42.309454,0.304,NA,NA,0,NA,NA,0,NA,NA,0,18.043,0.155,1,16.779,0.121,1,15.917,0.142,1,NA,NA,0,NA,NA,0
239.817174,0.517,-42.621286,0.224,16.063,0.042,2,17.248,0.227,2,NA,NA,0,16.797,0.15,4,15.423,0.166,4,14.883,0.125,4,NA,NA,0,NA,NA,0
239.818111,0.462,-42.348975,0.349,15.911,0.038,2,17.31,0.012,2,NA,NA,0,16.668,0.125,4,15.214,0.143,4,14.384,0.072,3,NA,NA,0,NA,NA,0
239.819166,0.643,-42.244608,0.123,NA,NA,0,NA,NA,0,NA,NA,0,18.016,0.003,2,16.785,0.007,2,16.378,0.213,1,NA,NA,0,NA,NA,0
239.822015,0.701,-42.255654,0.058,NA,NA,0,NA,NA,0,NA,NA,0,17.951,0.146,1,16.795,0.168,1,NA,NA,0,NA,NA,0,NA,NA,0
239.822297,0.23,-42.114376,0.194,15.448,0.07,6,17.153,0.154,6,NA,NA,0,16.352,0.018,6,14.803,0.094,6,14.018,0.07,6,NA,NA,0,NA,NA,0
239.822299,0.008,-42.186153,0.494,NA,NA,0,NA,NA,0,NA,NA,0,18.576,0.254,1,18.027,0.369,1,NA,NA,0,NA,NA,0,NA,NA,0
239.82268,0.374,-42.219675,0.441,16.934,0.123,1,18.188,0.242,1,NA,NA,0,17.66,0.15,3,16.861,0.162,3,16.424,0.213,2,NA,NA,0,NA,NA,0
239.823344,0.142,-42.237841,0.291,NA,NA,0,NA,NA,0,NA,NA,0,17.814,0.135,2,15.938,0.055,2,14.896,0.058,1,NA,NA,0,NA,NA,0
239.823627,0.522,-42.14903,0.293,NA,NA,0,NA,NA,0,NA,NA,0,18.129,0.117,3,16.518,0.047,3,15.54,0.11,1,NA,NA,0,NA,NA,0
239.823682,0.399,-42.412036,0.204,NA,NA,0,NA,NA,0,NA,NA,0,17.729,0.194,1,16.357,0.121,1,NA,NA,0,NA,NA,0,NA,NA,0
239.823739,0.253,-42.268447,0.186,16.178,0.063,1,18.194,0.229,1,NA,NA,0,17.314,0.175,5,15.384,0.101,5,14.555,0.155,5,NA,NA,0,NA,NA,0
239.824111,0.38,-42.151484,0.229,NA,NA,0,NA,NA,0,NA,NA,0,17.999,0.068,2,16.412,0.026,2,15.689,0.119,1,NA,NA,0,NA,NA,0
239.82448,0.285,-42.402833,0.218,15.114,0.063,4,16.935,0.213,4,NA,NA,0,16.025,0.066,4,14.285,0.142,4,13.286,0.077,4,NA,NA,0,NA,NA,0
239.824526,0.292,-42.20659,0.297,NA,NA,0,NA,NA,0,NA,NA,0,17.623,0.105,1,16.511,0.12,1,NA,NA,0,NA,NA,0,NA,NA,0
239.82474,0.321,-42.357778,0.224,15.668,0.111,3,16.848,0.164,3,NA,NA,0,16.288,0.077,4,14.949,0.142,4,14.223,0.129,4,NA,NA,0,NA,NA,0
239.825334,0.295,-42.137856,0.346,15.651,0.006,3,17.266,0.071,3,NA,NA,0,16.535,0.083,6,14.995,0.084,6,14.286,0.067,5,NA,NA,0,NA,NA,0
239.826138,0.368,-42.293905,0.196,15.314,0.08,4,17.146,0.077,4,NA,NA,0,16.304,0.088,4,14.596,0.108,4,13.799,0.086,4,NA,NA,0,NA,NA,0
239.827061,0.123,-42.341497,0.307,NA,NA,0,NA,NA,0,NA,NA,0,18.169,0.168,1,16.533,0.091,1,15.969,0.148,1,NA,NA,0,NA,NA,0
239.827364,0.359,-42.109941,0.325,NA,NA,0,NA,NA,0,NA,NA,0,18.155,0.015,3,16.754,0.049,3,16.074,0.125,3,NA,NA,0,NA,NA,0
239.828873,0.237,-42.165858,0.208,NA,NA,0,NA,NA,0,NA,NA,0,18.328,0.198,1,17.295,0.186,1,NA,NA,0,NA,NA,0,NA,NA,0
239.830009,0.325,-42.137806,0.275,16.303,0.095,2,17.818,0.047,2,NA,NA,0,17.078,0.107,6,15.788,0.108,6,15.181,0.007,4,NA,NA,0,NA,NA,0
239.830303,0.343,-42.244914,0.544,NA,NA,0,NA,NA,0,NA,NA,0,18.256,0.195,2,17.256,0.038,2,16.344,0.211,1,NA,NA,0,NA,NA,0
239.830692,0.258,-42.174338,0.332,NA,NA,0,NA,NA,0,NA,NA,0,17.984,0.329,2,16.93,0.105,2,16.267,0.22,2,NA,NA,0,NA,NA,0
239.831501,0.161,-42.279766,0.156,14.388,0.051,4,16,0.037,4,NA,NA,0,15.244,0.021,5,13.766,0.107,5,13.079,0.1,5,NA,NA,0,NA,NA,0
239.831624,0.403,-42.59019,0.24,16.047,0.056,2,17.307,0.126,2,NA,NA,0,16.769,0.085,4,15.522,0.126,4,15.025,0.143,4,NA,NA,0,NA,NA,0
239.832109,0.439,-42.261012,0.427,16.692,0.066,2,18.271,0.131,2,NA,NA,0,17.403,0.196,5,16.256,0.135,5,15.526,0.125,4,NA,NA,0,NA,NA,0
239.832135,0.276,-42.155294,0.282,15.681,0.099,5,16.647,0.082,5,NA,NA,0,16.209,0.056,6,15.314,0.091,6,15.017,0.18,6,NA,NA,0,NA,NA,0
239.834553,0.124,-42.326389,0.058,NA,NA,0,NA,NA,0,NA,NA,0,18.454,0.22,1,16.864,0.12,1,16.146,0.161,1,NA,NA,0,NA,NA,0
239.835374,0.54,-42.334052,0.28,NA,NA,0,NA,NA,0,NA,NA,0,17.547,0.113,5,15.947,0.104,5,14.868,0.488,5,NA,NA,0,NA,NA,0
239.835504,0.172,-42.304934,0.137,13.894,0.04,4,15.111,0.026,4,NA,NA,0,14.525,0.015,4,13.363,0.138,4,12.885,0.093,4,NA,NA,0,NA,NA,0
239.835573,0.347,-42.193945,0.309,15.293,0.078,5,16.668,0.067,5,NA,NA,0,16.004,0.045,6,14.754,0.118,6,14.226,0.094,6,NA,NA,0,NA,NA,0
239.839202,0.416,-42.206696,0.372,15.941,0.095,4,17.008,0.192,4,NA,NA,0,16.53,0.055,6,15.446,0.094,6,14.964,0.139,6,NA,NA,0,NA,NA,0
239.839643,0.594,-42.538128,0.466,NA,NA,0,NA,NA,0,NA,NA,0,17.302,0.169,3,15.972,0.108,3,15.382,0.184,1,NA,NA,0,NA,NA,0
239.840213,0.352,-42.291126,0.117,NA,NA,0,NA,NA,0,NA,NA,0,18.683,0.286,1,17.073,0.177,1,NA,NA,0,NA,NA,0,NA,NA,0
239.840279,0.44,-42.189934,0.485,16.836,0.146,1,18.352,0.271,1,NA,NA,0,17.443,0.188,5,16.377,0.105,5,15.744,0.089,3,NA,NA,0,NA,NA,0
239.840378,0.479,-42.286408,0.374,NA,NA,0,NA,NA,0,NA,NA,0,18.024,0.101,2,16.492,0.026,2,16.066,0.065,2,NA,NA,0,NA,NA,0
239.840504,0.466,-42.238233,0.365,16.41,0.056,2,18.036,0.22,2,NA,NA,0,17.195,0.099,5,15.814,0.176,5,15.289,0.089,4,NA,NA,0,NA,NA,0
239.840611,0.451,-42.279262,0.351,16.024,0.05,1,17.542,0.13,1,NA,NA,0,16.897,0.06,5,15.369,0.118,5,14.625,0.107,5,NA,NA,0,NA,NA,0
239.840645,0.374,-42.192643,0.127,NA,NA,0,NA,NA,0,NA,NA,0,17.942,0.134,1,16.73,0.11,1,NA,NA,0,NA,NA,0,NA,NA,0
239.841238,0.351,-42.10284,0.068,NA,NA,0,NA,NA,0,NA,NA,0,18.333,0.184,1,16.791,0.145,1,15.988,0.192,1,NA,NA,0,NA,NA,0
239.841414,0.135,-42.275635,0.255,NA,NA,0,NA,NA,0,NA,NA,0,17.774,0.118,1,16.275,0.072,1,15.65,0.109,1,NA,NA,0,NA,NA,0
239.841448,0.484,-42.243267,0.484,16.297,0.128,3,17.505,0.049,3,NA,NA,0,16.775,0.069,6,15.724,0.105,6,15.26,0.115,5,NA,NA,0,NA,NA,0
239.841743,0.68,-42.12615,0.308,NA,NA,0,NA,NA,0,NA,NA,0,17.559,0.139,4,16.334,0.149,4,15.74,0.003,2,NA,NA,0,NA,NA,0
239.841823,0.338,-42.182228,0.34,16.277,0.086,5,17.284,0.166,5,NA,NA,0,16.985,0.129,6,15.7,0.121,6,15.226,0.093,6,NA,NA,0,NA,NA,0
239.843865,0.22,-42.16015,0.409,14.687,0.039,5,16.341,0.061,5,NA,NA,0,15.533,0.032,6,14.057,0.087,6,13.331,0.084,6,NA,NA,0,NA,NA,0
239.844268,0.29,-42.330719,0.259,15.61,0.045,6,16.812,0.134,6,NA,NA,0,16.197,0.084,6,15.049,0.116,6,14.463,0.119,6,NA,NA,0,NA,NA,0
239.844274,0.366,-42.153309,0.359,16.576,0.034,2,17.866,0.015,2,NA,NA,0,17.299,0.054,4,16.042,0.138,4,15.555,0.25,4,NA,NA,0,NA,NA,0
239.844299,0.221,-42.546439,0.33,15.621,0.137,2,17.377,0.102,2,NA,NA,0,16.535,0.109,4,14.849,0.128,4,14.053,0.073,4,NA,NA,0,NA,NA,0
239.845424,0.458,-42.16908,0.659,NA,NA,0,NA,NA,0,NA,NA,0,18.513,0.224,1,17.349,0.256,1,NA,NA,0,NA,NA,0,NA,NA,0
239.84722,0.35,-42.100446,0.315,16.94,0.119,1,18.504,0.299,1,NA,NA,0,17.52,0.056,4,16.38,0.112,4,15.803,0.089,3,NA,NA,0,NA,NA,0
239.847538,0.345,-42.468731,0.199,15.342,0.055,3,17.291,0.16,3,NA,NA,0,16.376,0.031,4,14.456,0.112,4,13.431,0.108,4,NA,NA,0,NA,NA,0
239.847663,0.315,-42.299312,0.186,15.88,0.048,1,18.107,0.227,1,NA,NA,0,16.777,0.311,4,14.508,0.501,4,12.676,0.363,4,NA,NA,0,NA,NA,0
239.847672,0.158,-42.142231,0.653,NA,NA,0,NA,NA,0,NA,NA,0,18.703,0.245,1,17.206,0.17,1,NA,NA,0,NA,NA,0,NA,NA,0
239.848995,0.432,-42.557304,0.099,NA,NA,0,NA,NA,0,NA,NA,0,17.311,0.13,1,15.523,0.056,1,14.286,0.058,1,NA,NA,0,NA,NA,0
239.84969,0.344,-42.316264,0.2,NA,NA,0,NA,NA,0,NA,NA,0,17.692,0.132,2,15.962,0.142,2,15.14,0.071,1,NA,NA,0,NA,NA,0
239.850045,0.474,-42.181987,0.42,16.514,0.033,2,18.053,0.254,2,NA,NA,0,17.325,0.084,6,16.046,0.196,6,15.442,0.069,5,NA,NA,0,NA,NA,0
239.85038,0.307,-42.333814,0.012,NA,NA,0,NA,NA,0,NA,NA,0,18.082,0.153,1,16.353,0.076,1,15.826,0.13,1,NA,NA,0,NA,NA,0
239.850804,0.472,-42.241092,0.306,16.805,0.106,1,17.84,0.174,1,NA,NA,0,17.476,0.103,3,16.329,0.1,3,15.57,0.059,2,NA,NA,0,NA,NA,0
239.851568,0.397,-42.197119,0.061,NA,NA,0,NA,NA,0,NA,NA,0,18.348,0.215,1,17.117,0.222,1,NA,NA,0,NA,NA,0,NA,NA,0
239.852277,0.503,-42.099883,0.274,NA,NA,0,NA,NA,0,NA,NA,0,18.183,0.118,2,16.798,0.001,2,16.269,0.074,2,NA,NA,0,NA,NA,0
239.852439,0.414,-42.280781,0.304,NA,NA,0,NA,NA,0,NA,NA,0,18.063,0.157,1,16.768,0.124,1,16.167,0.184,1,NA,NA,0,NA,NA,0
239.852846,0.306,-42.210087,0.198,15.67,0.054,5,16.656,0.14,5,NA,NA,0,16.209,0.024,6,15.243,0.041,6,14.92,0.084,6,NA,NA,0,NA,NA,0
239.853944,0.287,-42.314732,0.272,16.535,0.086,1,18.386,0.305,1,NA,NA,0,17.34,0.119,3,16.017,0.059,3,15.254,0.029,2,NA,NA,0,NA,NA,0
239.854297,0.476,-42.366047,0.348,15.632,0.065,2,17.484,0.291,2,NA,NA,0,16.724,0.028,4,14.84,0.12,4,13.843,0.089,4,NA,NA,0,NA,NA,0
239.854611,0.344,-42.203509,0.348,16.396,0.012,2,18.18,0.108,2,NA,NA,0,17.244,0.042,6,15.664,0.116,6,15.011,0.094,6,NA,NA,0,NA,NA,0
239.855258,0.349,-42.536614,0.304,14.993,0.098,4,17.19,0.141,4,NA,NA,0,16.152,0.052,4,14.006,0.129,4,12.909,0.067,4,NA,NA,0,NA,NA,0
239.85559,0.19,-42.477956,0.23,15.198,0.04,4,16.94,0.179,4,NA,NA,0,16.012,0.049,4,14.362,0.146,4,13.553,0.053,4,NA,NA,0,NA,NA,0
239.856604,0.489,-42.243201,0.422,17.266,0.232,1,19.177,0.638,1,NA,NA,0,17.655,0.089,4,16.117,0.1,4,15.475,0.132,4,NA,NA,0,NA,NA,0
239.857366,0.189,-42.323191,0.231,16.254,0.065,1,17.721,0.184,1,NA,NA,0,17.091,0.083,4,15.765,0.188,4,15.065,0.179,4,NA,NA,0,NA,NA,0
239.857417,0.527,-42.237853,0.299,14.791,0.019,4,16.439,0.053,4,NA,NA,0,15.608,0.037,5,14.126,0.089,5,13.407,0.096,5,NA,NA,0,NA,NA,0
239.857502,0.387,-42.541193,0.204,14.75,0.07,4,15.993,0.077,4,NA,NA,0,15.407,0.026,4,14.111,0.139,4,13.542,0.076,4,NA,NA,0,NA,NA,0
239.858705,0.357,-42.195446,0.367,NA,NA,0,NA,NA,0,NA,NA,0,17.989,0.002,2,16.907,0.052,2,16.342,0.329,2,NA,NA,0,NA,NA,0
239.859536,0.454,-42.262392,0.202,NA,NA,0,NA,NA,0,NA,NA,0,17.837,0.123,1,16.649,0.097,1,16.039,0.147,1,NA,NA,0,NA,NA,0
239.859581,0.135,-42.53201,0.171,12.35,0.069,4,13.88,0.015,4,NA,NA,0,13.134,0.027,4,11.704,0.134,4,11.046,0.08,4,NA,NA,0,NA,NA,0
239.860094,0.444,-42.587623,0.537,NA,NA,0,NA,NA,0,NA,NA,0,16.862,0.218,3,15.485,0.197,3,15.012,0.033,3,NA,NA,0,NA,NA,0
239.860803,0.406,-42.596055,0.281,16.572,0.148,1,17.853,0.286,1,NA,NA,0,17.206,0.079,3,15.844,0.213,3,15.192,0.168,2,NA,NA,0,NA,NA,0
