radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
162.836494,0.543,-77.215487,0.53,16.4,0.056,3,17.641,0.125,3,NA,NA,0,17.044,0.076,5,16.064,0.055,5,15.488,0.144,5,NA,NA,0,NA,NA,0
162.863141,0.563,-77.178947,0.603,16.541,0.089,3,17.723,0.111,3,NA,NA,0,17.103,0.052,4,16.029,0.049,3,15.545,0.139,4,NA,NA,0,NA,NA,0
162.879642,0.601,-77.13367,0.362,16.582,0.096,4,17.987,0.101,4,NA,NA,0,17.226,0.086,5,16.181,0.085,5,15.599,0.131,5,NA,NA,0,NA,NA,0
162.89706,0.264,-77.161764,0.147,13.025,0.068,7,14.743,0.019,7,NA,NA,0,13.933,0.016,7,12.398,0.023,7,11.636,0.048,7,11.158,0.069,2,NA,NA,0
162.912462,0.408,-77.181127,0.362,NA,NA,0,NA,NA,0,NA,NA,0,18.592,0.217,3,17.159,0.102,3,16.575,0.149,3,NA,NA,0,NA,NA,0
162.913952,0.508,-77.305395,0.295,16.31,0.083,4,17.509,0.202,4,NA,NA,0,16.935,0.073,5,15.866,0.084,5,15.366,0.075,5,NA,NA,0,NA,NA,0
162.91414,0.418,-77.142391,0.353,NA,NA,0,NA,NA,0,NA,NA,0,18.058,0.12,3,16.885,0.133,3,16.064,0.113,3,NA,NA,0,NA,NA,0
162.91596,0.456,-77.112845,0.328,NA,NA,0,NA,NA,0,NA,NA,0,17.76,0.081,4,16.588,0.104,4,15.672,0.142,3,NA,NA,0,NA,NA,0
162.929629,0.402,-77.241718,0.31,14.29,0.068,6,16.559,0.051,6,NA,NA,0,15.416,0.041,7,13.441,0.026,7,12.304,0.055,7,11.51,0.003,2,NA,NA,0
162.984675,0.814,-77.308027,0.545,NA,NA,0,NA,NA,0,NA,NA,0,17.786,0.097,4,16.363,0.043,3,15.747,0.226,3,NA,NA,0,NA,NA,0
162.991611,0.545,-77.197002,0.409,16.713,0.007,2,18.138,0.038,2,NA,NA,0,17.712,0.135,4,15.996,0.064,4,15.114,0.063,4,NA,NA,0,NA,NA,0
162.997485,0.347,-77.286257,0.222,15.57,0.099,6,16.734,0.121,6,NA,NA,0,16.204,0.063,7,15.154,0.017,7,14.565,0.095,7,NA,NA,0,NA,NA,0
