;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
cpt0m407-kb87-20220129-0194-e91.fits.fz  59609.081363195  59609.081713704  5450  1.2398e-15  1.4417e-16
cpt0m407-kb87-20220129-0195-e91.fits.fz  59609.081840857  59609.082365012  5450  1.1803e-15  9.3859e-17
cpt0m407-kb87-20220129-0196-e91.fits.fz  59609.082487616  59609.083359005  5450  1.0488e-15  6.2180e-17
cpt0m407-kb87-20220129-0197-e91.fits.fz  59609.083489121  59609.084534109  5450  1.1749e-15  5.2467e-17
lsc0m412-kb26-20220131-0095-e91.fits.fz  59611.377379237  59611.378250545  5450  1.0151e-15  1.6208e-16
lsc0m409-kb29-20220201-0191-e91.fits.fz  59612.325677975  59612.326549260  5450  1.3833e-15  1.1457e-16
lsc0m409-kb29-20220204-0230-e91.fits.fz  59615.308271760  59615.309143079  5450  8.3219e-16  9.4802e-17
cpt0m407-kb87-20220205-0188-e91.fits.fz  59616.076552813  59616.077424144  5450  9.7636e-16  5.0711e-17
cpt0m407-kb87-20220206-0155-e91.fits.fz  59617.057309757  59617.058181135  5450  1.0907e-15  5.1042e-17
lsc0m409-kb29-20220207-0164-e91.fits.fz  59618.300084792  59618.300956158  5450  1.1204e-15  9.7741e-17
cpt0m407-kb87-20220208-0165-e91.fits.fz  59619.058516517  59619.059387883  5450  9.3829e-16  4.9539e-17
cpt0m407-kb87-20220209-0154-e91.fits.fz  59620.046995706  59620.047867084  5450  1.1169e-15  4.9263e-17
lsc0m409-kb29-20220414-0122-e91.fits.fz  59684.131731412  59684.132602813  5450  1.0838e-15  8.7948e-17
lsc0m409-kb29-20220415-0169-e91.fits.fz  59685.128915510  59685.129786783  5450  1.0516e-15  8.3612e-17
lsc0m409-kb29-20220416-0139-e91.fits.fz  59686.126353334  59686.127224676  5450  1.5908e-15  1.0943e-16
lsc0m409-kb29-20220417-0142-e91.fits.fz  59687.123702975  59687.124574294  5450  1.3315e-15  1.1757e-16
lsc0m409-kb29-20220420-0098-e91.fits.fz  59690.115250440  59690.116121783  5450  1.2112e-15  7.9320e-17
lsc0m412-kb26-20220421-0152-e91.fits.fz  59691.112641227  59691.113512605  5450  1.2351e-15  9.7903e-17
lsc0m409-kb29-20220422-0176-e91.fits.fz  59692.109838994  59692.110073774  5450  1.6674e-15  1.9427e-16
lsc0m412-kb26-20220422-0187-e91.fits.fz  59692.109873311  59692.110744653  5450  1.1463e-15  8.8024e-17
lsc0m409-kb29-20220423-0156-e91.fits.fz  59693.107918299  59693.108789596  5450  9.9633e-16  6.0326e-17
lsc0m409-kb29-20220423-0181-e91.fits.fz  59693.138916945  59693.139151760  5450  1.1113e-15  1.6848e-16
coj0m403-kb24-20220424-0228-e91.fits.fz  59693.726605174  59693.727475892  5450  8.7486e-16  1.0815e-16
lsc0m409-kb29-20220424-0169-e91.fits.fz  59694.105610903  59694.105845614  5450  1.2803e-15  2.1329e-16
